sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all,distance_q
full_2019_2023,BHAR_year_Lp1_m33_os,541,-0.014608604745693029,0.4987278159211354,-0.3163933397329831,-0.15728257565447418,0.13858001665179037,471,-0.036,0.514,-0.385,-0.17,0.162,0.14140764729392394,0.10474406796075236
full_2019_2023,BHAR_year_Lp1_m101_os,541,-0.0033071139425625323,0.4953008316399244,-0.31299370971469376,-0.1485547097146938,0.1518242182379964,471,-0.036,0.514,-0.385,-0.17,0.162,0.15501941675012915,0.10362736233261605
full_2019_2023,BHAR_year_Lp1_m37_os,541,-0.0031624269898201884,0.49541019787422297,-0.31291981772929406,-0.14852081570488943,0.15179902702744352,471,-0.036,0.514,-0.385,-0.17,0.162,0.15518771467432987,0.10376033953837302
full_2019_2023,BHAR_year_Lp1_m33_tl,541,-0.004168626167357142,0.4979593368868301,-0.3067392963095092,-0.1478622963095092,0.14937508033311314,471,-0.036,0.514,-0.385,-0.17,0.162,0.16089536399368126,0.1130233270478685
full_2019_2023,BHAR_year_Lp1_m117_os,541,-0.0015282655795647389,0.49357612750270047,-0.30745730180054287,-0.1432499133462546,0.1516196981994571,471,-0.036,0.514,-0.385,-0.17,0.162,0.1695686935714803,0.11467308665374548
full_2019_2023,BHAR_year_Lp1_m53_os,541,-0.0013850195107832136,0.4936609200976048,-0.3079517746590078,-0.14235983422558418,0.1509068935757102,471,-0.036,0.514,-0.385,-0.17,0.162,0.17073555793130984,0.11578149753969785
full_2019_2023,BHAR_year_Lp1_m63_os,541,-0.0015178797475560806,0.4936700647781255,-0.30796692191626274,-0.1421924135772954,0.1506340820164691,471,-0.036,0.514,-0.385,-0.17,0.162,0.17101863796429123,0.11620658248997279
full_2019_2023,BHAR_current,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,471,-0.036,0.514,-0.385,-0.17,0.162,0.17571969799525997,0.124779057492839
full_2019_2023,BHAR_year_Lp1_m37_tl,541,0.004736410028113865,0.49486175637104846,-0.30394839374824706,-0.13931698761768885,0.15754301238231114,471,-0.036,0.514,-0.385,-0.17,0.162,0.1760662599088184,0.11619160625175298
full_2019_2023,BHAR_year_Lp1_m101_tl,541,0.004219992396573542,0.4946377213256381,-0.30277240473730754,-0.13940440473730753,0.15548093167256713,471,-0.036,0.514,-0.385,-0.17,0.162,0.17892452992375327,0.11934225885281782
full_2019_2023,BHAR_year_Lp1_m63_tl,541,0.007766262465897252,0.4927373186568312,-0.29549219593044307,-0.12946427618539047,0.1568723928183463,471,-0.036,0.514,-0.385,-0.17,0.162,0.20020007887488628,0.13517113506582018
full_2019_2023,BHAR_year_Lp1_m117_tl,541,0.008552212411860721,0.49272019483565127,-0.2943188360478426,-0.12820056464940588,0.15961683565449386,471,-0.036,0.514,-0.385,-0.17,0.162,0.20069578122446716,0.1348637636482577
full_2019_2023,BHAR_year_Lp1_m53_tl,541,0.00901979635472941,0.49289137058024834,-0.29312809385942107,-0.12912809385942103,0.1596394846734071,471,-0.036,0.514,-0.385,-0.17,0.162,0.2012327533822319,0.13510432760775082
full_2019_2023,BHAR_year_Lp2_m33_os,541,-0.037763819078318876,0.4398348093332999,-0.3095423397329831,-0.13425933973298315,0.11991095500846305,471,-0.036,0.514,-0.385,-0.17,0.162,0.22921637527058972,0.1532873655255707
full_2019_2023,BHAR_year_Lp2_m33_tl,541,-0.026859525679326476,0.43841847880638724,-0.29677491966688685,-0.1251232963095092,0.1302657660650367,471,-0.036,0.514,-0.385,-0.17,0.162,0.24955801347285358,0.16483601795856728
full_2019_2023,BHAR_year_Lp2_m101_os,541,-0.01971336393770561,0.4344520463470814,-0.2873877817620036,-0.12012516551351107,0.1369002902853062,471,-0.036,0.514,-0.385,-0.17,0.162,0.26842135215439217,0.17258676243917917
full_2019_2023,BHAR_year_Lp2_m37_os,541,-0.0195246174976567,0.43462744847274387,-0.28825281772929406,-0.11912783729937951,0.13686516616028083,471,-0.036,0.514,-0.385,-0.17,0.162,0.26860211284064506,0.17275417881104563
full_2019_2023,BHAR_year_Lp2_m117_os,541,-0.016753744094024803,0.43067115541607487,-0.2797459133462546,-0.11756030180054289,0.1414246784925574,471,-0.036,0.514,-0.385,-0.17,0.162,0.28084420685054545,0.17826910636064514
full_2019_2023,BHAR_year_Lp2_m63_os,541,-0.016595371452272453,0.43087137955142524,-0.2786884135772954,-0.11854591798353087,0.1412457491855052,471,-0.036,0.514,-0.385,-0.17,0.162,0.2810531682499709,0.17851991925366856
full_2019_2023,BHAR_year_Lp2_m53_os,541,-0.0165831196679354,0.430806075718828,-0.2788558342255842,-0.11827310642428979,0.14139349664467277,471,-0.036,0.514,-0.385,-0.17,0.162,0.2810883673186899,0.17847756270545329
full_2019_2023,BHAR_year_Lp2_m101_tl,541,-0.011588807824885342,0.433157691061452,-0.27841640473730755,-0.11438706832743287,0.14807226018258335,471,-0.036,0.514,-0.385,-0.17,0.162,0.2813777678663389,0.17612426675267626
full_2019_2023,BHAR_year_Lp2_m37_tl,541,-0.011106809364292605,0.43351590852982713,-0.27928139374824706,-0.11232498761768886,0.14771863737789548,471,-0.036,0.514,-0.385,-0.17,0.162,0.2830522633620489,0.17767498125616862
full_2019_2023,BHAR_year_Lp2_m63_tl,541,-0.00564102643059433,0.42946308644875386,-0.2703855460143408,-0.1070102761853905,0.1556582974800106,471,-0.036,0.514,-0.385,-0.17,0.162,0.29884176744090996,0.18394588032025816
full_2019_2023,BHAR_year_Lp2_m53_tl,541,-0.00534240831850947,0.429530319795402,-0.2704989794545914,-0.1070109794545914,0.15568402054540859,471,-0.036,0.514,-0.385,-0.17,0.162,0.2989332924314972,0.18380602054540865
full_2019_2023,BHAR_year_Lp2_m117_tl,541,-0.005764650127216222,0.4292609115863694,-0.2701045646494059,-0.10877653361739728,0.1539184663826027,471,-0.036,0.514,-0.385,-0.17,0.162,0.2991748736370085,0.18420043535059413
full_2019_2023,BHAR_cnd_excl_first_252_m53_tl,541,-0.12159456477771553,0.5388587798507859,-0.42769894330057534,-0.2546247519651501,0.07298870307044436,471,-0.036,0.514,-0.385,-0.17,0.162,0.3267883368237825,0.21633499219528107
full_2019_2023,BHAR_cnd_excl_first_252_m117_tl,541,-0.12180260488097823,0.5389021929672869,-0.42818556732884994,-0.2547221525765518,0.07304304693574588,471,-0.036,0.514,-0.385,-0.17,0.162,0.327569470817921,0.21686467296965584
full_2019_2023,BHAR_year_Lp2_m37_eq,541,-0.096825183724685,0.401515039363406,-0.35119212804388256,-0.18000112804388257,0.04983936881077396,471,-0.036,0.514,-0.385,-0.17,0.162,0.3292797755505051,0.15596963118922608
full_2019_2023,BHAR_cnd_excl_first_252_m63_tl,541,-0.12422245192276721,0.539599884089567,-0.427733902022998,-0.2564329283236175,0.07270334990019242,471,-0.036,0.514,-0.385,-0.17,0.162,0.3322858164587573,0.21846348044642308
full_2019_2023,BHAR_year_Lp2_m33_eq,541,-0.1075872961055185,0.3977517204625673,-0.3529314549719286,-0.17783048542490498,0.03161772941156493,471,-0.036,0.514,-0.385,-0.17,0.162,0.35811687668436265,0.17028130104141143
full_2019_2023,BHAR_year_Lp1_m37_eq,541,-0.12906692821275884,0.49149964323222417,-0.42322512804388257,-0.24380712804388255,0.02461187195611741,471,-0.036,0.514,-0.385,-0.17,0.162,0.3649876691121824,0.2494203841316477
full_2019_2023,BHAR_cnd_excl_first_252_m37_tl,541,-0.12446000168918138,0.5374621202668234,-0.4408316121824788,-0.2677746017757279,0.061986810573300355,471,-0.036,0.514,-0.385,-0.17,0.162,0.3655415253409111,0.25361940338490635
full_2019_2023,BHAR_cnd_excl_first_252_m101_tl,541,-0.1246735098209367,0.5375069226268517,-0.440693681362727,-0.2675237115366993,0.06044493392570227,471,-0.036,0.514,-0.385,-0.17,0.162,0.36695289142151244,0.254772458973724
full_2019_2023,BHAR_year_Lp2_m63_eq,541,-0.11674794087277066,0.3988709527804476,-0.3593957491354267,-0.1893697491354267,0.025311023960490342,471,-0.036,0.514,-0.385,-0.17,0.162,0.3775399641318327,0.18166297603950965
