code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,in_candidate_x,candidate_status
688548,广钢气体,广州广钢气体能源股份有限公司,2023-08-15,2023,2023-08-10,2023-08-10,9.87,325561.5848,18780.1211,海通证券股份有限公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688592,司南导航,上海司南卫星导航技术股份有限公司,2023-08-16,2023,2023-08-09,2023-08-09,50.5,78477.0,9366.63,民生证券股份有限公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688573,信宇人,深圳市信宇人科技股份有限公司,2023-08-17,2023,2023-08-11,2023-08-11,23.68,57870.6,7250.58,民生证券股份有限公司,1,,,C35,专用设备制造业,True,in_candidate_x
688693,锴威特,苏州锴威特半导体股份有限公司,2023-08-18,2023,2023-08-14,2023-08-14,40.83,75213.16,8733.27,华泰联合证券有限责任公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688591,泰凌微,泰凌微电子(上海)股份有限公司,2023-08-25,2023,2023-08-22,2023-08-22,24.98,149880.0,14069.65,安信证券股份有限公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688549,中巨芯,中巨芯科技股份有限公司,2023-09-08,2023,2023-09-01,2023-09-01,5.18,191307.242,10632.2102,海通证券股份有限公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688702,盛科通信,苏州盛科通信股份有限公司,2023-09-14,2023,2023-09-08,2023-09-08,42.66,213300.0,12878.42,中国国际金融股份有限公司,1,,,I65,软件和信息技术服务业,True,in_candidate_x
688716,中研股份,吉林省中研高分子材料股份有限公司,2023-09-20,2023,2023-09-15,2023-09-15,29.66,90225.72,10254.3821,海通证券股份有限公司,1,,,C26,化学原料和化学制品制造业,True,in_candidate_x
688719,爱科赛博,西安爱科赛博电气股份有限公司,2023-09-28,2023,2023-09-22,2023-09-22,69.98,144298.76,12529.3581,长江证券承销保荐有限公司,1,,,C38,电气机械和器材制造业,True,in_candidate_x
688657,浩辰软件,苏州浩辰软件股份有限公司,2023-10-10,2023,2023-09-27,2023-09-27,103.4,115996.188,10965.1451,中信建投证券股份有限公司,1,,,I65,软件和信息技术服务业,True,in_candidate_x
688648,中邮科技,中邮科技股份有限公司,2023-11-13,2023,2023-11-08,2023-11-08,15.18,51612.0,8046.65,"中邮证券有限责任公司,中国国际金融股份有限公司",1,,,C34,通用设备制造业,True,in_candidate_x
688653,康希通信,格兰康希通信科技(上海)股份有限公司,2023-11-17,2023,2023-11-14,2023-11-14,10.5,66864.0,6896.79,招商证券股份有限公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
688652,京仪装备,北京京仪自动化装备技术股份有限公司,2023-11-29,2023,2023-11-24,2023-11-24,31.95,134190.0,7564.65,国泰君安证券股份有限公司,1,,,C35,专用设备制造业,True,in_candidate_x
688720,艾森股份,江苏艾森半导体材料股份有限公司,2023-12-06,2023,2023-12-01,2023-12-01,28.03,61759.44,7309.72,华泰联合证券有限责任公司,1,,,C39,计算机、通信和其他电子设备制造业,True,in_candidate_x
