variable,current_available,current_N,current_mean,current_std,current_p25,current_median,current_p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,mean_diff_current_minus_original,N_diff_current_minus_original,mean_pct_diff_vs_original,median_diff_current_minus_original
Price_Issue,False,0,,,,,,552,0.988,1.33,0.462,0.726,1.163,,-552,,
Price_Day5,False,0,,,,,,552,0.949,0.957,0.419,0.698,1.125,,-552,,
RD_Staff,False,0,,,,,,552,0.305,0.194,0.157,0.24,0.411,,-552,,
RD_Asset,True,541,0.0786208416889888,0.1339083919548882,0.0341924632829069,0.0523517655643675,0.085934941053372,552,0.105,0.1,0.046,0.073,0.125,-0.026379158311011203,-11,-0.25123007915248763,-0.020648234435632497
Size,True,541,20.7789294496071,0.9989818917242194,20.12539125166632,20.568765720528297,21.23784067255592,552,20.741,0.99,20.064,20.533,21.189,0.03792944960710187,-11,0.0018287184613616446,0.035765720528296185
Lev,True,541,0.3598020442739393,0.1852725904673856,0.2134414168991961,0.3366716639811341,0.476983282501462,552,0.356,0.183,0.207,0.334,0.476,0.00380204427393932,-11,0.010679899645896967,0.0026716639811340537
ROA,True,541,0.0905215112371326,0.1888975186594098,0.0581498098434334,0.1002331117302361,0.1560716452802301,552,0.094,0.145,0.058,0.1,0.157,-0.003478488762867396,-11,-0.0370051996049723,0.000233111730236088
Offerfee,True,542,18.327417050451384,0.4940199004481005,17.967248275223515,18.265833314640517,18.622711812196933,552,18.325,0.483,17.965,18.27,18.618,0.002417050451384739,-10,0.00013189906965264606,-0.004166685359482614
Underwriter,True,543,0.009208103130755,0.0956041141901607,0.0,0.0,0.0,552,0.574,0.495,0.0,1.0,1.0,-0.5647918968692449,-9,-0.9839580084830052,-1.0
Age,True,541,2.6121099223392714,0.4133773650677668,2.3588761447016,2.6598621827797437,2.908235432469833,552,2.601,0.408,2.35,2.639,2.89,0.011109922339271439,-11,0.004271404205794478,0.020862182779743943
NumIndSeg,False,0,,,,,,552,0.854,0.361,0.693,0.693,1.099,,-552,,
NumProdSeg,False,0,,,,,,552,1.475,0.376,1.386,1.609,1.609,,-552,,
ScopeLen,False,0,,,,,,552,5.671,0.854,5.159,5.762,6.276,,-552,,
