panel,variable,label,current_N,current_mean,current_std,current_p25,current_median,current_p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,mean_diff,note
Panel A 因变量,FInvention,未来发明专利,531,2.324674941405925,1.190412055156729,1.6094379124341005,2.1972245773362196,2.995732273553991,471,2.282,1.2,1.386,2.197,2.89,0.04267494140592509,上市后创新产出，按当前 master 口径
Panel A 因变量,BHAR,买入持有异常收益,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,471,-0.036,0.514,-0.385,-0.17,0.162,-0.025767252638325404,上市后市场表现，按当前 master 口径
Panel A 因变量,FSales_Growth,未来销售增长,538,0.4094078405973609,1.6726612765279378,-0.0482180615169181,0.15629103046068754,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,-0.12059215940263912,上市后经营增长，按当前 master 口径
Panel B 核心自变量,Redundancy,信息披露冗余度,543,28.94449329135104,2.174223819994331,27.552095259903826,28.815161441272817,30.493882820806693,552,29.074,2.63,27.402,28.91,30.795,-0.12950670864896097,dewrap_join + cot_v3b_len132_tight + Summary_len_proxy 主口径
Panel C 控制变量,lnN_tech,技术文本长度,543,10.96610286164976,0.32868029572143953,10.774631043951,10.978984733698187,11.17493859404669,552,10.962,0.35,10.714,10.91,11.185,0.004102861649760925,业务与技术文本长度取对数
Panel C 控制变量,RD_Staff,研发人员占比,456,0.3032684210526316,0.18788065200063248,0.15744999999999992,0.24204999999999993,0.4084499999999999,552,0.305,0.194,0.157,0.24,0.411,-0.0017315789473684173,PT_LCRDSPENDING，listing_year-1，Source=IPO 优先
Panel C 控制变量,RD_Asset,研发资产强度,541,0.07862084168898884,0.1339083919548882,0.0341924632829069,0.0523517655643675,0.085934941053372,552,0.105,0.1,0.046,0.073,0.125,-0.02637915831101116,当前 master 既有 CSMAR 口径
Panel C 控制变量,Size,公司规模,541,20.7789294496071,0.9989818917242194,20.12539125166632,20.568765720528297,21.23784067255592,552,20.741,0.99,20.064,20.533,21.189,0.03792944960710187,上市前一年总资产取对数
Panel C 控制变量,Lev,资产负债率,541,0.35980204427393936,0.18527259046738562,0.2134414168991961,0.3366716639811341,0.476983282501462,552,0.356,0.183,0.207,0.334,0.476,0.0038020442739393756,上市前一年总负债/总资产
Panel C 控制变量,ROA,资产收益率,541,0.09052151123713267,0.18889751865940987,0.0581498098434334,0.1002331117302361,0.1560716452802301,552,0.094,0.145,0.058,0.1,0.157,-0.0034784887628673267,上市前一年净利润/总资产
Panel C 控制变量,Offerfee,发行费用,542,18.327417050451384,0.49401990044810057,17.967248275223515,18.265833314640517,18.622711812196933,552,18.325,0.483,17.965,18.27,18.618,0.002417050451384739,IPO 发行费用取对数
Panel C 控制变量,Underwriter,承销商声誉,538,0.6319702602230484,0.4827183106704602,0.0,1.0,1.0,552,0.574,0.495,0.0,1.0,1.0,0.05797026022304841,IPO_Ipobasic.Sponsfm，同年 IPO 募资额 Top10
Panel C 控制变量,Age,公司年龄,541,2.6121099223392714,0.4133773650677668,2.3588761447016,2.6598621827797437,2.908235432469833,552,2.601,0.408,2.35,2.639,2.89,0.011109922339271439,上市时公司年龄取对数
Panel C 控制变量,NumIndSeg,业务/行业分部数,529,0.881195554934755,0.3654326802539621,0.6931471805599453,0.6931471805599453,1.0986122886681098,552,0.854,0.361,0.693,0.693,1.099,0.027195554934755006,FN_Fn048，listing_year，主营业务收入优先、营业收入补缺，ln(1+count)
Panel C 控制变量,NumProdSeg,产品分部数,533,1.5028034978595277,0.3462064327208159,1.3862943611198906,1.6094379124341005,1.791759469228055,552,1.475,0.376,1.386,1.609,1.609,0.027803497859527626,FN_Fn048，listing_year，主营业务收入优先、营业收入补缺，ln(1+count)
Panel C 控制变量,ScopeLen,经营范围长度,542,5.67289311256825,0.8366070095964296,5.153291594497779,5.755737206351457,6.2892513182221945,552,5.671,0.854,5.159,5.762,6.276,0.0018931125682497552,STK_LISTEDCOINFOANL.BusinessScope 清洗后 UTF-8 字节长度取对数
