sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error,source,window,window_label,start_offset,end_offset,growth_kind,treatment,paper_coef,paper_t,paper_N
full_2019_2023,simple,FSales_combo_L_to_L1_total_w1p,Redundancy,538,0.07325870714184858,0.036681822483045884,1.997139241805892,0.04581005907811703,0.00724894135480425,FSales_combo_L_to_L1_total_w1p ~ Redundancy,,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,fe_text,FSales_combo_L_to_L1_total_w1p,Redundancy,538,0.03420252109495336,0.037713382379648594,0.9069067513130349,0.36445611065762074,0.12634249678372267,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_current,FSales_combo_L_to_L1_total_w1p,Redundancy,534,0.018114616782906868,0.036707113693647764,0.49349063328947157,0.621665956569948,0.20356583820524488,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_listing_year_segments,FSales_combo_L_to_L1_total_w1p,Redundancy,523,0.01883276924026016,0.027240149701752182,0.6913607100716033,0.4893388885460742,0.13396715833039008,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_listing_year_segments_rd_staff,FSales_combo_L_to_L1_total_w1p,Redundancy,438,-0.0010527838183860836,0.025365857058604613,-0.04150397189236537,0.9668941264720229,0.13506348306680915,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,simple,FSales_combo_L_to_L1_total_w1p,Redundancy,471,0.06146358738095009,0.04117927988856622,1.492585289186079,0.13554577644918256,0.00430627926862881,FSales_combo_L_to_L1_total_w1p ~ Redundancy,,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,fe_text,FSales_combo_L_to_L1_total_w1p,Redundancy,471,0.027617278135786683,0.04412823254150284,0.6258414748384151,0.5314189249687421,0.09696054449328229,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,controls_fe_current,FSales_combo_L_to_L1_total_w1p,Redundancy,467,0.01732682787230828,0.04295927958223433,0.4033314348100412,0.6867044195500758,0.16780581887508716,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,controls_fe_listing_year_segments,FSales_combo_L_to_L1_total_w1p,Redundancy,458,0.029534839537436023,0.03231362180556218,0.9140058553372113,0.3607137689882576,0.12063491323346187,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,controls_fe_listing_year_segments_rd_staff,FSales_combo_L_to_L1_total_w1p,Redundancy,376,0.005338894930132012,0.02938083745397673,0.1817135042013374,0.8558075675958954,0.11730366809816806,FSales_combo_L_to_L1_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff + C(listing_year_fe) + C(industry_fe),,combo,L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,simple,FSales_combo_L1_to_L2_total_w1p,Redundancy,537,-0.007627896090356178,0.009189915680736889,-0.8300289529690809,0.40652241416363066,-0.0005611160283036654,FSales_combo_L1_to_L2_total_w1p ~ Redundancy,,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,fe_text,FSales_combo_L1_to_L2_total_w1p,Redundancy,537,-0.0005649316125371524,0.010428292431283518,-0.05417297378834824,0.956797352848883,0.036344452321429244,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_current,FSales_combo_L1_to_L2_total_w1p,Redundancy,533,-0.003928168506306824,0.010181198684034228,-0.38582573901311146,0.6996257315105381,0.05795274027074637,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_listing_year_segments,FSales_combo_L1_to_L2_total_w1p,Redundancy,521,-0.008966382150858971,0.010380277450561942,-0.8637902207877469,0.387703140920985,0.03622775220230379,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
full_2019_2023,controls_fe_listing_year_segments_rd_staff,FSales_combo_L1_to_L2_total_w1p,Redundancy,436,-0.004559962153674438,0.011368346970768384,-0.40111039585610314,0.6883388472727685,-0.0049904575439136956,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,simple,FSales_combo_L1_to_L2_total_w1p,Redundancy,470,-0.009041177170993748,0.010205146823907852,-0.8859428802937707,0.37564830782044145,-0.0003809918235453402,FSales_combo_L1_to_L2_total_w1p ~ Redundancy,,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,fe_text,FSales_combo_L1_to_L2_total_w1p,Redundancy,470,-0.005568093180747492,0.011523394993873478,-0.4831990210964583,0.6289544303403688,0.044544526329252654,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
w2_2019_2022,controls_fe_current,FSales_combo_L1_to_L2_total_w1p,Redundancy,466,-0.008381780065099736,0.011314932676848518,-0.7407715365597972,0.4588319761446584,0.05358760081560232,FSales_combo_L1_to_L2_total_w1p ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),,combo,L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,-0.0373,-2.02,471
