code,sec_name_csmar,company_name_csmar,list_date_csmar,list_year_csmar,prospectus_publish_date_csmar,prospectus_sign_date_csmar,issue_price,gross_proceeds,issue_fee,sponsor,Listexg,Nindcd,Nindnme,IndustryCodeC,IndustryNameC,in_candidate_x,candidate_status
688001,华兴源创,苏州华兴源创科技股份有限公司,2019-07-22,2019,2019-07-03,2019-07-03,24.26,97282.6,9193.3,华泰联合证券有限责任公司,1,C35,专用设备制造业,,,True,in_candidate_x
688002,睿创微纳,烟台睿创微纳技术股份有限公司,2019-07-22,2019,2019-07-08,2019-07-08,20.0,120000.0,6602.69,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688003,天准科技,苏州天准科技股份有限公司,2019-07-22,2019,2019-07-08,2019-07-08,25.5,123420.0,10093.08,海通证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688005,容百科技,宁波容百新能源科技股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,26.62,119790.0,9689.71,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688006,杭可科技,浙江杭可科技股份有限公司,2019-07-22,2019,2019-07-09,2019-07-09,27.43,112463.0,10470.58,国信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688007,光峰科技,深圳光峰科技股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,17.5,119000.0,12752.9202,华泰联合证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688008,澜起科技,澜起科技股份有限公司,2019-07-22,2019,2019-07-12,2019-07-12,24.8,280193.84,5538.04,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688009,中国通号,中国铁路通信信号股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,5.85,1053000.0,17565.76,中国国际金融股份有限公司,1,C37,铁路、船舶、航空航天和其它运输设备制造业,,,True,in_candidate_x
688010,福光股份,福建福光股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,25.22,97853.6,6083.95,兴业证券股份有限公司,1,C40,仪器仪表制造业,,,True,in_candidate_x
688011,新光光电,哈尔滨新光光电科技股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,38.09,95225.0,8704.16,中信建投证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688012,中微公司,中微半导体设备(上海)股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,29.01,155163.54,10593.26,海通证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688015,交控科技,交控科技股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,16.18,64720.0,6203.51,中国国际金融股份有限公司,1,C37,铁路、船舶、航空航天和其它运输设备制造业,,,True,in_candidate_x
688016,心脉医疗,上海微创心脉医疗科技股份有限公司,2019-07-22,2019,2019-07-17,2019-07-17,46.23,83214.0,10248.11,"国泰君安证券股份有限公司,华菁证券有限公司",1,C35,专用设备制造业,,,True,in_candidate_x
688018,乐鑫科技,乐鑫信息科技(上海)股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,62.6,125200.0,12034.78,招商证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688019,安集科技,安集微电子科技(上海)股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,39.19,52032.94,4543.75,申万宏源证券承销保荐有限责任公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688020,方邦股份,广州方邦电子股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,53.88,107760.0,9856.0377,华泰联合证券有限责任公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688022,瀚川智能,苏州瀚川智能科技股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,25.79,69633.0,7560.3744,安信证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688028,沃尔德,北京沃尔德金刚石工具股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,26.68,53360.0,6432.89,中信建投证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688029,南微医学,南京微创医学科技股份有限公司,2019-07-22,2019,2019-07-17,2019-07-17,52.45,174868.3,15590.64,南京证券股份有限公司,1,C35,专用设备制造业,,,True,in_candidate_x
688033,天宜上佳,北京天宜上佳高新材料股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,20.37,97531.56,10750.2743,中信建投证券股份有限公司,1,C37,铁路、船舶、航空航天和其它运输设备制造业,,,True,in_candidate_x
688066,航天宏图,北京航天宏图信息技术股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,17.25,71587.5,7407.2036,国信证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688088,虹软科技,虹软科技股份有限公司,2019-07-22,2019,2019-07-17,2019-07-17,28.88,132848.0,7392.92,"中信建投证券股份有限公司,华泰联合证券有限责任公司",1,I65,软件和信息技术服务业,,,True,in_candidate_x
688122,西部超导,西部超导材料科技股份有限公司,2019-07-22,2019,2019-07-17,2019-07-17,15.0,66300.0,5987.85,中信建投证券股份有限公司,1,C32,有色金属冶炼及压延加工业,,,True,in_candidate_x
688333,铂力特,西安铂力特增材技术股份有限公司,2019-07-22,2019,2019-07-16,2019-07-16,33.0,66000.0,6133.08,中信建投证券股份有限公司,1,C34,通用设备制造业,,,True,in_candidate_x
688388,嘉元科技,广东嘉元科技股份有限公司,2019-07-22,2019,2019-07-18,2019-07-18,28.26,163342.8,12385.85,东兴证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688099,晶晨股份,晶晨半导体(上海)股份有限公司,2019-08-08,2019,2019-08-02,2019-08-02,38.5,158312.0,7991.71,国泰君安证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688188,柏楚电子,上海柏楚电子科技股份有限公司,2019-08-08,2019,2019-08-02,2019-08-02,68.58,171450.0,10281.29,中信证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688321,微芯生物,深圳微芯生物科技股份有限公司,2019-08-12,2019,2019-08-06,2019-08-06,20.43,102150.0,7631.18,安信证券股份有限公司,1,C27,医药制造业,,,True,in_candidate_x
688168,安博通,北京安博通科技股份有限公司,2019-09-06,2019,2019-09-03,2019-09-03,56.88,72777.96,5730.38,天风证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688116,天奈科技,江苏天奈科技股份有限公司,2019-09-25,2019,2019-09-20,2019-09-20,16.0,92743.2464,9843.1724,民生证券股份有限公司,1,C26,化学原料及化学制品制造业,,,True,in_candidate_x
688030,山石网科,山石网科通信技术股份有限公司,2019-09-30,2019,2019-09-24,2019-09-24,21.06,94887.94,8940.77,中国国际金融股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
688036,传音控股,深圳传音控股股份有限公司,2019-09-30,2019,2019-09-25,2019-09-25,35.15,281200.0,13734.39,中信证券股份有限公司,1,C39,计算机、通信和其他电子设备制造业,,,True,in_candidate_x
688068,热景生物,北京热景生物技术股份有限公司,2019-09-30,2019,2019-09-24,2019-09-24,29.46,45810.3,5903.2,中德证券有限责任公司,1,C27,医药制造业,,,True,in_candidate_x
688368,晶丰明源,上海晶丰明源半导体股份有限公司,2019-10-14,2019,2019-10-08,2019-10-08,56.68,87287.2,8512.96,广发证券股份有限公司,1,I65,软件和信息技术服务业,,,True,in_candidate_x
