sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4
688122,西部超导,17,63240,1656,2011,2.005333661720014,38.10322234084916,31.406347125419945,2019-07-17,17,63248,11.054818785536467,38.18840579710145,31.447041272998508
688002,睿创微纳,15,56427,1562,1915,2.366461354786515,37.09732766792433,30.223022300888978,2019-07-08,15,56436,10.940862531733048,36.12483994878361,29.46579634464752
688088,虹软科技,16,61725,1747,2030,2.2871177644858007,36.944869229043455,32.083546271691404,2019-07-17,16,61729,11.030509115677916,35.33199771036062,30.4064039408867
688009,中国通号,26,100149,2836,3295,2.434080129746012,36.50352709534389,31.758087555819557,2019-07-16,26,100160,11.514524186333926,35.313469675599436,30.39423368740516
688006,杭可科技,14,51366,1466,1728,2.5868015177507258,35.62994941456301,30.49726429380678,2019-07-09,14,51371,10.846829089886597,35.03819918144611,29.725694444444443
688033,天宜上佳,27,104701,3098,3798,2.503515398839315,34.497676493232326,28.13918889578937,2019-07-18,27,104710,11.558949903281508,33.796320206584895,27.567403896787784
688018,乐鑫科技,12,43794,1315,1539,2.479927805781197,33.77524206309214,29.22687211152828,2019-07-16,12,43799,10.687366265053678,33.30342205323194,28.45614035087719
688028,沃尔德,16,63160,1937,2442,2.4112517860364777,33.042211207011036,26.154299495028933,2019-07-18,16,63168,11.053553122793154,32.60712441920496,25.864045864045863
688015,交控科技,15,56851,1756,2051,2.1257019497722274,32.55012830452149,27.947170381421014,2019-07-18,15,56857,10.94829462264529,32.375284738041,27.718673817649925
688005,容百科技,12,47741,1499,1783,2.2793008875910643,34.20287673491185,29.40373708219502,2019-07-16,12,47744,10.773608683563433,31.84856571047365,26.77565900168256
688012,中微公司,9,32325,1021,1196,2.1453164333885613,32.07850273107668,27.485019790940513,2019-07-16,9,32330,10.383750870719478,31.66013712047013,27.027591973244146
688333,铂力特,24,93830,2966,3552,2.316551713249733,33.01689944161976,27.800212658739152,2019-07-16,24,93843,11.449378452125812,31.635198921105868,26.416103603603602
688008,澜起科技,10,37624,1200,1402,2.167641089464116,33.68507305700555,28.909370879923635,2019-07-12,10,37628,10.535503733091842,31.35333333333333,26.835948644793152
688001,华兴源创,17,66441,2147,2501,2.3657566985873766,33.19704646948445,29.187838853531947,2019-07-03,17,66449,11.104190015119201,30.945971122496506,26.56577369052379
688022,瀚川智能,18,68761,2223,2662,2.4551175634967333,31.699263584234902,26.70480243029614,2019-07-18,18,68765,11.138450173548808,30.931623931623932,25.830578512396695
688029,南微医学,26,101138,3318,3911,2.287175303775246,30.962359373890344,26.25905461603724,2019-07-17,26,101151,11.524369728854486,30.48161543098252,25.859882383022246
688016,心脉医疗,15,56003,1894,2151,2.5046146826832016,29.473605152791077,25.897851804524866,2019-07-17,15,56016,10.933392643194447,29.568637803590285,26.03579730357973
688020,方邦股份,10,37061,1255,1552,2.4133818149895605,29.71334153464967,23.96065924066847,2019-07-18,10,37065,10.52042840709082,29.530677290836653,23.879510309278352
688010,福光股份,14,51938,1767,2138,2.314687910502006,29.74248200509174,24.58987661940225,2019-07-16,14,51944,10.857921494188323,29.393322014714204,24.292797006548177
688066,航天宏图,16,60358,2095,2480,2.256600323034207,28.899243004031373,24.513214994710797,2019-07-18,16,60361,11.008098480007638,28.81050119331742,24.337903225806453
688019,安集科技,12,44881,1572,1897,2.1843171313430765,29.06229006290032,24.209621957609162,2019-07-16,12,44886,10.71188122110046,28.550254452926207,23.658935160780178
688011,新光光电,16,60685,2126,2536,2.3658987706398573,29.734040126394326,25.044352423865153,2019-07-16,16,60689,11.013517741515043,28.544214487300096,23.92941640378549
688388,嘉元科技,19,71419,2576,3237,2.413548252602566,29.146811027659616,23.255975663606883,2019-07-18,19,71423,11.176375225306858,27.72476708074534,22.063330244053137
688007,光峰科技,16,63227,2379,2908,2.610310674552978,26.840269017691725,21.99382691635463,2019-07-16,16,63232,11.05456578110754,26.577133249264396,21.742434662998626
688003,天准科技,18,67095,2780,3298,2.7272483702649706,24.616156746756992,20.93816968216268,2019-07-08,18,67102,11.11396912877489,24.134892086330936,20.344147968465737
