custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy
688001_1206416030_glm4_dewrap_join_chunk_0001,688001,华兴源创,1206416030,1,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6912,6500,3983,3983,17,3983
688001_1206416030_glm4_dewrap_join_chunk_0002,688001,华兴源创,1206416030,2,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7159,6640,3998,3998,17,3998
688001_1206416030_glm4_dewrap_join_chunk_0003,688001,华兴源创,1206416030,3,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6992,6483,3996,3996,17,3996
688001_1206416030_glm4_dewrap_join_chunk_0004,688001,华兴源创,1206416030,4,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7168,6718,3996,3996,17,3996
688001_1206416030_glm4_dewrap_join_chunk_0005,688001,华兴源创,1206416030,5,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7012,6625,3799,3799,17,3799
688001_1206416030_glm4_dewrap_join_chunk_0006,688001,华兴源创,1206416030,6,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7019,6554,3940,3940,17,3940
688001_1206416030_glm4_dewrap_join_chunk_0007,688001,华兴源创,1206416030,7,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6900,6435,3991,3991,17,3991
688001_1206416030_glm4_dewrap_join_chunk_0008,688001,华兴源创,1206416030,8,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7500,7155,3994,3994,17,3994
688001_1206416030_glm4_dewrap_join_chunk_0009,688001,华兴源创,1206416030,9,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6633,6012,3972,3972,17,3972
688001_1206416030_glm4_dewrap_join_chunk_0010,688001,华兴源创,1206416030,10,17,results/glm4_dewrap_join_first_batch25_20260706/chunks/688001_1206416030_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6090,5292,3978,3978,17,3978
