sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688001,华兴源创,1206416030,首次公开发行股票并在科创板上市招股说明书,2019-07-03,final_prospectus,ok,104898,17,17,17,104898,4285,66441,2147,1502,51,403,0.2603487472288259,-20.705882352941178,2.3657566985873766,155,332,293,319,296,107,True,token_proxy,30.945971122496506,30.945971122496506
688002,睿创微纳,1206430547,首次公开发行股票并在科创板上市招股说明书,2019-07-08,final_prospectus,ok,85900,15,15,15,85900,3114,56427,1562,1201,43,280,0.23242730523814129,-15.8,2.366461354786515,81,288,285,267,211,69,True,token_proxy,36.12483994878361,36.12483994878361
688003,天准科技,1206430546,首次公开发行股票并在科创板上市招股说明书,2019-07-08,final_prospectus,ok,108835,18,18,18,108835,5551,67095,2780,973,75,334,0.36663990792152157,-14.38888888888889,2.7272483702649706,67,212,151,209,245,89,True,token_proxy,24.134892086330936,24.134892086330936
688006,杭可科技,1206433065,首次公开发行股票并在科创板上市招股说明书,2019-07-09,final_prospectus,ok,82688,14,14,14,82688,2921,51366,1466,906,46,258,0.30539212548444816,-15.142857142857142,2.5868015177507258,20,279,159,190,186,72,True,token_proxy,35.03819918144611,35.03819918144611
688008,澜起科技,1206441634,首次公开发行股票并在科创板上市招股说明书,2019-07-12,final_prospectus,ok,61411,10,10,10,61411,2395,37624,1200,879,39,191,0.2210718588357333,-15.2,2.167641089464116,68,291,191,138,156,35,True,token_proxy,31.35333333333333,31.35333333333333
688005,容百科技,1206447899,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,74693,12,12,12,74693,2992,47741,1499,876,42,227,0.2531422924074576,-15.416666666666666,2.2793008875910643,97,237,148,167,160,67,True,token_proxy,31.84856571047365,31.84856571047365
688007,光峰科技,1206447905,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,101293,16,16,16,101293,4751,63227,2379,1444,48,413,0.2926434581542833,-22.8125,2.610310674552978,87,286,284,374,299,114,True,token_proxy,26.577133249264396,26.577133249264396
688009,中国通号,1206447900,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,158698,26,26,26,158698,5663,100149,2836,1628,77,346,0.21336383849813023,-10.346153846153847,2.434080129746012,127,225,517,413,270,76,True,token_proxy,35.313469675599436,35.313469675599436
688010,福光股份,1206447921,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,80411,14,14,14,80411,3528,51938,1767,907,42,220,0.2492984055425668,-12.714285714285714,2.314687910502006,79,252,149,207,175,45,True,token_proxy,29.393322014714204,29.393322014714204
688011,新光光电,1206447906,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,94648,16,16,16,94648,4246,60685,2126,850,54,216,0.2878770638766417,-10.125,2.3658987706398573,98,250,154,132,138,78,True,token_proxy,28.544214487300096,28.544214487300096
688012,中微公司,1206447929,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,50787,9,9,9,50787,2041,32325,1021,694,31,158,0.22247664880952772,-14.11111111111111,2.1453164333885613,66,222,154,94,108,50,True,token_proxy,31.66013712047013,31.66013712047013
688018,乐鑫科技,1206447930,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,73108,12,12,12,73108,2625,43794,1315,673,34,178,0.2726042349693399,-12.0,2.479927805781197,52,174,115,154,123,55,True,token_proxy,33.30342205323194,33.30342205323194
688019,安集科技,1206447918,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,71359,12,12,12,71359,3137,44881,1572,907,47,207,0.2339380479776383,-13.333333333333334,2.1843171313430765,85,299,169,147,152,55,True,token_proxy,28.550254452926207,28.550254452926207
688333,铂力特,1206447901,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,ok,146255,24,24,24,146255,5919,93830,2966,1982,70,478,0.24222094771118707,-17.0,2.316551713249733,178,487,421,418,367,111,True,token_proxy,31.635198921105868,31.635198921105868
688016,心脉医疗,1206452544,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,ok,88069,15,15,15,88069,3779,56003,1894,1219,45,330,0.2743993401149608,-19.0,2.5046146826832016,69,285,252,283,261,69,True,token_proxy,29.568637803590285,29.568637803590285
688029,南微医学,1206452542,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,ok,156245,26,26,26,156245,6624,101138,3318,1758,97,361,0.22263039144384883,-10.153846153846153,2.287175303775246,192,448,342,415,290,71,True,token_proxy,30.48161543098252,30.48161543098252
688088,虹软科技,1206452540,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,ok,105176,16,16,16,105176,3484,61725,1747,1358,56,290,0.20913810978047281,-14.625,2.2871177644858007,118,306,348,296,206,84,True,token_proxy,35.33199771036062,35.33199771036062
688122,西部超导,1206452543,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,ok,96140,17,17,17,96140,3305,63240,1656,1345,50,238,0.17535852994192588,-11.058823529411764,2.005333661720014,220,354,271,262,189,49,True,token_proxy,38.18840579710145,38.18840579710145
