sec_code,sec_name,announcement_date,chunk_count,tech_text_glm4_tokens
688001,华兴源创,2019-07-03,17,66449
688002,睿创微纳,2019-07-08,15,56436
688003,天准科技,2019-07-08,18,67102
688006,杭可科技,2019-07-09,14,51371
688008,澜起科技,2019-07-12,10,37628
688005,容百科技,2019-07-16,12,47744
688007,光峰科技,2019-07-16,16,63232
688009,中国通号,2019-07-16,26,100160
688010,福光股份,2019-07-16,14,51944
688011,新光光电,2019-07-16,16,60689
688012,中微公司,2019-07-16,9,32330
688018,乐鑫科技,2019-07-16,12,43799
688019,安集科技,2019-07-16,12,44886
688333,铂力特,2019-07-16,24,93843
688016,心脉医疗,2019-07-17,15,56016
688029,南微医学,2019-07-17,26,101151
688088,虹软科技,2019-07-17,16,61729
688122,西部超导,2019-07-17,17,63248
688015,交控科技,2019-07-18,15,56857
688020,方邦股份,2019-07-18,10,37065
688022,瀚川智能,2019-07-18,18,68765
688028,沃尔德,2019-07-18,16,63168
688033,天宜上佳,2019-07-18,27,104710
688066,航天宏图,2019-07-18,16,60361
688388,嘉元科技,2019-07-18,19,71423
