sec_code,sec_name,chunk_n,shard,year
688017,绿的谐波,11,1,2020
688025,杰普特,19,1,2019
688031,星环科技,19,1,2022
688037,芯源微,13,1,2019
688047,龙芯中科,8,1,2022
688048,长光华芯,16,1,2022
688057,金达莱,28,1,2020
688067,爱威科技,17,1,2021
688076,诺泰生物,27,1,2021
688077,大地熊,13,1,2020
688079,美迪凯,12,1,2021
688084,晶品特装,15,1,2022
688087,英科再生,14,1,2021
688092,爱科科技,17,1,2021
688097,博众精工,20,1,2021
688100,威胜信息,23,1,2020
688107,安路科技,10,1,2021
688108,赛诺医疗,21,1,2019
688110,东芯股份,11,1,2021
688131,皓元医药,25,1,2021
688135,利扬芯片,13,1,2020
688136,科兴制药,18,1,2020
688137,近岸蛋白,16,1,2022
688151,华强科技,12,1,2021
688155,先惠技术,15,1,2020
688156,路德环境,17,1,2020
688167,炬光科技,14,1,2021
688170,德龙激光,16,1,2022
688175,高凌信息,19,1,2022
688177,百奥泰,24,1,2020
688184,帕瓦股份,8,1,2022
688191,智洋创新,18,1,2021
688197,首药控股,13,1,2022
688199,久日新材,23,1,2019
688207,格灵深瞳,9,1,2022
688210,统联精密,12,1,2021
688213,思特威,11,1,2022
688223,晶科能源,16,1,2022
688232,新点软件,20,1,2021
688237,超卓航科,10,1,2022
688246,嘉和美康,19,1,2021
688253,英诺特,15,1,2022
688255,凯尔达,18,1,2021
688262,国芯科技,21,1,2021
688270,臻镭科技,12,1,2022
688275,万润新能,17,1,2022
688276,百克生物,14,1,2021
688281,华秦科技,13,1,2022
688295,中复神鹰,14,1,2022
688296,和达科技,16,1,2021
688300,联瑞新材,23,1,2019
688302,海创药业,19,1,2022
688309,恒誉环保,26,1,2020
688314,康拓医疗,12,1,2021
688323,瑞华泰,10,1,2021
688327,云从科技,18,1,2022
688334,西高院,21,1,2023
688335,复洁环保,16,1,2020
688339,亿华通,20,1,2020
688352,颀中科技,15,1,2023
688358,祥生医疗,17,1,2019
688362,甬矽电子,12,1,2022
688369,致远互联,14,1,2019
688381,帝奥微,13,1,2022
688382,益方生物,22,1,2022
688386,泛亚微透,16,1,2020
688391,钜泉科技,17,1,2022
688395,正弦电气,11,1,2021
688416,恒烁股份,14,1,2022
688418,震有科技,18,1,2020
688419,耐科装备,15,1,2022
688429,时创能源,9,1,2023
688439,振华风光,8,1,2022
688475,萤石网络,15,1,2022
688480,赛恩斯,17,1,2022
688499,利元亨,13,1,2021
688505,复旦张江,18,1,2020
688508,芯朋微,12,1,2020
688511,天微电子,16,1,2021
688518,联赢激光,25,1,2020
688522,纳睿雷达,11,1,2023
688525,佰维存储,15,1,2022
688543,国科军工,9,1,2023
688556,高测股份,19,1,2020
688561,奇安信,24,1,2020
688562,航天软件,14,1,2023
688568,中科星图,21,1,2020
688577,浙海德曼,16,1,2020
688578,艾力斯,20,1,2020
688590,新致软件,12,1,2020
688591,泰凌微,13,1,2023
688600,皖仪科技,17,1,2020
688606,奥泰生物,18,1,2021
688608,恒玄科技,10,1,2020
688616,西力科技,14,1,2021
688619,罗普特,23,1,2021
688646,逸飞激光,11,1,2023
688656,浩欧博,15,1,2021
688661,和林微纳,13,1,2021
688665,四方光电,20,1,2021
688669,聚石化学,16,1,2021
688670,金迪克,14,1,2021
688680,海优新材,12,1,2021
688690,纳微科技,11,1,2021
688696,极米科技,21,1,2021
688699,明微电子,14,1,2020
688717,艾罗能源,17,1,2023
688737,中自科技,15,1,2021
688772,珠海冠宇,16,1,2021
