custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir
688456_1209371603_glm4_dewrap_join_chunk_0001,688456,有研粉材,1209371603,1,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6676,6274,3996,3996,15,3996,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0002,688456,有研粉材,1209371603,2,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6704,6221,3915,3915,15,3915,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0003,688456,有研粉材,1209371603,3,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6869,6552,3970,3970,15,3970,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0004,688456,有研粉材,1209371603,4,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6618,6173,3979,3979,15,3979,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0005,688456,有研粉材,1209371603,5,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6749,6241,3960,3960,15,3960,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0006,688456,有研粉材,1209371603,6,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6691,6300,3983,3983,15,3983,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0007,688456,有研粉材,1209371603,7,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5817,5162,3758,3758,15,3758,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0008,688456,有研粉材,1209371603,8,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6204,5503,3972,3972,15,3972,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0009,688456,有研粉材,1209371603,9,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6403,5870,3992,3992,15,3992,glm4_dewrap_join_full543_20260705
688456_1209371603_glm4_dewrap_join_chunk_0010,688456,有研粉材,1209371603,10,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6284,5844,3976,3976,15,3976,glm4_dewrap_join_full543_20260705
