custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir
688090_1207300445_glm4_dewrap_join_chunk_0001,688090,瑞松科技,1207300445,1,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6741,6533,3987,3987,24,3987,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0002,688090,瑞松科技,1207300445,2,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6654,6437,3998,3998,24,3998,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0003,688090,瑞松科技,1207300445,3,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7058,6760,3970,3970,24,3970,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0004,688090,瑞松科技,1207300445,4,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7016,6558,3970,3970,24,3970,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0005,688090,瑞松科技,1207300445,5,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7621,7401,3998,3998,24,3998,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0006,688090,瑞松科技,1207300445,6,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6710,6213,3964,3964,24,3964,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0007,688090,瑞松科技,1207300445,7,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7222,7024,3808,3808,24,3808,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0008,688090,瑞松科技,1207300445,8,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6052,5473,3770,3770,24,3770,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0009,688090,瑞松科技,1207300445,9,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6445,5880,3986,3986,24,3986,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0010,688090,瑞松科技,1207300445,10,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6921,6636,3994,3994,24,3994,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0011,688090,瑞松科技,1207300445,11,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6585,6247,3993,3993,24,3993,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0012,688090,瑞松科技,1207300445,12,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6326,5442,3999,3999,24,3999,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0013,688090,瑞松科技,1207300445,13,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6464,5995,3949,3949,24,3949,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0014,688090,瑞松科技,1207300445,14,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0014.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6122,4638,3812,3812,24,3812,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0015,688090,瑞松科技,1207300445,15,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0015.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5169,4044,3497,3497,24,3497,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0016,688090,瑞松科技,1207300445,16,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0016.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,4940,4145,3358,3358,24,3358,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0017,688090,瑞松科技,1207300445,17,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0017.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5236,4446,3531,3531,24,3531,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0018,688090,瑞松科技,1207300445,18,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0018.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6091,5467,3994,3994,24,3994,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0019,688090,瑞松科技,1207300445,19,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0019.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6634,6428,3999,3999,24,3999,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0020,688090,瑞松科技,1207300445,20,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0020.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6543,6225,3973,3973,24,3973,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0021,688090,瑞松科技,1207300445,21,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0021.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6160,5398,3992,3992,24,3992,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0022,688090,瑞松科技,1207300445,22,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0022.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6885,6311,3992,3992,24,3992,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0023,688090,瑞松科技,1207300445,23,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0023.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6927,6459,3987,3987,24,3987,glm4_dewrap_join_full543_20260705
688090_1207300445_glm4_dewrap_join_chunk_0024,688090,瑞松科技,1207300445,24,24,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688090_1207300445_glm4_dewrap_join_chunk_0024.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,1466,1368,748,748,24,748,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0001,688200,华峰测控,1207304039,1,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6985,6500,3983,3983,12,3983,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0002,688200,华峰测控,1207304039,2,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7342,6836,3993,3993,12,3993,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0003,688200,华峰测控,1207304039,3,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7338,7013,3972,3972,12,3972,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0004,688200,华峰测控,1207304039,4,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7183,6798,3983,3983,12,3983,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0005,688200,华峰测控,1207304039,5,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7326,6990,3992,3992,12,3992,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0006,688200,华峰测控,1207304039,6,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7384,7009,3989,3989,12,3989,glm4_dewrap_join_full543_20260705
688200_1207304039_glm4_dewrap_join_chunk_0007,688200,华峰测控,1207304039,7,12,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688200_1207304039_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6439,5772,3980,3980,12,3980,glm4_dewrap_join_full543_20260705
