sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,pdf_url,download_status,pdf_file,txt_file,section_status,section_file,section_start_char,section_end_char,full_text_chars,tech_text_chars,tech_text_compact_chars,chunk_count,source_run_name,section_extraction_method,ocr_pdf_start_page,ocr_pdf_end_page,ocr_dpi,source_chunk_count,token_mode,max_units,tech_text_token_proxy,chunk_count_token_proxy,source_section_file,normalization_mode,tokenizer,max_tokens,tech_text_glm4_tokens,lnN_tech_glm4,year,source_dir
688001,华兴源创,1206416030,首次公开发行股票并在科创板上市招股说明书,2019-07-03,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-03/1206416030.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-03_688001_华兴源创_1206416030_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-03_688001_华兴源创_1206416030_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688001_1206416030_business_technology.txt,96643.0,222136.0,587538,114423,104898,17,,,,,,,glm4_dewrap_join,,66449,,results/star_first_batch_missing_20260706/business_technology_text/688001_1206416030_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,66449,11.1041900151192,,glm4_dewrap_join_first_batch25_20260706
688002,睿创微纳,1206430547,首次公开发行股票并在科创板上市招股说明书,2019-07-08,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-08/1206430547.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-08_688002_睿创微纳_1206430547_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-08_688002_睿创微纳_1206430547_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688002_1206430547_business_technology.txt,117962.0,219767.0,656003,93568,85900,15,,,,,,,glm4_dewrap_join,,56436,,results/star_first_batch_missing_20260706/business_technology_text/688002_1206430547_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,56436,10.940862531733048,,glm4_dewrap_join_first_batch25_20260706
688003,天准科技,1206430546,首次公开发行股票并在科创板上市招股说明书,2019-07-08,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-08/1206430546.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-08_688003_天准科技_1206430546_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-08_688003_天准科技_1206430546_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688003_1206430546_business_technology.txt,59679.0,186151.0,516392,116789,108835,18,,,,,,,glm4_dewrap_join,,67102,,results/star_first_batch_missing_20260706/business_technology_text/688003_1206430546_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,67102,11.11396912877489,,glm4_dewrap_join_first_batch25_20260706
688005,容百科技,1206447899,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447899.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688005_容百科技_1206447899_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688005_容百科技_1206447899_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688005_1206447899_business_technology.txt,158055.0,245507.0,685102,80038,74693,12,,,,,,,glm4_dewrap_join,,47744,,results/star_first_batch_missing_20260706/business_technology_text/688005_1206447899_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,47744,10.773608683563433,,glm4_dewrap_join_first_batch25_20260706
688006,杭可科技,1206433065,首次公开发行股票并在科创板上市招股说明书,2019-07-09,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-09/1206433065.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-09_688006_杭可科技_1206433065_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-09_688006_杭可科技_1206433065_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688006_1206433065_business_technology.txt,86813.0,184067.0,555577,88013,82688,14,,,,,,,glm4_dewrap_join,,51371,,results/star_first_batch_missing_20260706/business_technology_text/688006_1206433065_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,51371,10.846829089886596,,glm4_dewrap_join_first_batch25_20260706
688007,光峰科技,1206447905,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447905.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688007_光峰科技_1206447905_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688007_光峰科技_1206447905_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688007_1206447905_business_technology.txt,124393.0,242240.0,919677,108467,101293,16,,,,,,,glm4_dewrap_join,,63232,,results/star_first_batch_missing_20260706/business_technology_text/688007_1206447905_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,63232,11.05456578110754,,glm4_dewrap_join_first_batch25_20260706
688008,澜起科技,1206441634,首次公开发行股票并在科创板上市招股说明书,2019-07-12,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-12/1206441634.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-12_688008_澜起科技_1206441634_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-12_688008_澜起科技_1206441634_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688008_1206441634_business_technology.txt,121792.0,194852.0,564123,66516,61411,10,,,,,,,glm4_dewrap_join,,37628,,results/star_first_batch_missing_20260706/business_technology_text/688008_1206441634_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,37628,10.535503733091842,,glm4_dewrap_join_first_batch25_20260706
688009,中国通号,1206447900,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447900.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688009_中国通号_1206447900_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688009_中国通号_1206447900_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688009_1206447900_business_technology.txt,164917.0,354024.0,1336566,171508,158698,26,,,,,,,glm4_dewrap_join,,100160,,results/star_first_batch_missing_20260706/business_technology_text/688009_1206447900_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,100160,11.514524186333926,,glm4_dewrap_join_first_batch25_20260706
688010,福光股份,1206447921,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447921.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688010_福光股份_1206447921_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688010_福光股份_1206447921_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688010_1206447921_business_technology.txt,77816.0,174122.0,596508,87666,80411,14,,,,,,,glm4_dewrap_join,,51944,,results/star_first_batch_missing_20260706/business_technology_text/688010_1206447921_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,51944,10.857921494188323,,glm4_dewrap_join_first_batch25_20260706
688011,新光光电,1206447906,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447906.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688011_新光光电_1206447906_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688011_新光光电_1206447906_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688011_1206447906_business_technology.txt,96093.0,207041.0,612700,101294,94648,16,,,,,,,glm4_dewrap_join,,60689,,results/star_first_batch_missing_20260706/business_technology_text/688011_1206447906_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,60689,11.013517741515043,,glm4_dewrap_join_first_batch25_20260706
688012,中微公司,1206447929,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447929.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688012_中微公司_1206447929_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688012_中微公司_1206447929_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688012_1206447929_business_technology.txt,98280.0,159526.0,529370,56495,50787,9,,,,,,,glm4_dewrap_join,,32330,,results/star_first_batch_missing_20260706/business_technology_text/688012_1206447929_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,32330,10.383750870719478,,glm4_dewrap_join_first_batch25_20260706
