sec_code,sec_name,announcement_date,chunk_count,tech_text_glm4_tokens
688099,晶晨股份,2019-08-02,10,37833
688310,迈得医疗,2019-11-26,11,41287
688138,清溢光电,2019-11-15,13,50051
688098,申联生物,2019-10-22,14,52829
688202,美迪西,2019-10-31,15,57091
688118,普元信息,2019-11-28,16,59081
688181,八亿时空,2019-12-31,17,64303
688218,江苏北人,2019-12-03,17,65851
688258,卓易信息,2019-12-02,18,68460
688081,兴图新科,2019-12-30,18,70893
688123,聚辰股份,2019-12-18,19,72696
688021,奥福环保,2019-10-31,19,74101
688288,鸿泉物联,2019-10-31,20,75723
688198,佰仁医疗,2019-12-03,21,79249
688078,龙软科技,2019-12-24,22,84644
688111,金山办公,2019-11-13,23,85339
688036,传音控股,2019-09-25,24,89692
688068,热景生物,2019-09-24,24,91545
688366,昊海生科,2019-10-25,28,108343
688128,中国电器,2019-10-31,34,129860
688678,福立旺,2020-12-17,6,21322
688981,中芯国际,2020-07-13,8,30957
688060,云涌科技,2020-07-07,12,45222
688301,奕瑞科技,2020-09-11,12,45333
688219,会通股份,2020-11-10,13,50504
688133,泰坦科技,2020-10-26,14,51868
688222,成都先导,2020-04-08,15,55850
688595,芯海科技,2020-09-22,16,57955
688698,伟创电气,2020-12-24,16,59615
688313,仕佳光子,2020-08-06,16,63006
688311,盟升电子,2020-07-28,17,63244
688569,铁科轨道,2020-08-25,17,65595
688157,松井股份,2020-06-02,18,69664
688557,兰剑智能,2020-11-27,19,72679
688221,前沿生物,2020-10-22,20,76853
688377,迪威尔,2020-07-01,21,79220
688159,有方科技,2020-01-20,24,90283
688526,科前生物,2020-09-17,24,91277
688278,特宝生物,2020-01-13,33,129434
688336,三生国健,2020-07-17,36,138096
688206,概伦电子,2021-12-22,9,33551
688329,艾隆科技,2021-03-18,9,33699
688776,国光电气,2021-08-26,12,43507
688685,迈信林,2021-05-07,12,44859
688082,盛美上海,2021-11-12,14,51045
688621,阳光诺和,2021-06-16,14,51669
688257,新锐股份,2021-10-21,15,56016
688786,悦安新材,2021-08-20,15,56799
688315,诺禾致源,2021-04-07,16,59158
688038,中科通达,2021-07-07,16,61026
688667,菱电电控,2021-03-05,16,61276
688517,金冠电气,2021-06-15,17,63438
688105,诺唯赞,2021-11-09,18,66108
688355,明志科技,2021-05-07,18,68021
688216,气派科技,2021-06-17,19,72681
688385,复旦微电,2021-07-29,19,74050
688070,纵横股份,2021-02-04,20,78154
688272,富吉瑞,2021-10-12,21,80815
688235,百济神州,2021-12-08,29,112981
688799,华纳药厂,2021-07-07,31,118421
688376,美埃科技,2022-11-14,2,6622
688322,奥比中光,2022-07-04,4,12238
688380,中微半导,2022-08-02,9,34492
688234,天岳先进,2022-01-07,9,34806
688448,磁谷科技,2022-09-15,11,41049
688293,奥浦迈,2022-08-30,11,42861
688297,中无人机,2022-06-21,12,45892
688375,国博电子,2022-07-15,12,46577
688326,经纬恒润,2022-04-13,13,48916
688172,燕东微,2022-12-13,13,50646
688283,坤恒顺维,2022-02-10,13,50750
688152,麒麟信安,2022-10-20,14,53027
688392,骄成超声,2022-09-21,15,56668
688426,康为世纪,2022-10-20,15,57970
688150,莱特光电,2022-03-14,16,62032
688231,隆达股份,2022-07-15,17,63151
688073,毕得医药,2022-09-29,18,68735
688193,仁度生物,2022-03-25,18,70114
688506,百利天恒,2022-12-30,30,113728
688349,三一重能,2022-06-17,35,129855
688450,光格科技,2023-07-19,3,8988
688347,华虹公司,2023-07-31,6,22173
688593,新相微,2023-05-29,9,34021
688548,广钢气体,2023-08-10,9,34193
688652,京仪装备,2023-11-24,11,39522
688469,中芯集成,2023-05-05,11,40759
688552,航天南湖,2023-05-10,12,44501
688433,华曙高科,2023-04-11,12,45362
688592,司南导航,2023-08-09,13,48112
688720,艾森股份,2023-12-01,13,50272
688693,锴威特,2023-08-14,13,50357
688523,航天环宇,2023-05-30,14,52026
688472,阿特斯,2023-06-06,14,54002
688610,埃科光电,2023-07-12,15,56574
688719,爱科赛博,2023-09-22,16,61181
688623,双元科技,2023-06-02,16,62518
688486,龙迅股份,2023-02-14,18,65785
688716,中研股份,2023-09-15,18,70069
688307,中润光学,2023-02-10,23,89028
688343,云天励飞,2023-03-30,25,96284
