sec_code,sec_name,chunk_n,shard,year
688021,奥福环保,19,1,2019
688181,八亿时空,17,1,2019
688222,成都先导,15,1,2020
688258,卓易信息,18,1,2019
688278,特宝生物,33,1,2020
688297,中无人机,12,1,2022
688307,中润光学,23,1,2023
688310,迈得医疗,11,1,2019
688322,奥比中光,4,1,2022
688326,经纬恒润,13,1,2022
688329,艾隆科技,9,1,2021
688517,金冠电气,17,1,2021
688610,埃科光电,15,1,2023
688082,盛美上海,14,2,2021
688111,金山办公,23,2,2019
688231,隆达股份,17,2,2022
688257,新锐股份,15,2,2021
688272,富吉瑞,21,2,2021
688380,中微半导,9,2,2022
688448,磁谷科技,11,2,2022
688506,百利天恒,30,2,2022
688523,航天环宇,14,2,2023
688552,航天南湖,12,2,2023
688557,兰剑智能,19,2,2020
688569,铁科轨道,17,2,2020
688138,清溢光电,13,3,2019
688152,麒麟信安,14,3,2022
688193,仁度生物,18,3,2022
688235,百济神州,29,3,2021
688315,诺禾致源,16,3,2021
688355,明志科技,18,3,2021
688377,迪威尔,21,3,2020
688526,科前生物,24,3,2020
688592,司南导航,13,3,2023
688593,新相微,9,3,2023
688652,京仪装备,11,3,2023
688698,伟创电气,16,3,2020
688060,云涌科技,12,4,2020
688068,热景生物,24,4,2019
688198,佰仁医疗,21,4,2019
688202,美迪西,15,4,2019
688219,会通股份,13,4,2020
688347,华虹公司,6,4,2023
688366,昊海生科,28,4,2019
688385,复旦微电,19,4,2021
688426,康为世纪,15,4,2022
688623,双元科技,16,4,2023
688716,中研股份,18,4,2023
688776,国光电气,12,4,2021
688981,中芯国际,8,4,2020
