sec_code,sec_name,chunk_n,chunk_glm4_tokens_sum,summary_proxy_sum,summary_glm4_sum,relevant_score_mean,red_chunk_proxy_mean,red_chunk_glm4_mean,announcement_date,chunk_count,tech_text_glm4_tokens,lnN_tech,Redundancy_proxy,Redundancy_glm4
688343,云天励飞,25,96271,2822,3274,2.30192235826634,41.47649467814461,34.426006602320406,2023-03-30,25,96284,11.475057436526333,34.1144578313253,29.40470372632865
688105,诺唯赞,18,66099,1958,2336,2.3955596981867875,37.294835502624146,31.282848784352463,2021-11-09,18,66108,11.099045047260717,33.758426966292134,28.29580479452055
688786,悦安新材,15,56794,1729,2213,2.255470866644103,35.94537164216714,28.706498780762093,2021-08-20,15,56799,10.947273998920458,32.84788895315211,25.663804789877993
688221,前沿生物,20,76846,2403,2947,2.192947124877876,34.02450923187651,27.893712610023737,2020-10-22,20,76853,11.249649785290046,31.97919267582189,26.07600950118765
688667,菱电电控,16,61271,1940,2322,2.1312478218553865,32.69117528975123,27.2995109492858,2021-03-05,16,61276,11.023143528132588,31.58298969072165,26.387166236003445
688349,三一重能,35,129834,4132,5074,2.700903712503624,34.26799137383489,27.58084731536798,2022-06-17,35,129855,11.774173722317984,31.421587608906098,25.588096176586518
688621,阳光诺和,14,51664,1645,1943,2.0587979918422694,33.826038578184814,29.066513140892145,2021-06-16,14,51669,10.852613267503855,31.406686930091187,26.589809572825526
688293,奥浦迈,11,42857,1366,1589,2.012814453374822,32.58540116432168,28.084403211291672,2022-08-30,11,42861,10.665717600533268,31.374084919472914,26.97105097545626
688336,三生国健,36,138081,4425,5423,2.043015446447705,33.07569792067799,27.082100321490294,2020-07-17,36,138096,11.83570437445944,31.204745762711866,25.462105845472987
688234,天岳先进,9,34804,1123,1388,2.0661824931498454,32.84919882007151,26.759312774488983,2022-01-07,9,34806,10.45754506469412,30.991985752448798,25.07492795389049
688081,兴图新科,18,70886,2289,2766,2.424159091572476,34.535737749113224,29.149966351610487,2019-12-30,18,70893,11.168926977039543,30.968108344255132,25.62762111352133
688469,中芯集成,11,40753,1324,1563,2.307830705157321,31.459939032702916,26.877419989071996,2023-05-05,11,40759,10.615431953178978,30.78021148036254,26.07357645553423
688375,国博电子,12,46574,1515,1841,2.2943443706665927,32.942835609883566,27.31496249169207,2022-07-15,12,46577,10.748862136040046,30.74191419141914,25.29820749592613
688595,芯海科技,16,57948,1886,2296,2.525439340772036,31.84113309692654,26.091776683231707,2020-09-22,16,57955,10.967422126322845,30.725344644750795,25.238675958188153
688392,骄成超声,15,56665,1845,2246,2.197648793792062,31.059430573324487,25.552636009498148,2022-09-21,15,56668,10.944964956499241,30.712737127371273,25.229296527159395
