custom_id,sec_code,chunk_index,chunk_count,chunk_token_proxy,glm4_tokens,compact_chars
688004_1207907543_tok_chunk_0001,688004,1,15,3982.0,5066,7963
688004_1207907543_tok_chunk_0002,688004,2,15,4000.0,5224,8000
688004_1207907543_tok_chunk_0003,688004,3,15,3719.0,4602,7437
688004_1207907543_tok_chunk_0004,688004,4,15,3954.0,4820,7908
688004_1207907543_tok_chunk_0005,688004,5,15,3927.0,4520,7853
688004_1207907543_tok_chunk_0006,688004,6,15,3964.0,4776,7927
688004_1207907543_tok_chunk_0007,688004,7,15,3956.0,5042,7912
688004_1207907543_tok_chunk_0008,688004,8,15,3927.0,5412,7854
688004_1207907543_tok_chunk_0009,688004,9,15,3911.0,6054,7822
688004_1207907543_tok_chunk_0010,688004,10,15,3875.0,5457,7750
688004_1207907543_tok_chunk_0011,688004,11,15,3899.0,6039,7797
688004_1207907543_tok_chunk_0012,688004,12,15,3909.0,6340,7818
688004_1207907543_tok_chunk_0013,688004,13,15,3913.0,5133,7826
688004_1207907543_tok_chunk_0014,688004,14,15,3712.0,5183,7423
688004_1207907543_tok_chunk_0015,688004,15,15,3760.0,5280,7519
688013_1208474196_tok_chunk_0001,688013,1,15,3959.0,4963,7918
688013_1208474196_tok_chunk_0002,688013,2,15,3923.0,4678,7846
688013_1208474196_tok_chunk_0003,688013,3,15,3905.0,4930,7810
688013_1208474196_tok_chunk_0004,688013,4,15,3871.0,4667,7741
688013_1208474196_tok_chunk_0005,688013,5,15,3895.0,5168,7790
688013_1208474196_tok_chunk_0006,688013,6,15,4000.0,5051,7999
688013_1208474196_tok_chunk_0007,688013,7,15,3981.0,5120,7962
688013_1208474196_tok_chunk_0008,688013,8,15,3806.0,4972,7612
688013_1208474196_tok_chunk_0009,688013,9,15,3984.0,5883,7968
688013_1208474196_tok_chunk_0010,688013,10,15,3541.0,5703,7082
688013_1208474196_tok_chunk_0011,688013,11,15,3938.0,6747,7875
688013_1208474196_tok_chunk_0012,688013,12,15,3996.0,5431,7992
688013_1208474196_tok_chunk_0013,688013,13,15,3861.0,5188,7722
688013_1208474196_tok_chunk_0014,688013,14,15,3968.0,5254,7936
688013_1208474196_tok_chunk_0015,688013,15,15,1772.0,2069,3544
688017_1208236965_tok_chunk_0001,688017,1,9,3939.0,5275,7877
688017_1208236965_tok_chunk_0002,688017,2,9,3661.0,4799,7321
688017_1208236965_tok_chunk_0003,688017,3,9,3927.0,4980,7854
688017_1208236965_tok_chunk_0004,688017,4,9,3987.0,4716,7974
688017_1208236965_tok_chunk_0005,688017,5,9,3969.0,4775,7937
688017_1208236965_tok_chunk_0006,688017,6,9,3937.0,5715,7874
688017_1208236965_tok_chunk_0007,688017,7,9,3937.0,6673,7874
688017_1208236965_tok_chunk_0008,688017,8,9,3968.0,5586,7935
688017_1208236965_tok_chunk_0009,688017,9,9,1835.0,2192,3670
688021_1207048360_tok_chunk_0001,688021,1,15,3966.0,5677,7932
688021_1207048360_tok_chunk_0002,688021,2,15,3990.0,5673,7980
688021_1207048360_tok_chunk_0003,688021,3,15,3935.0,5403,7870
688021_1207048360_tok_chunk_0004,688021,4,15,3930.0,5438,7859
688021_1207048360_tok_chunk_0005,688021,5,15,3844.0,5610,7687
688021_1207048360_tok_chunk_0006,688021,6,15,3900.0,5167,7800
688021_1207048360_tok_chunk_0007,688021,7,15,3851.0,5475,7701
688021_1207048360_tok_chunk_0008,688021,8,15,3956.0,5149,7911
688021_1207048360_tok_chunk_0009,688021,9,15,3853.0,5420,7705
688021_1207048360_tok_chunk_0010,688021,10,15,3960.0,6300,7920
688021_1207048360_tok_chunk_0011,688021,11,15,3961.0,6102,7921
688021_1207048360_tok_chunk_0012,688021,12,15,3977.0,6807,7954
688021_1207048360_tok_chunk_0013,688021,13,15,3941.0,5978,7881
688021_1207048360_tok_chunk_0014,688021,14,15,3983.0,6484,7965
688021_1207048360_tok_chunk_0015,688021,15,15,2058.0,2860,4115
688023_1207049164_tok_chunk_0001,688023,1,17,3954.0,5400,7907
688023_1207049164_tok_chunk_0002,688023,2,17,3965.0,4653,7929
688023_1207049164_tok_chunk_0003,688023,3,17,3931.0,5060,7862
688023_1207049164_tok_chunk_0004,688023,4,17,3905.0,4658,7810
688023_1207049164_tok_chunk_0005,688023,5,17,3980.0,4665,7960
688023_1207049164_tok_chunk_0006,688023,6,17,3864.0,4567,7728
688023_1207049164_tok_chunk_0007,688023,7,17,3965.0,5130,7929
688023_1207049164_tok_chunk_0008,688023,8,17,3925.0,6103,7849
688023_1207049164_tok_chunk_0009,688023,9,17,3976.0,6275,7952
688023_1207049164_tok_chunk_0010,688023,10,17,3998.0,6527,7995
688023_1207049164_tok_chunk_0011,688023,11,17,3494.0,5086,6987
688023_1207049164_tok_chunk_0012,688023,12,17,3991.0,6203,7982
688023_1207049164_tok_chunk_0013,688023,13,17,3946.0,5852,7891
688023_1207049164_tok_chunk_0014,688023,14,17,3960.0,4923,7919
688023_1207049164_tok_chunk_0015,688023,15,17,3825.0,5421,7650
688023_1207049164_tok_chunk_0016,688023,16,17,3854.0,5555,7708
688023_1207049164_tok_chunk_0017,688023,17,17,1337.0,1556,2673
688025_1207024684_tok_chunk_0001,688025,1,15,3984.0,5839,7968
688025_1207024684_tok_chunk_0002,688025,2,15,3795.0,4915,7589
688025_1207024684_tok_chunk_0003,688025,3,15,3997.0,5245,7994
688025_1207024684_tok_chunk_0004,688025,4,15,3992.0,4959,7984
688025_1207024684_tok_chunk_0005,688025,5,15,3932.0,4926,7864
688025_1207024684_tok_chunk_0006,688025,6,15,3993.0,5846,7986
688025_1207024684_tok_chunk_0007,688025,7,15,3937.0,5912,7873
688025_1207024684_tok_chunk_0008,688025,8,15,3927.0,5798,7854
688025_1207024684_tok_chunk_0009,688025,9,15,3945.0,5379,7889
688025_1207024684_tok_chunk_0010,688025,10,15,3948.0,6210,7895
688025_1207024684_tok_chunk_0011,688025,11,15,3947.0,6754,7894
688025_1207024684_tok_chunk_0012,688025,12,15,3862.0,6526,7724
688025_1207024684_tok_chunk_0013,688025,13,15,3985.0,5677,7969
688025_1207024684_tok_chunk_0014,688025,14,15,3951.0,5856,7901
688025_1207024684_tok_chunk_0015,688025,15,15,1746.0,2340,3491
688026_1207257930_tok_chunk_0001,688026,1,19,3963.0,5477,7926
688026_1207257930_tok_chunk_0002,688026,2,19,3916.0,4989,7832
688026_1207257930_tok_chunk_0003,688026,3,19,3998.0,4891,7996
688026_1207257930_tok_chunk_0004,688026,4,19,3923.0,4869,7845
688026_1207257930_tok_chunk_0005,688026,5,19,3980.0,5239,7960
688026_1207257930_tok_chunk_0006,688026,6,19,3954.0,4757,7908
688026_1207257930_tok_chunk_0007,688026,7,19,3781.0,5519,7561
688026_1207257930_tok_chunk_0008,688026,8,19,3991.0,5622,7982
688026_1207257930_tok_chunk_0009,688026,9,19,3958.0,5810,7915
688026_1207257930_tok_chunk_0010,688026,10,19,3983.0,5587,7966
688026_1207257930_tok_chunk_0011,688026,11,19,3982.0,5598,7963
688026_1207257930_tok_chunk_0012,688026,12,19,3567.0,6027,7134
688026_1207257930_tok_chunk_0013,688026,13,19,3897.0,7768,7794
688026_1207257930_tok_chunk_0014,688026,14,19,3734.0,5913,7467
688026_1207257930_tok_chunk_0015,688026,15,19,3864.0,5214,7728
688026_1207257930_tok_chunk_0016,688026,16,19,3945.0,6066,7890
688026_1207257930_tok_chunk_0017,688026,17,19,3935.0,6062,7870
688026_1207257930_tok_chunk_0018,688026,18,19,3995.0,5969,7990
688026_1207257930_tok_chunk_0019,688026,19,19,3818.0,4547,7636
688027_1207992273_tok_chunk_0001,688027,1,17,3826.0,5342,7651
688027_1207992273_tok_chunk_0002,688027,2,17,3885.0,5260,7769
688027_1207992273_tok_chunk_0003,688027,3,17,3723.0,4632,7445
688027_1207992273_tok_chunk_0004,688027,4,17,3841.0,4981,7681
688027_1207992273_tok_chunk_0005,688027,5,17,3224.0,3889,6447
688027_1207992273_tok_chunk_0006,688027,6,17,3727.0,4921,7453
688027_1207992273_tok_chunk_0007,688027,7,17,3992.0,5272,7983
688027_1207992273_tok_chunk_0008,688027,8,17,3940.0,6593,7879
688027_1207992273_tok_chunk_0009,688027,9,17,3861.0,5362,7721
688027_1207992273_tok_chunk_0010,688027,10,17,3960.0,5748,7920
