sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688099,晶晨股份,2019,42526,37833,39870,61773
688188,柏楚电子,2019,80055,69875,73950,110636
688321,微芯生物,2019,83716,74714,79081,118177
688168,安博通,2019,47402,41620,44184,66224
688116,天奈科技,2019,60804,53629,56921,82083
688030,山石网科,2019,98101,84491,90619,136821
688068,热景生物,2019,103199,91545,97307,137136
688036,传音控股,2019,100965,89692,94952,141747
688368,晶丰明源,2019,71038,62906,66822,100216
688058,宝兰德,2019,96334,83704,89537,144428
688098,申联生物,2019,60123,52829,56312,78452
688139,海尔生物,2019,53618,46772,49929,73772
688108,赛诺医疗,2019,92288,80930,86030,129126
688366,昊海生科,2019,125834,108343,116855,161576
688369,致远互联,2019,60596,54342,56715,88791
688025,杰普特,2019,82915,73539,77896,110503
688199,久日新材,2019,99744,88877,93834,134476
688299,长阳科技,2019,76526,67923,71960,107463
688363,华熙生物,2019,103970,92259,97976,146647
688021,奥福环保,2019,84419,74101,78846,110046
688023,安恒信息,2019,88468,75569,81178,121567
688128,中国电器,2019,150233,129860,139368,202878
688166,博瑞医药,2019,107216,94386,99841,142011
688202,美迪西,2019,64454,57091,60764,93752
688288,鸿泉物联,2019,87118,75723,80259,113364
688389,普门科技,2019,75969,67837,71157,102010
688300,联瑞新材,2019,96830,89210,91896,130607
688101,三达膜,2019,83612,73300,78677,115660
688111,金山办公,2019,99416,85339,91673,133379
688138,清溢光电,2019,56486,50051,52909,74364
688196,卓越新能,2019,110658,95914,102275,146147
688310,迈得医疗,2019,47134,41287,44025,63283
688358,祥生医疗,2019,69683,61677,65386,94547
688118,普元信息,2019,67766,59081,63252,93186
688357,建龙微纳,2019,74546,65815,69225,94260
688399,硕世生物,2019,101320,87773,94140,134894
688258,卓易信息,2019,77435,68460,72069,99923
688198,佰仁医疗,2019,89526,79249,84362,120656
688218,江苏北人,2019,75038,65851,70014,104991
688039,当虹科技,2019,63224,56463,59769,90095
688268,华特气体,2019,87386,77328,81886,108242
688037,芯源微,2019,54085,47658,50549,71361
688089,嘉必优,2019,70957,62305,66325,97145
688123,聚辰股份,2019,82817,72696,76860,118010
688078,龙软科技,2019,96158,84644,89265,133682
688081,兴图新科,2019,80154,70893,74902,112369
688181,八亿时空,2019,72354,64303,68297,97745
688178,万德斯,2020,65539,57301,61429,90243
688100,威胜信息,2020,100687,87632,93995,134670
688186,广大特材,2020,90949,81251,85493,117878
688278,特宝生物,2020,147142,129434,138214,204484
688158,优刻得,2020,92789,81995,86844,125779
688026,洁特生物,2020,106876,93618,99739,143602
688159,有方科技,2020,102285,90283,95992,139941
688266,泽璟制药,2020,110944,99042,104709,150938
688298,东方生物,2020,100104,88353,93814,138941
688080,映翰通,2020,65588,56900,61056,90403
688398,赛特新材,2020,66433,58377,62404,90677
688208,道通科技,2020,60304,52769,55638,84830
688090,瑞松科技,2020,103463,90277,96906,137528
688200,华峰测控,2020,53831,46574,49353,74466
688169,石头科技,2020,76195,67282,71222,106164
688177,百奥泰,2020,103066,91512,96321,141918
688233,神工股份,2020,37112,33066,35049,51490
688396,华润微,2020,61851,54274,57615,84962
688086,紫晶存储,2020,110241,99325,104166,150588
688051,佳华科技,2020,86365,75275,81041,119510
688189,南新制药,2020,101203,90339,95442,140675
688228,开普云,2020,105597,91288,97840,146003
688085,三友医疗,2020,105360,91301,97219,139109
688096,京源环保,2020,86552,75305,80414,116674
688222,成都先导,2020,63005,55850,58803,88521
688126,沪硅产业,2020,52114,46090,49015,73165
688318,财富趋势,2020,70593,61706,66303,103338
688365,光云科技,2020,55843,49218,52208,75807
688466,金科环境,2020,66988,58059,62613,89726
688588,凌志软件,2020,101288,89970,95899,147774
688566,吉贝尔,2020,110786,97256,103462,146833
688598,金博股份,2020,50470,44377,47141,69106
688516,奥特维,2020,118751,104002,110897,149915
688360,德马科技,2020,97084,85048,90629,132334
688157,松井股份,2020,81055,69664,74733,102540
688312,燕麦科技,2020,51548,45004,47943,68206
688599,天合光能,2020,122672,107861,114415,167335
688004,博汇科技,2020,79634,68724,73688,111540
688106,金宏气体,2020,77837,68121,72591,104371
688505,复旦张江,2020,79392,69888,74045,108679
688520,神州细胞,2020,90298,80917,85006,123299
688518,联赢激光,2020,111476,96818,103932,144805
688555,泽达易盛,2020,88337,75619,81702,123887
688528,秦川物联,2020,114617,101442,107522,147049
688558,国盛智科,2020,95130,82673,88633,124393
688600,皖仪科技,2020,71773,63304,67479,99129
688277,天智航,2020,67960,59597,63593,99714
688377,迪威尔,2020,86995,79220,84214,122713
688027,国盾量子,2020,88561,78091,82921,122245
688568,中科星图,2020,85207,73931,79114,111106
688060,云涌科技,2020,52479,45222,48520,74016
688180,君实生物,2020,100999,89327,94473,136710
688165,埃夫特,2020,69607,60309,64165,94293
688309,恒誉环保,2020,113362,99305,106748,156265
688567,孚能科技,2020,90205,79844,83366,121217
688579,山大地纬,2020,63643,55075,59397,92312
688488,艾迪药业,2020,71694,63788,67716,98643
688500,慧辰资讯,2020,70436,61310,65902,100078
688981,中芯国际,2020,34408,30957,32570,48565
688256,寒武纪,2020,52005,44988,48023,74658
688580,伟思医疗,2020,63800,55939,59733,86983
688069,德林海,2020,87872,75243,81260,108998
688077,大地熊,2020,53514,47361,50280,70692
688336,三生国健,2020,154892,138096,145861,208165
688418,震有科技,2020,81465,70302,75277,112946
688508,芯朋微,2020,52203,45950,48823,71766
688589,力合微,2020,55400,47668,50727,75092
688561,奇安信,2020,109405,93951,101727,148638
688155,先惠技术,2020,65469,58030,62579,93451
688050,爱博医疗,2020,96782,84404,89960,124820
688311,盟升电子,2020,71179,63244,66657,100214
688586,江航装备,2020,44633,40549,41819,60279
