sec_code,sec_name,year,raw_glm4_tokens,compact_glm4_tokens,norm_glm4_tokens,compact_chars
688099,晶晨股份,2019,42526,35562,42526,63752
688188,柏楚电子,2019,80055,65962,80055,116006
688321,微芯生物,2019,83716,70620,83716,121755
688168,安博通,2019,47402,39069,47402,68570
688116,天奈科技,2019,60804,50354,60804,84903
688030,山石网科,2019,98101,80143,98101,142131
688068,热景生物,2019,103199,82952,103199,139509
688036,传音控股,2019,100965,81550,100965,145386
688368,晶丰明源,2019,71038,58941,71038,103357
688058,宝兰德,2019,96334,80897,96334,149597
688098,申联生物,2019,60123,49742,60123,81314
688139,海尔生物,2019,53618,44094,53618,77435
688108,赛诺医疗,2019,92288,75862,92288,134923
688366,昊海生科,2019,125834,99051,125834,167199
688369,致远互联,2019,60596,50916,60596,91712
688025,杰普特,2019,82915,67341,82915,113875
688199,久日新材,2019,99744,82642,99744,138650
688299,长阳科技,2019,76526,64226,76526,110577
688363,华熙生物,2019,103970,87026,103970,150952
688021,奥福环保,2019,84419,68447,84419,114201
688023,安恒信息,2019,88468,71237,88468,127731
688128,中国电器,2019,150233,121067,150233,212638
688166,博瑞医药,2019,107216,88473,107216,147663
688202,美迪西,2019,64454,54438,64454,96997
688288,鸿泉物联,2019,87118,69377,87118,119354
688389,普门科技,2019,75969,61063,75969,105181
688300,联瑞新材,2019,96830,80984,96830,132594
688101,三达膜,2019,83612,69676,83612,119504
688111,金山办公,2019,99416,77507,99416,138007
688138,清溢光电,2019,56486,46072,56486,76613
688196,卓越新能,2019,110658,91565,110658,153937
688310,迈得医疗,2019,47134,38473,47134,65322
688358,祥生医疗,2019,69683,56450,69683,97412
688118,普元信息,2019,67766,53701,67766,95945
688357,建龙微纳,2019,74546,60573,74546,97674
688399,硕世生物,2019,101320,82076,101320,139804
688258,卓易信息,2019,77435,60871,77435,103209
688198,佰仁医疗,2019,89526,74518,89526,124498
688218,江苏北人,2019,75038,61929,75038,108787
688039,当虹科技,2019,63224,53275,63224,92715
688268,华特气体,2019,87386,69276,87386,111295
688037,芯源微,2019,54085,43572,54085,74204
688089,嘉必优,2019,70957,58571,70957,100574
688123,聚辰股份,2019,82817,69332,82817,123676
688078,龙软科技,2019,96158,77121,96158,137967
688081,兴图新科,2019,80154,67733,80154,116329
688181,八亿时空,2019,72354,59129,72354,100639
688178,万德斯,2020,65539,53968,65539,93220
688100,威胜信息,2020,100687,81015,100687,138958
688186,广大特材,2020,90949,73859,90949,121233
688278,特宝生物,2020,147142,122999,147142,211336
688158,优刻得,2020,92789,74830,92789,129787
688026,洁特生物,2020,106876,86527,106876,148363
688159,有方科技,2020,102285,83528,102285,144424
688266,泽璟制药,2020,110944,93216,110944,155664
688298,东方生物,2020,100104,81290,100104,143477
688080,映翰通,2020,65588,53437,65588,93714
688398,赛特新材,2020,66433,55786,66433,93332
688208,道通科技,2020,60304,49508,58269,89000
688090,瑞松科技,2020,103463,82601,103463,141879
688200,华峰测控,2020,53831,44590,53831,78736
688169,石头科技,2020,76195,62307,76195,109641
688177,百奥泰,2020,103066,87588,103066,148227
688233,神工股份,2020,37112,30974,37112,52951
688396,华润微,2020,61851,49693,61851,88715
688086,紫晶存储,2020,110241,89936,110241,152971
688051,佳华科技,2020,86365,70645,86365,122727
688189,南新制药,2020,101203,86278,98979,145365
688228,开普云,2020,105597,85600,105597,151039
688085,三友医疗,2020,105360,86881,105360,147254
688096,京源环保,2020,86552,71421,86552,120693
688222,成都先导,2020,63005,52086,63005,91566
688126,沪硅产业,2020,52114,43406,52114,75751
688318,财富趋势,2020,70593,59212,70593,106601
688365,光云科技,2020,55843,44980,55843,78231
688466,金科环境,2020,66988,54461,66988,92426
