sec_code,sec_name,section_file,compact_chars,char2_proxy,glm4_tokens,current_chunk_count
688099,晶晨股份,results/star_token_proxy_250_late50_20260702/business_technology_text/688099_1206491566_business_technology.txt,63752,31876,42526,9
688188,柏楚电子,results/star_token_proxy_250_late50_20260702/business_technology_text/688188_1206491567_business_technology.txt,116006,58003,80055,15
688321,微芯生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688321_1206499446_business_technology.txt,121755,60878,83716,16
688168,安博通,results/star_token_proxy_250_late50_20260702/business_technology_text/688168_1206873448_business_technology.txt,68570,34285,47402,9
688116,天奈科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688116_1206936843_business_technology.txt,84903,42452,60804,11
688030,山石网科,results/star_token_proxy_250_late50_20260702/business_technology_text/688030_1206944409_business_technology.txt,142131,71066,98101,19
688068,热景生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688068_1206944408_business_technology.txt,139509,69755,103199,18
688036,传音控股,results/star_token_proxy_250_late50_20260702/business_technology_text/688036_1206947132_business_technology.txt,145386,72693,100965,19
688368,晶丰明源,results/star_token_proxy_250_late50_20260702/business_technology_text/688368_1206964868_business_technology.txt,103357,51679,71038,14
688058,宝兰德,results/star_token_proxy_250_late50_20260702/business_technology_text/688058_1206982496_business_technology.txt,149597,74799,96334,20
688098,申联生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688098_1206999088_business_technology.txt,81314,40657,60123,11
688139,海尔生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688139_1206999086_business_technology.txt,77435,38718,53618,10
688108,赛诺医疗,results/star_token_proxy_250_late50_20260702/business_technology_text/688108_1207009190_business_technology.txt,134923,67462,92288,18
688366,昊海生科,results/star_token_proxy_250_late50_20260702/business_technology_text/688366_1207015183_business_technology.txt,167199,83600,125834,22
688369,致远互联,results/star_token_proxy_250_late50_20260702/business_technology_text/688369_1207014769_business_technology.txt,91712,45856,60596,12
688025,杰普特,results/star_token_proxy_250_late50_20260702/business_technology_text/688025_1207024684_business_technology.txt,113875,56938,82915,15
688199,久日新材,results/star_token_proxy_250_late50_20260702/business_technology_text/688199_1207039442_business_technology.txt,138650,69325,99744,18
688299,长阳科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688299_1207039527_business_technology.txt,110577,55289,76526,14
688363,华熙生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688363_1207038615_business_technology.txt,150952,75476,103970,20
688021,奥福环保,results/star_token_proxy_250_late50_20260702/business_technology_text/688021_1207048360_business_technology.txt,114201,57101,84419,15
688023,安恒信息,results/star_token_proxy_250_late50_20260702/business_technology_text/688023_1207049164_business_technology.txt,127731,63866,88468,17
688128,中国电器,results/star_token_proxy_250_late50_20260702/business_technology_text/688128_1207049162_business_technology.txt,212638,106319,150233,28
688166,博瑞医药,results/star_token_proxy_250_late50_20260702/business_technology_text/688166_1207048063_business_technology.txt,147663,73832,107216,19
688202,美迪西,results/star_token_proxy_250_late50_20260702/business_technology_text/688202_1207048265_business_technology.txt,96997,48499,64454,13
688288,鸿泉物联,results/star_token_proxy_250_late50_20260702/business_technology_text/688288_1207048263_business_technology.txt,119354,59677,87118,16
688389,普门科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688389_1207048356_business_technology.txt,105181,52591,75969,14
688300,联瑞新材,results/star_token_proxy_250_late50_20260702/business_technology_text/688300_1207079484_business_technology.txt,132594,66297,96830,17
688101,三达膜,results/star_token_proxy_250_late50_20260702/business_technology_text/688101_1207081669_business_technology.txt,119504,59752,83612,16
688111,金山办公,results/star_token_proxy_250_late50_20260702/business_technology_text/688111_1207085616_business_technology.txt,138007,69004,99416,18
688138,清溢光电,results/star_token_proxy_250_late50_20260702/business_technology_text/688138_1207092034_business_technology.txt,76613,38307,56486,10
688196,卓越新能,results/star_token_proxy_250_late50_20260702/business_technology_text/688196_1207092002_business_technology.txt,153937,76969,110658,20
688310,迈得医疗,results/star_token_proxy_250_late50_20260702/business_technology_text/688310_1207113528_business_technology.txt,65322,32661,47134,9
688358,祥生医疗,results/star_token_proxy_250_late50_20260702/business_technology_text/688358_1207116567_business_technology.txt,97412,48706,69683,13
688118,普元信息,results/star_token_proxy_250_late50_20260702/business_technology_text/688118_1207119380_business_technology.txt,95945,47973,67766,13
688357,建龙微纳,results/star_token_proxy_250_late50_20260702/business_technology_text/688357_1207119374_business_technology.txt,97674,48837,74546,13
688399,硕世生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688399_1207122312_business_technology.txt,139804,69902,101320,18
688258,卓易信息,results/star_token_proxy_250_late50_20260702/business_technology_text/688258_1207126567_business_technology.txt,103209,51605,77435,14
688198,佰仁医疗,results/star_token_proxy_250_late50_20260702/business_technology_text/688198_1207130602_business_technology.txt,124498,62249,89526,17
688218,江苏北人,results/star_token_proxy_250_late50_20260702/business_technology_text/688218_1207130600_business_technology.txt,108787,54394,75038,14
688039,当虹科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688039_1207141672_business_technology.txt,92715,46358,63224,12
688268,华特气体,results/star_token_proxy_250_late50_20260702/business_technology_text/688268_1207147509_business_technology.txt,111295,55648,87386,15
688037,芯源微,results/star_token_proxy_250_late50_20260702/business_technology_text/688037_1207150125_business_technology.txt,74204,37102,54085,10
688089,嘉必优,results/star_token_proxy_250_late50_20260702/business_technology_text/688089_1207165961_business_technology.txt,100574,50287,70957,13
688123,聚辰股份,results/star_token_proxy_250_late50_20260702/business_technology_text/688123_1207173489_business_technology.txt,123676,61838,82817,16
688078,龙软科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688078_1207188266_business_technology.txt,137967,68984,96158,18
688081,兴图新科,results/star_token_proxy_250_late50_20260702/business_technology_text/688081_1207204317_business_technology.txt,116329,58165,80154,15
688181,八亿时空,results/star_token_proxy_250_late50_20260702/business_technology_text/688181_1207208602_business_technology.txt,100639,50320,72354,13
688178,万德斯,results/star_token_proxy_250_late50_20260702/business_technology_text/688178_1207233188_business_technology.txt,93220,46610,65539,12
688100,威胜信息,results/star_token_proxy_250_late50_20260702/business_technology_text/688100_1207242791_business_technology.txt,138958,69479,100687,18
688186,广大特材,results/star_token_proxy_250_late50_20260702/business_technology_text/688186_1207242846_business_technology.txt,121233,60617,90949,16
688278,特宝生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688278_1207242804_business_technology.txt,211336,105668,147142,28
688158,优刻得,results/star_token_proxy_250_late50_20260702/business_technology_text/688158_1207247016_business_technology.txt,129787,64894,92789,17
688026,洁特生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688026_1207257930_business_technology.txt,148363,74182,106876,19
688159,有方科技,results/star_token_proxy_250_late50_20260702/business_technology_text/688159_1207265383_business_technology.txt,144424,72212,102285,19
688266,泽璟制药,results/star_token_proxy_250_late50_20260702/business_technology_text/688266_1207265390_business_technology.txt,155664,77832,110944,20
688298,东方生物,results/star_token_proxy_250_late50_20260702/business_technology_text/688298_1207277661_business_technology.txt,143477,71739,100104,19
