key,metric,stat,value,paper,diff
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Chunk_num,mean,18.876574307304786,18.191,0.6855743073047869
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Chunk_num,std,7.484991648455428,6.983,0.5019916484554283
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Chunk_num,p25,13.0,13.0,0.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Chunk_num,median,17.0,16.0,1.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Chunk_num,p75,23.0,22.0,1.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Text_len,mean,3926.5755667506296,3866.817,59.7585667506296
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Text_len,std,336.97548746170946,343.868,-6.892512538290532
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Text_len,p25,3901.25,3888.0,13.25
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Text_len,median,3968.0,3954.0,14.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Text_len,p75,3990.75,3985.0,5.75
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Summary_len,mean,128.94584382871537,132.678,-3.732156171284629
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Summary_len,std,46.06356526035653,39.683,6.3805652603565335
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Summary_len,p25,103.0,105.0,-2.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Summary_len,median,121.0,130.0,-9.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Summary_len,p75,144.0,158.0,-14.0
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy_chunk,mean,33.62931846924585,32.176,1.4533184692458505
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy_chunk,std,11.067870060007916,11.73,-0.6621299399920844
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy_chunk,p25,26.939564564564566,24.356,2.583564564564565
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy_chunk,median,32.11290322580645,29.739,2.3739032258064476
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy_chunk,p75,37.67240332523818,37.037,0.6354033252381797
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,lnN_tech,mean,10.92696576782062,10.962,-0.03503423217937929
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,lnN_tech,std,0.5451088963306822,0.35,0.19510889633068218
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,lnN_tech,p25,10.767869339170002,10.714,0.05386933917000114
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,lnN_tech,median,11.002759490042893,10.91,0.09275949004289252
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,lnN_tech,p75,11.187490641631266,11.185,0.0024906416312653334
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy,mean,30.215033226938154,29.074,1.141033226938152
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy,std,2.9739550197422977,2.63,0.3439550197422978
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy,p25,28.244589554488424,27.402,0.8425895544884234
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy,median,30.729144158750998,28.91,1.8191441587509978
proxy|merge_short_tail|2000|floor50|none|processed_text_sum,Redundancy,p75,32.11852463726993,30.795,1.3235246372699265
proxy|merge_short_tail|2000|floor50|none|original_section,Chunk_num,mean,18.876574307304786,18.191,0.6855743073047869
proxy|merge_short_tail|2000|floor50|none|original_section,Chunk_num,std,7.484991648455428,6.983,0.5019916484554283
proxy|merge_short_tail|2000|floor50|none|original_section,Chunk_num,p25,13.0,13.0,0.0
proxy|merge_short_tail|2000|floor50|none|original_section,Chunk_num,median,17.0,16.0,1.0
proxy|merge_short_tail|2000|floor50|none|original_section,Chunk_num,p75,23.0,22.0,1.0
proxy|merge_short_tail|2000|floor50|none|original_section,Text_len,mean,3926.5755667506296,3866.817,59.7585667506296
proxy|merge_short_tail|2000|floor50|none|original_section,Text_len,std,336.97548746170946,343.868,-6.892512538290532
proxy|merge_short_tail|2000|floor50|none|original_section,Text_len,p25,3901.25,3888.0,13.25
proxy|merge_short_tail|2000|floor50|none|original_section,Text_len,median,3968.0,3954.0,14.0
proxy|merge_short_tail|2000|floor50|none|original_section,Text_len,p75,3990.75,3985.0,5.75
