sec_code,sec_name,source_custom_ids,source_chunk_start,source_chunk_end,source_chunk_n,Text_len,summary_len_raw_sum,Chunk_num,unit,process,threshold,summary_floor,candidate,Summary_len,floor_applied,n0,n1,n2,n3,n4,n5,Relevant_score,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,Redundancy_chunk
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0001,1,1,1,3982.0,154.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,154.0,0,5.0,15.0,20.0,12.0,8.0,2.0,2.1451612903225805,109.0,69.0,27.373179306880967,17.327975891511805,25.857142857142858
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0002,2,2,1,3996.0,167.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,167.0,0,15.0,20.0,10.0,8.0,5.0,2.0,1.5666666666666667,111.0,62.0,27.777777777777775,15.515515515515517,23.92814371257485
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0003,3,3,1,3960.0,166.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,166.0,0,15.0,20.0,10.0,5.0,3.0,1.0,1.3333333333333333,129.0,56.0,32.57575757575758,14.141414141414142,23.85542168674699
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0004,4,4,1,3970.0,126.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,126.0,0,15.0,20.0,10.0,8.0,7.0,2.0,1.6451612903225807,82.0,48.0,20.65491183879093,12.090680100755668,31.50793650793651
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0005,5,5,1,3895.0,121.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,121.0,0,0.0,5.0,10.0,12.0,10.0,5.0,3.0,115.0,24.0,29.525032092426187,6.161745827984595,32.1900826446281
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0006,6,6,1,3967.0,140.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,140.0,0,0.0,15.0,18.0,12.0,12.0,5.0,2.5806451612903225,220.0,86.0,55.45752457776657,21.678850516763298,28.335714285714285
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0007,7,7,1,3950.0,169.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,169.0,0,12.0,18.0,15.0,10.0,5.0,2.0,1.7419354838709677,51.0,20.0,12.91139240506329,5.063291139240507,23.37278106508876
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0008,8,8,1,3892.0,200.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,200.0,0,10.0,12.0,8.0,14.0,6.0,4.0,2.111111111111111,61.0,12.0,15.67317574511819,3.083247687564234,19.46
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0009,9,9,1,3978.0,122.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,122.0,0,15.0,20.0,12.0,8.0,5.0,2.0,1.5806451612903225,33.0,15.0,8.295625942684767,3.770739064856712,32.60655737704918
688559,海目星,688559_1208358657_glm4_dewrap_join_chunk_0010,10,10,1,3462.0,95.0,18,Summary_len_glm4,merge_tail,1500,0,glm4token_tailmerge1500_floor0,95.0,0,12.0,10.0,8.0,9.0,7.0,3.0,1.9591836734693877,67.0,30.0,19.352975158867704,8.665511265164644,36.44210526315789
