sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688013,天臣医疗,17,66732.0,2357.0,5,2.136514280544027,11.108439876975565,28.312261349172676
688057,金达莱,28,108549.0,3672.0,7,2.1247891769409972,11.594956962919463,29.561274509803923
688059,华锐精密,11,42706.0,1365.0,1,1.7387069797728107,10.66209470456786,31.286446886446885
688063,派能科技,15,57212.0,1937.0,0,2.1425659925567233,10.95451894557479,29.536396489416624
688076,诺泰生物,26,102800.0,3314.0,3,1.7855927118718602,11.540540632003202,31.019915509957755
688079,美迪凯,12,46106.0,1718.0,2,2.1101370952857263,10.738698372359542,26.837019790454015
688083,中望软件,21,80901.0,2499.0,2,1.9867291787853563,11.300981463909618,32.373349339735896
688092,爱科科技,16,63026.0,1951.0,4,2.3819006149530892,11.051302618649801,32.30445925166581
688093,世华科技,16,63993.0,2083.0,2,2.139869945279244,11.066528981359927,30.72155544887182
688097,博众精工,19,76433.0,2427.0,2,2.0267333838516732,11.244169819069379,31.492789451998352
688109,品茗股份,15,58262.0,1850.0,4,1.773132240448623,10.972705358794784,31.49297297297297
688113,联测科技,15,57477.0,2159.0,1,2.2013377162358485,10.959140146764103,26.62204724409449
688127,蓝特光学,14,53417.0,1747.0,2,1.9083863495342521,10.885884326344947,30.576416714367486
688129,东来技术,14,55446.0,1940.0,4,2.097102083148645,10.923164853116095,28.58041237113402
688135,利扬芯片,12,48241.0,1720.0,2,1.8665734888052128,10.78396456087112,28.047093023255815
688136,科兴制药,17,68097.0,2095.0,5,2.0710068366295467,11.128688438303811,32.50453460620525
688156,路德环境,16,64978.0,2167.0,0,2.2731592047780786,11.081804030048279,29.985233041070604
688160,步科股份,12,45475.0,1468.0,3,1.7110536720162388,10.724918003386323,30.977520435967303
688179,阿拉丁,19,75995.0,2524.0,3,2.135325951256099,11.238422827630561,30.108954041204438
688183,生益电子,23,90286.0,2948.0,4,2.2995880168686047,11.410737688625636,30.62618724559023
688191,智洋创新,18,67656.0,2181.0,4,2.723664508309161,11.122191321462058,31.02063273727648
688195,腾景科技,13,50980.0,1692.0,1,1.9864708517815728,10.839188677930107,30.13002364066194
688201,信安世纪,16,61578.0,1943.0,4,2.7420905968285,11.02805994287377,31.69222851260937
688217,睿昂基因,15,59619.0,1848.0,4,1.5690843816618643,10.995729594196394,32.26136363636363
688219,会通股份,13,50498.0,1816.0,1,1.8865997841311664,10.829689010518798,27.80726872246696
688260,昀冢科技,17,64755.0,2289.0,6,2.041689528111801,11.078366196657688,28.28964613368283
688308,欧科亿,13,51879.0,1771.0,4,1.8726271278035291,10.856669362994031,29.293619424054206
688314,康拓医疗,11,45003.0,1616.0,1,2.1646931351877843,10.714484433197,27.84839108910891
688316,青云科技,19,75099.0,2360.0,7,1.8421542099079293,11.226562522084345,31.821610169491525
688317,之江生物,26,100907.0,3191.0,7,1.62912828098914,11.521954579554748,31.622375430899403
688323,瑞华泰,9,36121.0,1406.0,1,2.091732873248004,10.494629692640487,25.690611664295876
688328,深科达,15,59532.0,1945.0,4,2.2239699913841897,10.99426926208905,30.60771208226221
688329,艾隆科技,9,33694.0,1179.0,2,1.449131547361259,10.425075058946149,28.578456318914334
688330,宏力达,18,69208.0,2239.0,7,1.955546143647438,11.14487174186021,30.910227780259046
688350,富淼科技,17,64830.0,3634.0,5,1.8566262663348205,11.07952373816904,17.83984589983489
688355,明志科技,17,68013.0,2242.0,5,2.437119984351357,11.127454142356939,30.33586083853702
688359,三孚新科,14,55970.0,1919.0,1,2.4404831013503516,10.932571111885405,29.166232412714955
688383,新益昌,15,56674.0,1999.0,5,2.1005732185347257,10.945070830756015,28.351175587793897
688386,泛亚微透,15,58122.0,1849.0,4,2.3119975275701727,10.97029952865444,31.43428880475933
688395,正弦电气,10,38993.0,1259.0,3,1.8784646901647817,10.571137421822545,30.9714058776807
688456,有研粉材,15,57539.0,1754.0,3,1.8677719953387362,10.96021825774006,32.804446978335235
688468,科美诊断,16,64071.0,2195.0,3,2.1511042954643615,11.067747122440093,29.189521640091115
688510,航亚科技,14,54402.0,1755.0,0,2.4765122831006443,10.90415619687411,30.9982905982906
688526,科前生物,23,91267.0,2912.0,8,2.1209815321207266,11.421544555462656,31.341689560439562
688529,豪森股份,18,73051.0,2310.0,4,2.087216125568171,11.198913106339084,31.623809523809523
688533,上声电子,11,45072.0,1482.0,2,2.3318829224954634,10.716016490116154,30.412955465587043
688536,思瑞浦,9,35871.0,1226.0,1,1.9774638443993284,10.48768444858769,29.258564437194128
688551,科威尔,16,63258.0,2126.0,1,2.1285628131274863,11.054976880805004,29.754468485418627
688557,兰剑智能,19,72675.0,2232.0,5,2.200152523238374,11.193752725427077,32.560483870967744
688559,海目星,18,68180.0,2321.0,6,2.5184161239167113,11.129906545691894,29.375269280482552
688560,明冠新材,13,50493.0,1689.0,3,1.9731502112838517,10.829589991794276,29.895204262877442
688565,力源科技,13,51715.0,1729.0,1,1.924163902274547,10.853503153811904,29.910352805089648
688571,杭华股份,15,59019.0,1952.0,3,2.470435512893068,10.985614704944375,30.235143442622952
688575,亚辉龙,25,97319.0,3202.0,9,2.0342745625131773,11.485749521464477,30.39319175515303
688577,浙海德曼,15,60667.0,1942.0,2,2.1102000458923262,11.013155171881223,31.2394438722966
688578,艾力斯,19,74571.0,2364.0,6,1.9052003897944199,11.219506970666512,31.544416243654823
688585,上纬新材,19,75201.0,2703.0,3,1.864095629012957,11.227919807721856,27.821309655937846
688590,新致软件,11,45524.0,1536.0,0,1.7258141500076982,10.725994938401781,29.638020833333332
688606,奥泰生物,17,67984.0,2310.0,3,2.132098497946865,11.127027662354593,29.43030303030303
688607,康众医疗,14,56730.0,1932.0,1,1.9644529214655653,10.946058450320614,29.36335403726708
688608,恒玄科技,10,37323.0,1331.0,2,2.1173507886255383,10.527365037582602,28.041322314049587
688609,九联科技,28,108023.0,3623.0,6,2.063318026130306,11.590099446395927,29.81589842671819
688611,杭州柯林,12,45545.0,1404.0,1,2.129247533380598,10.72645612717891,32.43945868945869
688613,奥精医疗,16,61488.0,1953.0,3,1.7007570430996524,11.026597312804626,31.483870967741936
688616,西力科技,14,54162.0,1633.0,1,2.0389605503441137,10.89973483452621,33.16717697489283
688617,惠泰医疗,24,92315.0,3010.0,5,1.6191378703180876,11.432961920829843,30.669435215946844
688618,三旺通信,15,58303.0,1884.0,2,2.058522659741091,10.973408828990653,30.9463906581741
688619,罗普特,22,85284.0,3598.0,5,2.384046646534705,11.353742142614896,23.703168426903837
688626,翔宇医疗,20,78095.0,2607.0,7,2.18482126662515,11.265681313291823,29.955887993862678
688628,优利德,26,104663.0,3984.0,6,2.2006542050112676,11.558500943761517,26.270833333333332
688630,芯碁微装,13,51686.0,1926.0,1,2.206415642958922,10.852942230788715,26.835929387331255
688633,星球石墨,11,41495.0,1411.0,3,1.8585287173996852,10.633328217032549,29.40822111977321
688636,智明达,20,77638.0,2295.0,6,1.9680731253074706,11.259812277033586,33.82919389978213
688639,华恒生物,13,51084.0,1716.0,3,1.8699625638255557,10.841226615616153,29.76923076923077
688655,迅捷兴,17,65133.0,2108.0,3,2.467201612933662,11.084186612202346,30.898007590132828
688656,浩欧博,15,56562.0,1741.0,3,2.074667128007877,10.943092660624206,32.4882251579552
688658,悦康药业,20,78874.0,2537.0,4,2.1716860382901673,11.275606921474713,31.089475758770202
688659,元琛科技,15,58811.0,1791.0,3,2.0868943342921074,10.982084191220336,32.83696259073143
688660,电气风电,20,80215.0,2795.0,3,2.030713148898767,11.292465808785176,28.699463327370303
688661,和林微纳,13,50397.0,1543.0,2,2.1127525990827265,10.827686928478323,32.66169799092677
688662,富信科技,18,68972.0,2684.0,1,2.2363844533065755,11.141455904120022,25.69746646795827
688663,新风光,13,50330.0,1725.0,3,2.6687468198089754,10.826356599770406,29.1768115942029
688665,四方光电,20,75014.0,2726.0,5,2.180334590218745,11.22543004176506,27.51797505502568
688668,鼎通科技,11,43579.0,1608.0,1,2.026131350275921,10.682330661929695,27.10136815920398
688669,聚石化学,15,60633.0,1928.0,4,2.1535980148883374,11.012594578296879,31.448651452282157
688676,金盘科技,19,74715.0,2595.0,0,2.25011086824845,11.221436154175494,28.791907514450866
688677,海泰新光,14,53443.0,1733.0,4,1.7826774912870036,10.886370944359415,30.838430467397576
688679,通源环境,11,41614.0,1315.0,6,1.9472971255350588,10.636191928094528,31.645627376425857
688680,海优新材,12,45606.0,1390.0,3,1.943822182397451,10.727794565794095,32.810071942446044
688682,霍莱沃,11,43902.0,1365.0,3,1.9244858201780113,10.689715156112085,32.16263736263736
688683,莱尔科技,16,62313.0,1955.0,7,2.1973584976105136,11.039925350744218,31.87365728900256
688686,奥普特,13,51153.0,2072.0,3,2.357001602372716,10.842576420686262,24.687741312741313
688687,凯因科技,19,75390.0,2397.0,4,1.9090559324786893,11.230429919205747,31.451814768460576
688689,银河微电,18,68391.0,2138.0,5,2.575225318576799,11.132996516006004,31.988306828811975
688696,极米科技,21,81182.0,2793.0,5,2.4184246863439496,11.304448826699415,29.066237021124238
688698,伟创电气,15,59609.0,2194.0,2,2.1863862513596244,10.995561848364485,27.169097538742022
688699,明微电子,13,51549.0,1702.0,2,2.032230268028591,10.850288090614855,30.287309048178614
688777,中控技术,14,54352.0,1887.0,2,1.8749322989525943,10.903236690400366,28.803391626921037
688788,科思科技,16,64473.0,2178.0,0,2.0269675616606233,11.074001810493316,29.601928374655646
688819,天能股份,11,42489.0,1470.0,0,1.7706535777758707,10.657000497882507,28.90408163265306
