sec_code,sec_name,source_custom_ids,source_chunk_start,source_chunk_end,source_chunk_n,Text_len,summary_len_raw_sum,Chunk_num,unit,process,threshold,summary_floor,candidate,Summary_len,floor_applied,n0,n1,n2,n3,n4,n5,Relevant_score,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,Redundancy_chunk
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0001,1,1,1,3976.0,124.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,124.0,0,10.0,22.0,18.0,12.0,5.0,1.0,1.75,144.0,57.0,36.21730382293763,14.336016096579478,32.064516129032256
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0002,2,2,1,3947.0,102.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,102.0,0,24.0,28.0,6.0,3.0,1.0,0.0,0.8548387096774194,74.0,35.0,18.748416518875096,8.86749429946795,38.69607843137255
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0003,3,3,1,3954.0,114.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,114.0,0,15.0,18.0,12.0,8.0,6.0,3.0,1.6935483870967742,159.0,55.0,40.21244309559939,13.9099645928174,34.68421052631579
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0004,4,4,1,3957.0,144.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,144.0,0,10.0,15.0,12.0,10.0,10.0,3.0,2.066666666666667,186.0,76.0,47.005307050796056,19.2064695476371,27.479166666666668
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0005,5,5,1,3911.0,101.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,101.0,0,0.0,15.0,10.0,12.0,10.0,2.0,2.4693877551020407,40.0,18.0,10.227563283047814,4.602403477371516,38.722772277227726
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0006,6,6,1,3992.0,109.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,109.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,6.0,5.01002004008016,1.503006012024048,36.62385321100918
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0007,7,7,1,3879.0,111.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,111.0,0,12.0,15.0,10.0,6.0,4.0,1.0,1.5416666666666667,89.0,53.0,22.94405774684197,13.663315287445217,34.945945945945944
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0008,8,8,1,3936.0,121.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,121.0,0,12.0,15.0,10.0,7.0,3.0,1.0,1.5208333333333333,19.0,17.0,4.8272357723577235,4.319105691056911,32.52892561983471
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0009,9,9,1,3558.0,170.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,170.0,0,12.0,20.0,15.0,8.0,5.0,2.0,1.6774193548387097,43.0,9.0,12.085441259134345,2.5295109612141653,20.929411764705883
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0010,10,10,1,3649.0,92.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,92.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,8.0,5.480953685941353,2.1923814743765417,39.66304347826087
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0011,11,11,1,3122.0,56.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,56.0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,43.0,25.0,13.773222293401666,8.00768737988469,55.75
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0012,12,12,1,3105.0,102.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,102.0,0,0.0,0.0,0.0,0.0,68.0,0.0,4.0,10.0,7.0,3.2206119162640903,2.2544283413848634,30.441176470588236
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0013,13,13,1,3751.0,79.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,79.0,0,0.0,0.0,0.0,0.0,40.0,40.0,4.5,51.0,7.0,13.596374300186616,1.8661690215942415,47.48101265822785
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0014,14,14,1,3533.0,107.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,107.0,0,22.0,18.0,12.0,10.0,8.0,2.0,1.5833333333333333,57.0,26.0,16.13359750919898,7.359184828757431,33.018691588785046
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0015,15,15,1,3997.0,177.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,177.0,0,0.0,0.0,0.0,0.0,15.0,8.0,4.3478260869565215,329.0,124.0,82.31173380035025,31.02326745058794,22.581920903954803
688358,祥生医疗,688358_1207116567_glm4_dewrap_join_chunk_0016;688358_1207116567_glm4_dewrap_join_chunk_0017,16,17,2,5402.0,228.0,16,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,228.0,0,7.0,8.0,5.0,3.0,29.0,1.0,2.792452830188679,357.0,121.0,66.08663457978527,22.39911144020733,23.69298245614035
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0001,1,1,1,3984.0,98.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,98.0,0,12.0,18.0,15.0,10.0,5.0,2.0,1.7419354838709677,60.0,47.0,15.060240963855422,11.797188755020079,40.6530612244898
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0002,2,2,1,3918.0,97.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,97.0,0,0.0,0.0,0.0,15.0,12.0,3.0,3.6,195.0,78.0,49.77029096477795,19.90811638591118,40.391752577319586
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0003,3,3,1,3912.0,106.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,106.0,0,0.0,15.0,18.0,12.0,12.0,5.0,2.5806451612903225,68.0,46.0,17.382413087934562,11.758691206543968,36.905660377358494
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0004,4,4,1,3909.0,138.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,138.0,0,18.0,15.0,12.0,8.0,6.0,3.0,1.6451612903225807,101.0,47.0,25.837810181632133,12.023535431056535,28.32608695652174
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0005,5,5,1,3979.0,111.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,111.0,0,12.0,20.0,15.0,8.0,5.0,2.0,1.6774193548387097,66.0,34.0,16.587082181452626,8.54486051771802,35.846846846846844
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0006,6,6,1,3961.0,109.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,109.0,0,15.0,12.0,10.0,5.0,5.0,1.0,1.5,120.0,60.0,30.295379954556932,15.147689977278466,36.3394495412844
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0007,7,7,1,3871.0,179.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,179.0,0,12.0,15.0,10.0,7.0,7.0,3.0,1.8333333333333333,147.0,72.0,37.9746835443038,18.599845001291655,21.625698324022345
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0008,8,8,1,3980.0,179.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,179.0,0,0.0,0.0,0.0,0.0,24.0,24.0,4.5,65.0,45.0,16.331658291457288,11.306532663316583,22.23463687150838
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0009,9,9,1,3896.0,113.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,113.0,0,10.0,12.0,8.0,7.0,9.0,3.0,2.0408163265306123,82.0,32.0,21.04722792607803,8.213552361396305,34.47787610619469
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0010,10,10,1,3983.0,95.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,95.0,0,10.0,15.0,12.0,10.0,5.0,3.0,1.8909090909090909,94.0,61.0,23.60030128044188,15.315089128797387,41.92631578947368
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0011,11,11,1,3979.0,98.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,98.0,0,0.0,0.0,0.0,24.0,38.0,0.0,3.6129032258064515,52.0,44.0,13.068610203568737,11.058054787635083,40.60204081632653
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0012,12,12,1,3993.0,118.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,118.0,0,0.0,0.0,0.0,30.0,30.0,0.0,3.5,86.0,72.0,21.537690959178562,18.031555221637866,33.83898305084746
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0013,13,13,1,3959.0,113.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,113.0,0,15.0,20.0,10.0,8.0,5.0,2.0,1.5666666666666667,45.0,23.0,11.366506693609498,5.809547865622632,35.0353982300885
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0014,14,14,1,3846.0,111.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,111.0,0,15.0,18.0,10.0,7.0,3.0,1.0,1.4074074074074074,9.0,3.0,2.3400936037441498,0.7800312012480499,34.648648648648646
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0015,15,15,1,3545.0,94.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,94.0,0,42.0,0.0,0.0,0.0,18.0,0.0,1.2,43.0,40.0,12.129760225669958,11.283497884344147,37.712765957446805
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0016,16,16,1,3982.0,99.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,99.0,0,0.0,0.0,0.0,0.0,30.0,30.0,4.5,197.0,98.0,49.472626820693115,24.610748367654445,40.22222222222222
688357,建龙微纳,688357_1207119374_glm4_dewrap_join_chunk_0017,17,17,1,3113.0,129.0,17,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,129.0,0,15.0,12.0,8.0,7.0,5.0,1.0,1.5416666666666667,266.0,120.0,85.44812078380983,38.54802441374879,24.131782945736433
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0001,1,1,1,3990.0,134.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,134.0,0,10.0,15.0,18.0,12.0,5.0,2.0,1.8870967741935485,159.0,132.0,39.849624060150376,33.08270676691729,29.776119402985074
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0002,2,2,1,3930.0,114.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,114.0,0,10.0,22.0,18.0,8.0,3.0,1.0,1.596774193548387,68.0,26.0,17.302798982188293,6.6157760814249365,34.473684210526315
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0003,3,3,1,3998.0,88.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,88.0,0,15.0,28.0,12.0,8.0,4.0,1.0,1.4264705882352942,54.0,29.0,13.506753376688344,7.2536268134067035,45.43181818181818
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0004,4,4,1,3991.0,131.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,131.0,0,12.0,16.0,10.0,8.0,5.0,1.0,1.6346153846153846,38.0,19.0,9.52142320220496,4.76071160110248,30.46564885496183
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0005,5,5,1,3983.0,94.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,94.0,0,15.0,18.0,5.0,5.0,4.0,2.0,1.4081632653061225,169.0,110.0,42.43032889781571,27.617373838814963,42.37234042553192
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0006,6,6,1,3973.0,28.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,50.0,1,0.0,28.0,3.0,0.0,0.0,0.0,1.096774193548387,144.0,89.0,36.24465139692927,22.401208155046564,79.46
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0007,7,7,1,3995.0,97.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,97.0,0,15.0,28.0,10.0,5.0,3.0,1.0,1.2903225806451613,81.0,58.0,20.275344180225282,14.518147684605758,41.18556701030928
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0008,8,8,1,3983.0,116.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,116.0,0,18.0,16.0,8.0,4.0,6.0,2.0,1.4444444444444444,222.0,170.0,55.73688174742656,42.68139593271403,34.33620689655172
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0009,9,9,1,3880.0,107.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,107.0,0,12.0,18.0,15.0,9.0,6.0,2.0,1.7580645161290323,222.0,174.0,57.21649484536082,44.845360824742265,36.26168224299065
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0010,10,10,1,3956.0,88.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,88.0,0,0.0,12.0,15.0,12.0,10.0,5.0,2.6481481481481484,227.0,196.0,57.381193124368046,49.54499494438827,44.95454545454545
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0011,11,11,1,3985.0,171.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,171.0,0,6.0,15.0,12.0,10.0,8.0,3.0,2.1481481481481484,159.0,116.0,39.89962358845671,29.109159347553327,23.304093567251464
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0012,12,12,1,3990.0,130.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,130.0,0,10.0,15.0,12.0,6.0,4.0,1.0,1.625,108.0,65.0,27.06766917293233,16.290726817042607,30.692307692307693
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0013,13,13,1,3752.0,111.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,111.0,0,0.0,0.0,0.0,12.0,18.0,18.0,4.125,88.0,81.0,23.454157782515992,21.588486140724946,33.8018018018018
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0014,14,14,1,3948.0,149.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,149.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,24.0,12.664640324214792,6.079027355623101,26.496644295302012
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0015,15,15,1,3946.0,93.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,93.0,0,0.0,0.0,0.0,20.0,18.0,0.0,3.473684210526316,143.0,80.0,36.23922959959452,20.27369488089204,42.43010752688172
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0016,16,16,1,3988.0,96.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,96.0,0,42.0,10.0,5.0,2.0,1.0,0.0,0.5,100.0,22.0,25.075225677031096,5.516549648946841,41.541666666666664
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0017,17,17,1,3501.0,79.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,79.0,0,12.0,15.0,8.0,5.0,2.0,0.0,1.2857142857142858,24.0,19.0,6.8551842330762645,5.427020851185376,44.31645569620253
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0018,18,18,1,3862.0,125.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,125.0,0,15.0,20.0,10.0,8.0,5.0,2.0,1.5666666666666667,65.0,52.0,16.830657690315896,13.464526152252718,30.896
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0019,19,19,1,3977.0,137.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,137.0,0,15.0,18.0,12.0,8.0,6.0,3.0,1.6935483870967742,119.0,18.0,29.922051797837565,4.526024641689716,29.029197080291972
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0020,20,20,1,3940.0,70.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,70.0,0,10.0,20.0,15.0,10.0,4.0,1.0,1.6833333333333333,168.0,142.0,42.639593908629436,36.04060913705584,56.285714285714285
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0021,21,21,1,3972.0,137.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,137.0,0,30.0,15.0,10.0,3.0,2.0,0.0,0.8666666666666667,240.0,172.0,60.422960725075534,43.3031218529708,28.99270072992701
688399,硕世生物,688399_1207122312_glm4_dewrap_join_chunk_0022;688399_1207122312_glm4_dewrap_join_chunk_0023,22,23,2,5228.0,259.0,22,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,259.0,0,13.0,20.0,18.0,18.0,17.0,4.0,2.2,457.0,270.0,87.41392501912777,51.64498852333588,20.185328185328185
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0001,1,1,1,3982.0,119.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,119.0,0,8.0,22.0,18.0,15.0,4.0,1.0,1.8235294117647058,68.0,48.0,17.076845806127576,12.054244098442993,33.46218487394958
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0002,2,2,1,3974.0,118.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,118.0,0,15.0,18.0,12.0,10.0,5.0,2.0,1.6451612903225807,139.0,75.0,34.97735279315551,18.87267237040765,33.67796610169491
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0003,3,3,1,3995.0,222.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,222.0,0,8.0,15.0,12.0,14.0,9.0,4.0,2.2096774193548385,113.0,61.0,28.28535669586984,15.269086357947435,17.995495495495497
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0004,4,4,1,3991.0,101.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,101.0,0,32.0,20.0,8.0,5.0,2.0,1.0,0.9411764705882353,112.0,55.0,28.063142069656728,13.781007266349286,39.51485148514851
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0005,5,5,1,3997.0,125.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,125.0,0,15.0,16.0,8.0,7.0,5.0,3.0,1.6296296296296295,99.0,80.0,24.76857643232424,20.01501125844383,31.976
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0006,6,6,1,3999.0,207.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,207.0,0,10.0,15.0,12.0,10.0,5.0,2.0,1.8333333333333333,113.0,90.0,28.257064266066518,22.50562640660165,19.318840579710145
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0007,7,7,1,3991.0,112.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,112.0,0,12.0,20.0,15.0,8.0,5.0,2.0,1.6774193548387097,45.0,28.0,11.275369581558506,7.015785517414182,35.63392857142857
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0008,8,8,1,3997.0,159.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,159.0,0,8.0,15.0,12.0,10.0,6.0,3.0,2.0,125.0,63.0,31.273455091318485,15.761821366024519,25.138364779874212
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0009,9,9,1,3986.0,123.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,123.0,0,10.0,15.0,12.0,6.0,4.0,1.0,1.625,120.0,64.0,30.105368790767688,16.056196688409432,32.40650406504065
688198,佰仁医疗,688198_1207130602_glm4_dewrap_join_chunk_0010,10,10,1,3993.0,120.0,20,Summary_len_proxy,merge_tail,2000,50,proxy_tailmerge2000_floor50,120.0,0,15.0,20.0,18.0,12.0,9.0,4.0,1.8974358974358974,49.0,27.0,12.271475081392436,6.7618332081142,33.275
