sec_code,sec_name,chunk_n,text_sum,summary_sum,floor_applied_n,relevant_score_mean,lnN_tech,Redundancy
688004,博汇科技,18,68717.0,2473.0,0,2.132812496660354,11.13775190029194,27.78689850384149
688017,绿的谐波,11,39815.0,1396.0,0,2.109904389589813,10.591999004691544,28.520773638968482
688026,洁特生物,24,93604.0,3121.0,0,2.1418130065476393,11.446828396595302,29.99166933675104
688027,国盾量子,20,78084.0,2468.0,0,1.916099434805116,11.265540449282984,31.638573743922205
688037,芯源微,13,47650.0,1534.0,0,2.420859973577863,10.771637909082347,31.0625814863103
688039,当虹科技,15,56459.0,1951.0,0,2.0034680954008945,10.941269989996359,28.938493080471552
688050,爱博医疗,23,84393.0,2537.0,0,2.4246360492595436,11.343239738755845,33.26487977926685
688051,佳华科技,20,75270.0,2303.0,0,1.775463204648148,11.228836928028578,32.683456361267915
688055,龙腾光电,15,57274.0,1918.0,0,2.066833361779598,10.955602047544657,29.861313868613138
688056,莱伯泰科,18,69939.0,2179.0,0,1.7849715889711708,11.155378712545462,32.096833409821016
688060,云涌科技,12,45219.0,1497.0,0,1.7648895952929768,10.719272631478638,30.206412825651302
688065,凯赛生物,14,51415.0,1542.0,0,2.2693161346768593,10.84768523766329,33.343060959792474
688069,德林海,20,75234.0,2291.0,0,1.9366981798121314,11.228358535418593,32.8389349628983
688077,大地熊,13,47357.0,1429.0,0,2.2344553598941643,10.765469922956939,33.139958012596225
688080,映翰通,15,56895.0,1977.0,0,2.0277400552922376,10.948962742791108,28.77845220030349
688085,三友医疗,24,91293.0,2857.0,0,1.9054249639296186,11.421829393326107,31.95414770738537
688086,紫晶存储,26,99312.0,3523.0,0,1.92945796083071,11.506021688653433,28.1896111268805
688089,嘉必优,16,62300.0,1998.0,0,1.6299826351294673,11.039716704775545,31.18118118118118
688090,瑞松科技,24,90269.0,3084.0,0,2.4647409782052137,11.410549380353363,29.2701037613489
688095,福昕软件,12,45244.0,1249.0,0,1.9614460658815498,10.719825343651271,36.22417934347478
688096,京源环保,20,75301.0,2362.0,0,1.8061532634678499,11.229248693912288,31.880186282811177
688100,威胜信息,23,87624.0,2683.0,0,2.0270770923570964,11.380810212003583,32.65896384644055
688106,金宏气体,18,68111.0,2464.0,0,2.1862794134631667,11.128894006259427,27.6424512987013
688126,沪硅产业,12,46090.0,1593.0,0,1.875413900885792,10.738351285714554,28.932831136220965
688155,先惠技术,15,58023.0,1990.0,0,2.1624663787029377,10.96859476264684,29.157286432160802
688158,优刻得,22,81983.0,2884.0,0,1.9414841658807738,11.314267187680064,28.426837725381414
688165,埃夫特,16,60303.0,2040.0,0,2.169442235233963,11.007137132721505,29.560294117647057
688169,石头科技,17,67275.0,2105.0,0,2.050170370050419,11.116543975595107,31.959619952494062
688177,百奥泰,24,91507.0,2909.0,0,1.812499701629675,11.424170751069669,31.456514266070815
688178,万德斯,15,57295.0,1920.0,0,2.325342536292497,10.955968638860549,29.841145833333332
688180,君实生物,23,89313.0,2850.0,0,1.7546615347018573,11.399902332977057,31.337894736842106
688181,八亿时空,17,64297.0,2031.0,0,2.56392164205328,11.07126825283867,31.65780403741999
688186,广大特材,21,81237.0,2266.0,0,2.153138888309,11.305126087390619,35.85039717563989
688189,南新制药,23,90334.0,2871.0,0,1.5102126847506767,11.411269191240297,31.464298153953326
688198,佰仁医疗,21,79244.0,2705.0,0,1.7252590541523234,11.280286979094218,29.295378927911276
688200,华峰测控,12,46571.0,1697.0,0,2.261564330848012,10.7487333087972,27.44313494401886
688208,道通科技,14,52763.0,1735.0,0,1.8889861308508078,10.87356546647324,30.410951008645533
688215,瑞晟智能,13,50392.0,1515.0,0,2.423557590444409,10.827587711301765,33.26204620462046
688222,成都先导,15,55842.0,1772.0,0,1.7834597807031332,10.930281553413765,31.513544018058692
688228,开普云,24,91280.0,2839.0,0,2.0598898897926587,11.421686984535958,32.15216625572385
688229,博睿数据,18,69379.0,2195.0,0,1.9083685757867082,11.147339507044254,31.607744874715262
688233,神工股份,9,33064.0,1076.0,0,2.0369026284348863,10.406200356191569,30.728624535315983
688256,寒武纪,12,44986.0,1637.0,0,2.1352788800705467,10.714106609236245,27.48075748320098
688258,卓易信息,18,68451.0,1994.0,0,1.9643064757338125,11.13387343981368,34.32848545636911
688266,泽璟制药,26,99033.0,3222.0,0,1.6632249863472544,11.503208406906847,30.736499068901303
688268,华特气体,21,77316.0,2218.0,0,1.9873219437577438,11.255656198926642,34.85843101893598
