sec_code,sec_name,source_custom_ids,source_chunk_start,source_chunk_end,source_chunk_n,Text_len,summary_len_raw_sum,Chunk_num,unit,process,threshold,summary_floor,candidate,Summary_len,floor_applied,n0,n1,n2,n3,n4,n5,Relevant_score,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,Redundancy_chunk
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0001,1,1,1,3983.0,200.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,200.0,0,12.0,15.0,18.0,8.0,5.0,2.0,1.75,213.0,154.0,53.4772784333417,38.664323374340945,19.915
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0002,2,2,1,3998.0,77.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,77.0,0,15.0,18.0,5.0,3.0,1.0,0.0,0.9761904761904762,166.0,79.0,41.5207603801901,19.759879939969984,51.922077922077925
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0003,3,3,1,3996.0,195.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,195.0,0,28.0,16.0,5.0,3.0,2.0,0.0,0.7962962962962963,99.0,75.0,24.774774774774777,18.76876876876877,20.49230769230769
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0004,4,4,1,3996.0,243.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,243.0,0,10.0,15.0,12.0,10.0,10.0,5.0,2.161290322580645,243.0,172.0,60.810810810810814,43.04304304304304,16.444444444444443
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0005,5,5,1,3799.0,147.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,147.0,0,15.0,18.0,12.0,8.0,6.0,3.0,1.6935483870967742,218.0,123.0,57.383521979468284,32.376941300342196,25.843537414965986
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0006,6,6,1,3940.0,197.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,197.0,0,12.0,15.0,18.0,10.0,5.0,2.0,1.7903225806451613,223.0,149.0,56.598984771573605,37.81725888324873,20.0
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0007,7,7,1,3991.0,124.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,124.0,0,0.0,0.0,0.0,12.0,18.0,24.0,4.222222222222222,119.0,64.0,29.81708844901027,16.036081182660986,32.185483870967744
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0008,8,8,1,3994.0,152.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,152.0,0,10.0,15.0,12.0,10.0,10.0,5.0,2.161290322580645,197.0,135.0,49.32398597896846,33.80070105157736,26.276315789473685
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0009,9,9,1,3972.0,193.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,193.0,0,15.0,25.0,12.0,7.0,2.0,1.0,1.3387096774193548,47.0,24.0,11.832829808660625,6.042296072507553,20.580310880829014
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0010,10,10,1,3978.0,175.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,175.0,0,15.0,20.0,12.0,8.0,5.0,2.0,1.5806451612903225,25.0,13.0,6.28456510809452,3.2679738562091503,22.731428571428573
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0011,11,11,1,3784.0,155.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,155.0,0,15.0,20.0,10.0,8.0,5.0,2.0,1.5666666666666667,63.0,43.0,16.649048625792812,11.363636363636363,24.412903225806453
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0012,12,12,1,3855.0,164.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,164.0,0,12.0,15.0,18.0,10.0,5.0,2.0,1.7903225806451613,66.0,42.0,17.12062256809339,10.894941634241244,23.50609756097561
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0013,13,13,1,3978.0,91.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,91.0,0,0.0,0.0,0.0,0.0,86.0,0.0,4.0,119.0,100.0,29.914529914529915,25.13826043237808,43.714285714285715
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0014,14,14,1,3952.0,132.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,132.0,0,15.0,20.0,10.0,12.0,6.0,2.0,1.6923076923076923,166.0,97.0,42.00404858299595,24.544534412955464,29.939393939393938
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0015,15,15,1,3998.0,192.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,192.0,0,12.0,15.0,10.0,10.0,8.0,3.0,1.9310344827586208,239.0,153.0,59.77988994497248,38.26913456728364,20.822916666666668
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0016,16,16,1,3990.0,151.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,151.0,0,10.0,15.0,12.0,10.0,9.0,4.0,2.0833333333333335,286.0,152.0,71.67919799498746,38.0952380952381,26.423841059602648
688001,华兴源创,688001_1206416030_glm4_dewrap_join_chunk_0017,17,17,1,3237.0,174.0,17,Summary_len_glm4,keep,0,0,raw_glm4token,174.0,0,15.0,12.0,10.0,10.0,8.0,5.0,1.9833333333333334,302.0,144.0,93.29626197096076,44.48563484708063,18.603448275862068
688005,容百科技,688005_1206447899_glm4_dewrap_join_chunk_0001,1,1,1,3997.0,186.0,12,Summary_len_glm4,keep,0,0,raw_glm4token,186.0,0,12.0,15.0,20.0,18.0,9.0,4.0,2.1153846153846154,81.0,32.0,20.265198899174383,8.006004503377532,21.489247311827956
