variable,paper_variable,N,mean,std,p25,median,p75,paper_N,paper_mean,paper_std,paper_median
Redundancy,Redundancy,288,30.69280339330314,2.537305689046721,29.179392811314635,30.91151633441966,32.27362353634759,552,29.074,2.63,28.91
FInvention,FInvention,288,2.1285744023806377,1.1337248596133085,1.3862943611198906,2.0794415416798357,2.70805020110221,471,2.282,1.2,2.197
BHAR,BHAR,288,-0.06198376400601253,0.5539584803344065,-0.4238403159611805,-0.24710817703242854,0.08605130378970374,471,-0.036,0.514,-0.17
FSales_Growth,FSales_Growth,288,0.3719667387881888,1.0599333156227944,0.0128628859455144,0.21524523351673255,0.4368321054825312,471,0.53,1.522,0.18
Size,Size,288,20.666193389371315,0.9763000904323992,19.98272885785636,20.50699437821637,21.0282406004264,552,20.741,0.99,20.533
Lev,Lev,288,0.34187830980215883,0.16835366796867282,0.2070600619430556,0.3278879950296364,0.4437038990278101,552,0.356,0.183,0.334
ROA,ROA,288,0.11049773601190317,0.14727359916714927,0.07397415596904955,0.1100291361001262,0.16665682031712573,552,0.094,0.145,0.1
Size_ipo_pre,Size,288,20.612834101429748,0.9789890604295197,19.93428095149558,20.443288934809345,20.983874742669066,552,20.741,0.99,20.533
Lev_ipo_pre,Lev,288,0.34193590214115566,0.1655705999803756,0.2069114595855516,0.32787792473858773,0.4428699730441573,552,0.356,0.183,0.334
ROA_ipo_pre,ROA,288,0.11021094295557826,0.11927238361315746,0.07383906347608912,0.10971055009962485,0.16315851207862228,552,0.094,0.145,0.1
Offerfee,Offerfee,288,18.180987744396333,0.4333538042908793,17.87696074035015,18.140785872291616,18.41715652817502,552,18.325,0.483,18.27
Underwriter_ipo,Underwriter,288,0.5416666666666666,0.49912815975521474,0.0,1.0,1.0,552,0.574,0.495,1.0
Age,Age,288,2.619421352155252,0.3705715988282754,2.38195979732288,2.669865884453926,2.882085944908016,552,2.601,0.408,2.639
ScopeLen,ScopeLen,288,5.698516407504509,0.8101689924402095,5.203961066091255,5.831878177336407,6.292941422117974,552,5.671,0.854,5.762
NumIndSeg,NumIndSeg,288,0.9221688766896704,0.40479048275279883,0.6931471805599453,0.6931471805599453,1.0986122886681098,552,0.854,0.361,0.693
NumProdSeg,NumProdSeg,288,1.528294914488245,0.3561870965465545,1.3862943611198906,1.6094379124341005,1.791759469228055,552,1.475,0.376,1.609
RD_Staff_ipo,RD_Staff,288,0.2462152399399581,0.18602875740479216,0.1291226517932649,0.20071664647363774,0.33974222482466765,552,0.305,0.194,0.24
