variable,N,mean,std,p25,median,p75
Redundancy,543,35.25923998478306,4.98140786034741,31.94614595311809,34.61365853658537,37.97131732345619
lnN_tech,543,11.437617993330814,0.32168656023594466,11.252216198614438,11.442717569926732,11.651175504895022
FInvention,531,2.324674941405925,1.190412055156729,1.6094379124341005,2.1972245773362196,2.995732273553991
BHAR,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917
FSales_Growth,538,0.4094078405973609,1.672661276527938,-0.0482180615169181,0.15629103046068754,0.3858216176197689
Price_Issue_pb_indadj,542,1.0,0.36628547371214504,0.7912813546956953,0.9462907183175755,1.1255026699531485
Price_Day5_pb_indadj,542,1.0,0.7257633301554599,0.5579264863580351,0.8057731670122854,1.2243124080383398
RD_Asset,541,0.07862084168898885,0.1339083919548882,0.034192463282906954,0.05235176556436754,0.08593494105337206
Size,541,20.778929449607105,0.9989818917242193,20.12539125166632,20.568765720528297,21.23784067255592
Lev,541,0.35980204427393936,0.18527259046738562,0.21344141689919613,0.33667166398113413,0.47698328250146205
ROA,541,0.09052151123713272,0.18889751865940993,0.05814980984343344,0.10023311173023614,0.15607164528023018
Offerfee,542,18.327417050451384,0.49401990044810057,17.967248275223515,18.26583331464052,18.622711812196933
Underwriter,543,0.009208103130755065,0.0956041141901607,0.0,0.0,0.0
Age,541,2.6121099223392714,0.4133773650677668,2.3588761447016,2.6598621827797437,2.908235432469833
