model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula
simple,FInvention,Redundancy,531,0.006343363838606366,0.011473825025736411,0.5528552008051245,0.5803625659432943,-0.0013230356662410347,FInvention ~ Redundancy
fe_text,FInvention,Redundancy,531,0.007769240034296094,0.012790535229315858,0.6074210261732461,0.543571538153258,0.10781309084168422,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FInvention,Redundancy,531,0.0029294662298812385,0.010788285550999038,0.2715414062811823,0.7859746579164671,0.3285842045090617,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,BHAR,Redundancy,541,-0.006862263481430747,0.004659744800765369,-1.4726693788689054,0.1408402072129462,0.002053758857235799,BHAR ~ Redundancy
fe_text,BHAR,Redundancy,541,-0.0035711665959185426,0.005171212342547859,-0.6905859514867702,0.489825778455935,-0.007819857949205478,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,BHAR,Redundancy,541,-0.004084386952228576,0.005190366246419424,-0.7869169068842091,0.43133050968441455,-0.017100479172750704,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,FSales_Growth,Redundancy,538,0.023497238959979662,0.015512971039391777,1.514683351133293,0.12985261261566333,0.002011319788016941,FSales_Growth ~ Redundancy
fe_text,FSales_Growth,Redundancy,538,0.01331770153408729,0.01608646285339826,0.8278825280272182,0.4077370306985234,0.12629950793143374,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FSales_Growth,Redundancy,538,0.0016473371553140255,0.016398760902808448,0.10045497736550955,0.9199831248268047,0.20326316837816216,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Issue_pb_indadj,RD_Low_x_Redundancy_High,541,-0.007449617655522801,0.07163555565150537,-0.10399329757088654,0.9171746674952003,0.1587574732919036,Price_Issue_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,541,-0.08743071862441737,0.14607983559159038,-0.5985132600289608,0.549497513874169,0.07485863331269693,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
