threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
2300,0,8584,322,0,17.06314072693383,3935.65890027959,341.7447238525019,135.3075489282386,38.64133174502935,31.109536375194214,8.854058985633316,29.089823721294763,2.265208557371326,0.0561020415059866,-99
2300,30,8584,322,0,17.06314072693383,3935.65890027959,341.7447238525019,135.3075489282386,38.64133174502935,31.109536375194214,8.854058985633316,29.089823721294763,2.265208557371326,0.0561020415059866,-99
2400,0,8571,335,0,17.041302065103256,3941.628281414071,348.43114825798943,135.51277563878193,39.15348332950748,31.123084877069022,8.847551832866678,29.089823721294763,2.265208557371326,0.05611316355218121,-112
2400,30,8571,335,0,17.041302065103256,3941.628281414071,348.43114825798943,135.51277563878193,39.15348332950748,31.123084877069022,8.847551832866678,29.089823721294763,2.265208557371326,0.05611316355218121,-112
2300,50,8584,322,12,17.06314072693383,3935.65890027959,341.7447238525019,135.31500465983225,38.62401511447036,31.09508221687325,8.759910351829504,29.088519803420137,2.264135526772826,0.05703516646699221,-99
2400,50,8571,335,12,17.041302065103256,3941.628281414071,348.43114825798943,135.5202426788006,39.1363282188325,31.10860879551177,8.753211908679624,29.088519803420137,2.264135526772826,0.057047588925435586,-112
2200,30,8598,308,0,17.087229588276344,3929.2505233775296,335.9694616538375,135.08722958827633,38.064378251643205,31.094650502944102,8.863990397442475,29.089823721294763,2.265208557371326,0.05857160475422792,-85
2200,0,8598,308,0,17.087229588276344,3929.2505233775296,335.9694616538375,135.08722958827633,38.064378251643205,31.094650502944102,8.863990397442475,29.089823721294763,2.265208557371326,0.05857160475422792,-85
2200,50,8598,308,12,17.087229588276344,3929.2505233775296,335.9694616538375,135.09467317980926,38.04687077124081,31.08021988012168,8.770077869252349,29.088519803420137,2.264135526772826,0.059503115519531656,-85
2300,60,8584,322,84,17.06314072693383,3935.65890027959,341.7447238525019,135.36346691519105,38.524988800959,31.035676203637284,8.495413555745774,29.078609149323935,2.255622972838801,0.06005032264797494,-99
2400,60,8571,335,84,17.041302065103256,3941.628281414071,348.43114825798943,135.56877843892195,39.03819779921667,31.049112678650555,8.488193095499927,29.078609149323935,2.255622972838801,0.06006527318812401,-112
2500,30,8551,355,0,17.003976143141152,3950.8473862706114,361.3499918214562,135.82972751724944,40.03377241424068,31.145769369074184,8.83815690181793,29.089823721294763,2.265208557371326,0.06034207253618394,-132
2500,0,8551,355,0,17.003976143141152,3950.8473862706114,361.3499918214562,135.82972751724944,40.03377241424068,31.145769369074184,8.83815690181793,29.089823721294763,2.265208557371326,0.06034207253618394,-132
2100,30,8614,292,0,17.11585790573485,3921.9521708846064,331.6108099575002,134.8363129788716,37.350516647652086,31.074879724637064,8.875837614749003,29.089823721294763,2.265208557371326,0.06087899335116705,-69
2100,0,8614,292,0,17.11585790573485,3921.9521708846064,331.6108099575002,134.8363129788716,37.350516647652086,31.074879724637064,8.875837614749003,29.089823721294763,2.265208557371326,0.06087899335116705,-69
2500,50,8551,355,12,17.003976143141152,3950.8473862706114,361.3499918214562,135.83721202198572,40.016896137843716,31.131259429297884,8.743531122288116,29.088519803420137,2.264135526772826,0.06119329515966988,-132
2100,50,8614,292,12,17.11585790573485,3921.9521708846064,331.6108099575002,134.84374274436962,37.33275749315495,31.06047590585053,8.78219452028651,29.088519803420137,2.264135526772826,0.06180874763992587,-69
2000,30,8624,282,0,17.12708719851577,3917.404452690167,329.95161373925765,134.6799628942486,36.91284496409301,31.06252131901819,8.883138934667585,29.089823721294763,2.265208557371326,0.06202823866847812,-59
2000,0,8624,282,0,17.12708719851577,3917.404452690167,329.95161373925765,134.6799628942486,36.91284496409301,31.06252131901819,8.883138934667585,29.089823721294763,2.265208557371326,0.06202823866847812,-59
1600,0,8699,207,0,17.253822278422806,3883.6298425106334,342.09510780443804,133.51879526382342,34.04192375083163,30.97025981710817,8.953872412132624,29.089823721294763,2.265208557371326,0.0624746260931066,16
1600,30,8699,207,0,17.253822278422806,3883.6298425106334,342.09510780443804,133.51879526382342,34.04192375083163,30.97025981710817,8.953872412132624,29.089823721294763,2.265208557371326,0.0624746260931066,16
2200,60,8598,308,84,17.087229588276344,3929.2505233775296,335.9694616538375,135.14305652477321,37.94678329285074,31.020910596844466,8.50623082519118,29.078609149323935,2.255622972838801,0.06251504646927497,-85
1500,30,8706,200,0,17.262577532736046,3880.5072363886975,345.77513984407284,133.41144038594072,33.82538229108646,30.961148670593285,8.960721773619811,29.089823721294763,2.265208557371326,0.06290008940441247,23
1500,0,8706,200,0,17.262577532736046,3880.5072363886975,345.77513984407284,133.41144038594072,33.82538229108646,30.961148670593285,8.960721773619811,29.089823721294763,2.265208557371326,0.06290008940441247,23
1900,30,8641,265,0,17.154843189445668,3909.697488716584,329.9156319683448,134.4149982640898,36.245452805836386,31.042092859288868,8.896880132765947,29.089823721294763,2.265208557371326,0.06291947413854633,-42
