sample,code,sec_name,listing_year,missing_control_count,missing_controls
full_2019_2023_current_master,688368,晶丰明源,2019.0,1,Underwriter_ipo
full_2019_2023_current_master,688185,康希诺,2020.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688520,神州细胞,2020.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688192,迪哲医药,2021.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688211,中科微至,2021.0,1,NumIndSeg
full_2019_2023_current_master,688285,高铁电气,2021.0,1,NumIndSeg
full_2019_2023_current_master,688315,诺禾致源,2021.0,1,RD_Staff_ipo
full_2019_2023_current_master,688509,正元地信,2021.0,1,NumIndSeg
full_2019_2023_current_master,688048,长光华芯,2022.0,1,NumIndSeg
full_2019_2023_current_master,688062,迈威生物,2022.0,1,NumProdSeg
full_2019_2023_current_master,688137,近岸蛋白,2022.0,1,NumIndSeg
full_2019_2023_current_master,688291,金橙子,2022.0,1,Underwriter_ipo
full_2019_2023_current_master,688302,海创药业,2022.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688382,益方生物,2022.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688455,科捷智能,2022.0,1,NumIndSeg
full_2019_2023_current_master,688343,云天励飞,2023.0,1,NumProdSeg
full_2019_2023_current_master,688443,智翔金泰,2023.0,2,"NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688688,蚂蚁集团,,9,"Size_ipo_pre,Lev_ipo_pre,ROA_ipo_pre,Offerfee,Underwriter_ipo,Age,ScopeLen,NumIndSeg,NumProdSeg"
full_2019_2023_current_master,688717,艾罗能源,,7,"Size_ipo_pre,Lev_ipo_pre,ROA_ipo_pre,Underwriter_ipo,Age,NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688368,晶丰明源,2019.0,1,Underwriter_ipo
w2_2019_2022_current_master,688185,康希诺,2020.0,2,"NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688520,神州细胞,2020.0,2,"NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688192,迪哲医药,2021.0,2,"NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688211,中科微至,2021.0,1,NumIndSeg
w2_2019_2022_current_master,688285,高铁电气,2021.0,1,NumIndSeg
w2_2019_2022_current_master,688315,诺禾致源,2021.0,1,RD_Staff_ipo
w2_2019_2022_current_master,688509,正元地信,2021.0,1,NumIndSeg
w2_2019_2022_current_master,688048,长光华芯,2022.0,1,NumIndSeg
w2_2019_2022_current_master,688062,迈威生物,2022.0,1,NumProdSeg
w2_2019_2022_current_master,688137,近岸蛋白,2022.0,1,NumIndSeg
w2_2019_2022_current_master,688291,金橙子,2022.0,1,Underwriter_ipo
w2_2019_2022_current_master,688302,海创药业,2022.0,2,"NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688382,益方生物,2022.0,2,"NumIndSeg,NumProdSeg"
w2_2019_2022_current_master,688455,科捷智能,2022.0,1,NumIndSeg
