custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,Redundancy_chunk_proxy_w99,Redundancy_chunk_glm4_w99,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,source_glm_batch,source_dir,source_shard
688099_1206491566_glm4_dewrap_join_chunk_0001,688099,晶晨股份,1206491566,1,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6993,6444,3998,3998,10,3998,333,333,167,62,62,0,0,12,15,20,12,3,15,0.2419354838709677,6,-9,2.661290322580645,,185,167,185,23.940119760479043,21.61081081081081,23.940119760479043,21.61081081081081,164,108,41.02051025512756,27.01350675337669,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0002,688099,晶晨股份,1206491566,2,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7028,6675,3985,3985,10,3985,280,280,140,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,6,-1,1.5806451612903225,,165,140,165,28.464285714285715,24.151515151515152,28.464285714285715,24.151515151515152,158,106,39.6486825595985,26.599749058971145,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0003,688099,晶晨股份,1206491566,3,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7249,6621,3916,3916,10,3916,142,142,71,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,5,-2,1.5806451612903225,,83,71,83,55.15492957746479,47.18072289156626,55.15492957746479,47.18072289156626,109,42,27.834525025536266,10.725229826353422,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0004,688099,晶晨股份,1206491566,4,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7049,6583,3999,3999,10,3999,238,240,119,54,54,0,12,15,10,8,6,3,9,0.1666666666666666,6,-3,1.8148148148148149,,142,119,142,33.60504201680672,28.161971830985916,33.60504201680672,28.161971830985916,136,51,34.00850212553138,12.753188297074267,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0005,688099,晶晨股份,1206491566,5,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7244,6605,3999,3999,10,3999,234,234,117,62,62,0,12,20,15,8,5,2,7,0.1129032258064516,5,-2,1.6774193548387095,,129,117,129,34.17948717948718,31.0,34.17948717948718,31.0,131,36,32.75818954738684,9.00225056264066,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0006,688099,晶晨股份,1206491566,6,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7291,6722,3977,3977,10,3977,240,240,120,68,68,0,12,28,15,8,4,1,5,0.0735294117647058,5,0,1.5147058823529411,,134,120,134,33.141666666666666,29.67910447761194,33.141666666666666,29.67910447761194,106,37,26.653256223283883,9.303495096806635,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0007,688099,晶晨股份,1206491566,7,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6865,6355,3992,3992,10,3992,255,255,128,62,62,0,15,18,12,10,5,2,7,0.1129032258064516,6,-1,1.6451612903225807,,145,128,145,31.1875,27.53103448275862,31.1875,27.53103448275862,149,96,37.324649298597194,24.04809619238477,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0008,688099,晶晨股份,1206491566,8,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6976,6356,3988,3988,10,3988,227,227,114,62,62,0,24,10,8,9,7,4,11,0.1774193548387097,5,-6,1.6290322580645162,,132,114,132,34.98245614035088,30.21212121212121,34.98245614035088,30.21212121212121,194,89,48.64593781344032,22.31695085255767,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0009,688099,晶晨股份,1206491566,9,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6642,5831,3981,3981,10,3981,193,193,97,62,62,0,12,15,10,12,9,4,13,0.2096774193548387,6,-7,2.0483870967741935,,100,97,100,41.04123711340206,39.81,41.04123711340206,39.81,215,88,54.00653102235619,22.10499874403416,glm200,,
688099_1206491566_glm4_dewrap_join_chunk_0010,688099,晶晨股份,1206491566,10,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,3729,3581,1995,1995,10,1995,198,199,99,35,35,0,10,8,7,4,4,2,6,0.1714285714285714,6,0,1.7142857142857142,,109,99,109,20.151515151515152,18.30275229357798,20.151515151515152,18.30275229357798,188,77,94.23558897243107,38.59649122807018,glm200,,
