custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy
688099_1206491566_glm4_dewrap_join_chunk_0001,688099,晶晨股份,1206491566,1,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6993,6444,3998,3998,10,3998
688099_1206491566_glm4_dewrap_join_chunk_0002,688099,晶晨股份,1206491566,2,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7028,6675,3985,3985,10,3985
688099_1206491566_glm4_dewrap_join_chunk_0003,688099,晶晨股份,1206491566,3,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7249,6621,3916,3916,10,3916
688099_1206491566_glm4_dewrap_join_chunk_0004,688099,晶晨股份,1206491566,4,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7049,6583,3999,3999,10,3999
688099_1206491566_glm4_dewrap_join_chunk_0005,688099,晶晨股份,1206491566,5,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7244,6605,3999,3999,10,3999
688099_1206491566_glm4_dewrap_join_chunk_0006,688099,晶晨股份,1206491566,6,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7291,6722,3977,3977,10,3977
688099_1206491566_glm4_dewrap_join_chunk_0007,688099,晶晨股份,1206491566,7,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6865,6355,3992,3992,10,3992
688099_1206491566_glm4_dewrap_join_chunk_0008,688099,晶晨股份,1206491566,8,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6976,6356,3988,3988,10,3988
688099_1206491566_glm4_dewrap_join_chunk_0009,688099,晶晨股份,1206491566,9,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6642,5831,3981,3981,10,3981
688099_1206491566_glm4_dewrap_join_chunk_0010,688099,晶晨股份,1206491566,10,10,results/glm4_dewrap_join_pilot50_20260705/chunks/688099_1206491566_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,3729,3581,1995,1995,10,1995
688036_1206947132_glm4_dewrap_join_chunk_0001,688036,传音控股,1206947132,1,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7360,6897,3988,3988,24,3988
688036_1206947132_glm4_dewrap_join_chunk_0002,688036,传音控股,1206947132,2,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7125,6479,3985,3985,24,3985
688036_1206947132_glm4_dewrap_join_chunk_0003,688036,传音控股,1206947132,3,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6144,5529,3553,3553,24,3553
688036_1206947132_glm4_dewrap_join_chunk_0004,688036,传音控股,1206947132,4,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6756,6195,3970,3970,24,3970
688036_1206947132_glm4_dewrap_join_chunk_0005,688036,传音控股,1206947132,5,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7170,6756,3974,3974,24,3974
