sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,pdf_url,download_status,pdf_file,txt_file,section_status,section_file,section_start_char,section_end_char,full_text_chars,tech_text_chars,tech_text_compact_chars,chunk_count,source_run_name,section_extraction_method,ocr_pdf_start_page,ocr_pdf_end_page,ocr_dpi,source_chunk_count,token_mode,max_units,tech_text_token_proxy,chunk_count_token_proxy,source_section_file,normalization_mode,tokenizer,max_tokens,tech_text_glm4_tokens,lnN_tech_glm4,year
688099,晶晨股份,1206491566,首次公开发行股票并在科创板上市招股说明书,2019-08-02,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-08-02/1206491566.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-08-02_688099_晶晨股份_1206491566_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-08-02_688099_晶晨股份_1206491566_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688099_1206491566_business_technology.txt,104466.0,177115.0,791516,67076,61773,10,star_token_proxy_150_20260630,,,,,9.0,glm4_dewrap_join,4000,37833,9,results/star_token_proxy_250_late50_20260702/business_technology_text/688099_1206491566_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,37833,10.540937016623984,2019
688098,申联生物,1206999088,首次公开发行股票并在科创板上市招股说明书,2019-10-22,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-10-22/1206999088.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-10-22_688098_申联生物_1206999088_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-10-22_688098_申联生物_1206999088_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688098_1206999088_business_technology.txt,72558.0,166758.0,569034,85437,78452,14,star_token_proxy_150_20260630,,,,,11.0,glm4_dewrap_join,4000,52829,11,results/star_token_proxy_250_late50_20260702/business_technology_text/688098_1206999088_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,52829,10.87481556134018,2019
688118,普元信息,1207119380,首次公开发行股票并在科创板上市招股说明书,2019-11-28,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-11-28/1207119380.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-11-28_688118_普元信息_1207119380_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-11-28_688118_普元信息_1207119380_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688118_1207119380_business_technology.txt,69060.0,180616.0,618003,101502,93186,16,star_token_proxy_150_20260630,,,,,13.0,glm4_dewrap_join,4000,59081,13,results/star_token_proxy_250_late50_20260702/business_technology_text/688118_1207119380_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,59081,10.98666466270383,2019
688218,江苏北人,1207130600,首次公开发行股票并在科创板上市招股说明书,2019-12-03,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-12-03/1207130600.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-12-03_688218_江苏北人_1207130600_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-12-03_688218_江苏北人_1207130600_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688218_1207130600_business_technology.txt,91219.0,214726.0,703236,112964,104991,17,star_token_proxy_150_20260630,,,,,14.0,glm4_dewrap_join,4000,65851,14,results/star_token_proxy_250_late50_20260702/business_technology_text/688218_1207130600_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,65851,11.095149893084974,2019
688081,兴图新科,1207204317,首次公开发行股票并在科创板上市招股说明书,2019-12-30,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-12-30/1207204317.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-12-30_688081_兴图新科_1207204317_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-12-30_688081_兴图新科_1207204317_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688081_1207204317_business_technology.txt,86330.0,217537.0,781024,120167,112369,18,star_token_proxy_150_20260630,,,,,15.0,glm4_dewrap_join,4000,70893,15,results/star_token_proxy_250_late50_20260702/business_technology_text/688081_1207204317_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,70893,11.168926977039543,2019
688123,聚辰股份,1207173489,首次公开发行股票并在科创板上市招股说明书,2019-12-18,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-12-18/1207173489.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-12-18_688123_聚辰股份_1207173489_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-12-18_688123_聚辰股份_1207173489_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688123_1207173489_business_technology.txt,128009.0,268834.0,927192,127572,118010,19,star_token_proxy_150_20260630,,,,,16.0,glm4_dewrap_join,4000,72696,16,results/star_token_proxy_250_late50_20260702/business_technology_text/688123_1207173489_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,72696,11.194041641375184,2019
688288,鸿泉物联,1207048263,首次公开发行股票并在科创板上市招股说明书,2019-10-31,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-10-31/1207048263.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-10-31_688288_鸿泉物联_1207048263_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-10-31_688288_鸿泉物联_1207048263_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688288_1207048263_business_technology.txt,111805.0,250847.0,709531,124979,113364,20,star_token_proxy_150_20260630,,,,,16.0,glm4_dewrap_join,4000,75723,16,results/star_token_proxy_250_late50_20260702/business_technology_text/688288_1207048263_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,75723,11.234837224189768,2019
688078,龙软科技,1207188266,首次公开发行股票并在科创板上市招股说明书,2019-12-24,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-12-24/1207188266.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-12-24_688078_龙软科技_1207188266_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-12-24_688078_龙软科技_1207188266_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688078_1207188266_business_technology.txt,84874.0,245247.0,943922,146377,133682,22,star_token_proxy_150_20260630,,,,,18.0,glm4_dewrap_join,4000,84644,18,results/star_token_proxy_250_late50_20260702/business_technology_text/688078_1207188266_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,84644,11.34620950495466,2019
688036,传音控股,1206947132,首次公开发行股票并在科创板上市招股说明书,2019-09-25,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-09-25/1206947132.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-09-25_688036_传音控股_1206947132_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-09-25_688036_传音控股_1206947132_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688036_1206947132_business_technology.txt,176880.0,345932.0,1092609,155300,141747,24,star_token_proxy_150_20260630,,,,,19.0,glm4_dewrap_join,4000,89692,19,results/star_token_proxy_250_late50_20260702/business_technology_text/688036_1206947132_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,89692,11.40413685789342,2019
688128,中国电器,1207049162,首次公开发行股票并在科创板上市招股说明书,2019-10-31,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-10-31/1207049162.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-10-31_688128_中国电器_1207049162_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-10-31_688128_中国电器_1207049162_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_pilot50_20260705/business_technology_text/688128_1207049162_business_technology.txt,123194.0,367428.0,1169698,217755,202878,34,star_token_proxy_150_20260630,,,,,28.0,glm4_dewrap_join,4000,129860,28,results/star_token_proxy_250_late50_20260702/business_technology_text/688128_1207049162_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,129860,11.774212226062478,2019
