sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688099,晶晨股份,1206491566,首次公开发行股票并在科创板上市招股说明书,2019-08-02,final_prospectus,ok,61773,10,10,10,61773,2340,37830,1172,591,56,87,0.14922698111502666,-3.1,1.7866387056614759,127,166,116,95,62,25,True,token_proxy,32.27815699658703,32.27815699658703
688098,申联生物,1206999088,首次公开发行股票并在科创板上市招股说明书,2019-10-22,final_prospectus,ok,78452,14,14,14,78452,3369,52823,1689,765,76,209,0.2827928962145552,-9.5,2.099637483825272,185,165,99,107,167,42,True,token_proxy,31.274718768502073,31.274718768502073
688118,普元信息,1207119380,首次公开发行股票并在科创板上市招股说明书,2019-11-28,final_prospectus,ok,93186,16,16,16,93186,4248,59073,2129,873,77,318,0.35893463775088197,-15.0625,2.3225089482649968,139,190,130,96,281,37,True,token_proxy,27.746829497416627,27.746829497416627
688218,江苏北人,1207130600,首次公开发行股票并在科创板上市招股说明书,2019-12-03,final_prospectus,ok,104991,17,17,17,104991,4276,65846,2143,1009,96,213,0.2055832044407256,-6.882352941176471,2.12100670246215,186,205,156,249,168,45,True,token_proxy,30.72608492767149,30.72608492767149
688081,兴图新科,1207204317,首次公开发行股票并在科创板上市招股说明书,2019-12-30,final_prospectus,ok,112369,18,18,18,112369,4484,70886,2246,932,100,185,0.2501868422544952,-4.722222222222222,2.0738484146656444,174,249,166,158,136,49,True,token_proxy,31.56099732858415,31.56099732858415
688123,聚辰股份,1207173489,首次公开发行股票并在科创板上市招股说明书,2019-12-18,final_prospectus,ok,118010,19,19,19,118010,5454,72690,2732,975,105,196,0.246646998690303,-4.7894736842105265,1.9892471420357951,207,271,165,136,135,61,True,token_proxy,26.60688140556369,26.60688140556369
688288,鸿泉物联,1207048263,首次公开发行股票并在科创板上市招股说明书,2019-10-31,final_prospectus,ok,113364,20,20,20,113364,4817,75718,2411,1054,100,215,0.23207419304392132,-5.75,1.9583056983096712,216,295,184,144,162,53,True,token_proxy,31.405226047283286,31.405226047283286
688078,龙软科技,1207188266,首次公开发行股票并在科创板上市招股说明书,2019-12-24,final_prospectus,ok,133682,22,22,22,133682,6230,84630,3122,1238,116,328,0.2813872860461422,-9.636363636363637,2.197006629325792,242,287,199,182,268,60,True,token_proxy,27.10762331838565,27.10762331838565
688036,传音控股,1206947132,首次公开发行股票并在科创板上市招股说明书,2019-09-25,final_prospectus,ok,141747,24,24,24,141747,5893,89683,2953,1205,119,346,0.3276465566812149,-9.458333333333334,2.3328998856792635,267,219,154,219,246,100,True,token_proxy,30.37013206908229,30.37013206908229
688128,中国电器,1207049162,首次公开发行股票并在科创板上市招股说明书,2019-10-31,final_prospectus,ok,202878,34,34,34,202878,9035,129845,4525,2050,161,446,0.22862935390759187,-8.382352941176471,1.9830452917468973,409,440,298,220,372,74,True,token_proxy,28.695027624309393,28.695027624309393
