label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model
688036_chunks_0001_0001,5053,213,5266,stop,THUDM/GLM-4-32B-0414
688036_chunks_0002_0002,5051,195,5246,stop,THUDM/GLM-4-32B-0414
688036_chunks_0003_0003,4618,227,4845,stop,THUDM/GLM-4-32B-0414
688036_chunks_0004_0004,5035,244,5279,stop,THUDM/GLM-4-32B-0414
688036_chunks_0005_0005,5039,275,5314,stop,THUDM/GLM-4-32B-0414
688036_chunks_0006_0006,5060,258,5318,stop,THUDM/GLM-4-32B-0414
688036_chunks_0007_0007,5061,197,5258,stop,THUDM/GLM-4-32B-0414
688036_chunks_0008_0008,5061,178,5239,stop,THUDM/GLM-4-32B-0414
688036_chunks_0009_0009,4929,262,5191,stop,THUDM/GLM-4-32B-0414
688036_chunks_0010_0010,5029,208,5237,stop,THUDM/GLM-4-32B-0414
688036_chunks_0011_0011,4904,196,5100,stop,THUDM/GLM-4-32B-0414
688036_chunks_0012_0012,5058,227,5285,stop,THUDM/GLM-4-32B-0414
688036_chunks_0013_0013,5050,189,5239,stop,THUDM/GLM-4-32B-0414
688036_chunks_0014_0014,4643,214,4857,stop,THUDM/GLM-4-32B-0414
688036_chunks_0015_0015,4873,190,5063,stop,THUDM/GLM-4-32B-0414
688036_chunks_0016_0016,4578,160,4738,stop,THUDM/GLM-4-32B-0414
688036_chunks_0017_0017,4197,169,4366,stop,THUDM/GLM-4-32B-0414
688036_chunks_0018_0018,4978,155,5133,stop,THUDM/GLM-4-32B-0414
688036_chunks_0019_0019,4933,201,5134,stop,THUDM/GLM-4-32B-0414
688036_chunks_0020_0020,4918,275,5193,stop,THUDM/GLM-4-32B-0414
688036_chunks_0021_0021,5038,258,5296,stop,THUDM/GLM-4-32B-0414
688036_chunks_0022_0022,4956,282,5238,stop,THUDM/GLM-4-32B-0414
688036_chunks_0023_0023,5040,248,5288,stop,THUDM/GLM-4-32B-0414
688036_chunks_0024_0024,2150,296,2446,stop,THUDM/GLM-4-32B-0414
688038_chunks_0001_0001,5021,208,5229,stop,THUDM/GLM-4-32B-0414
688038_chunks_0002_0002,5041,228,5269,stop,THUDM/GLM-4-32B-0414
688038_chunks_0003_0003,5057,223,5280,stop,THUDM/GLM-4-32B-0414
688038_chunks_0004_0004,4967,226,5193,stop,THUDM/GLM-4-32B-0414
688038_chunks_0005_0005,5053,221,5274,stop,THUDM/GLM-4-32B-0414
688038_chunks_0006_0006,4954,241,5195,stop,THUDM/GLM-4-32B-0414
688038_chunks_0007_0007,5006,216,5222,stop,THUDM/GLM-4-32B-0414
