custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,source_shard,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target
688559_1208358657_glm4_dewrap_join_chunk_0001,688559,海目星,1208358657,1,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6666,6291,3982,3982,18,3982,glm4_dewrap_join_full543_20260705,282,282,公司是激光及自动化综合解决方案提供商，主要从事消费类电子、动力电池、钣金加工等行业的激光及自动化设备研发、设计、生产及销售。公司专注于激光光学及其控制技术，以及与激光系统相配套的自动化技术，开发标准化和定制化的自动化成套解决方案。公司客户包括苹果、华为、富士康等行业龙头或知名企业。公司主要产品包括动力电池激光及自动化设备、通用激光及自动化设备、显示及脆性材料精密激光及自动化设备。报告期内，公司主营业务收入主要来源于通用激光及自动化设备、动力电池激光及自动化设备和显示及脆性材料精密激光及自动化设备。公司采用直销模式，销售产品包括标准化设备和非标准化设备或产线。,141,62,62,0,5,15,20,12,8,2,10,0.1612903225806451,5,-5,2.1451612903225805,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,154,141,154,28.24113475177305,25.857142857142858,109,69,27.373179306880967,17.327975891511805
688559_1208358657_glm4_dewrap_join_chunk_0002,688559,海目星,1208358657,2,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6891,6295,3996,3996,18,3996,glm4_dewrap_join_full543_20260705,279,279,公司根据客户规模采用不同收款模式，小客户以预付款为主，大客户可给予较高发货后付款比例。公司产品包括通用激光打标机、3C通用激光及自动化产线、显示及脆性材料精密激光及自动化设备，均采用预付款、发货款、验收款及质保金等阶段付款模式。公司部分客户通过融资租赁方式购买设备，主要涉及规模较小的钣金加工企业。公司主要产品为激光及自动化设备，部分激光器由公司自产，生产流程包括立项、采购、检测、装配、测试、老化等环节。公司生产过程产生的污染物主要为污水、噪声及固体废弃物，已采取相应处理措施。公司所属行业为制造业—专用设备制造业，属于高端装备制造产业—智能制造装备产业。,140,60,60,0,15,20,10,8,5,2,7,0.1166666666666666,6,-1,1.5666666666666669,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,167,140,167,28.542857142857144,23.92814371257485,111,62,27.777777777777775,15.515515515515517
688559_1208358657_glm4_dewrap_join_chunk_0003,688559,海目星,1208358657,3,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7139,6813,3960,3960,18,3960,glm4_dewrap_join_full543_20260705,285,285,全球激光器应用市场中，材料加工与光存储领域占比最大，分别达45%和28%。激光技术主要应用于激光打标、切割和焊接，具有非接触加工、环保高效等优势。激光器按增益介质可分为气体、液体和固体激光器，按工作方式分为连续和脉冲激光器。全球激光器市场规模持续增长，2013-2019年从89.7亿美元增至146亿美元，年均复合增速8.46%。我国激光设备市场2018年销售额达605亿元，同比增长22.22%，年均复合增速23.51%。公司在消费电子、动力电池及钣金行业收入分别为2.49亿元、2.58亿元和2.22亿元，开发了精密线路板激光切割设备、全面屏全自动激光切割机等产品。,143,54,54,0,15,20,10,5,3,1,4,0.074074074074074,6,2,1.3333333333333333,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,166,143,166,27.692307692307693,23.85542168674699,129,56,32.57575757575758,14.141414141414142
688559_1208358657_glm4_dewrap_join_chunk_0004,688559,海目星,1208358657,4,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7118,6730,3970,3970,18,3970,glm4_dewrap_join_full543_20260705,227,227,公司开发高速激光制片机、电芯装配线等设备用于动力电池加工，开发钣材激光切割机等设备用于钣金行业。公司为下游多行业客户提供标准化和定制化产品服务。激光加工设备在电子芯片制造、金属精密加工等行业广泛应用，提高了产品质量和生产效率。锂动力电池行业是公司重要应用领域，随着新能源汽车发展，动力电池需求快速增长，带动激光装备市场增长。消费电子行业竞争激烈，新产品不断推出，带动激光加工设备需求。钣金加工行业在汽车、轨道交通等领域应用广泛，激光加工设备需求持续增长。,114,62,62,0,15,20,10,8,7,2,9,0.1451612903225806,6,-3,1.6451612903225807,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,126,114,126,34.824561403508774,31.50793650793651,82,48,20.65491183879093,12.090680100755668
688559_1208358657_glm4_dewrap_join_chunk_0005,688559,海目星,1208358657,5,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6606,6265,3895,3895,18,3895,glm4_dewrap_join_full543_20260705,227,227,公司以激光及自动化技术为核心，在激光、自动化和智能化综合运用领域积累了丰富的专利技术和客户资源。公司作为国内重要的动力电池设备供应商，客户包括宁德时代、特斯拉等主流企业；在消费电子领域，下游覆盖客户包括Apple、华为等。公司自主研发的激光器在多个指标上达到或优于同类产品，达到行业先进水平。公司具备将激光同自动化相结合的工艺技术，并自主研发了多项激光控制及工艺应用技术。公司2019年营业收入为10.31亿元，毛利率为36.25%，市场占有率稳步提升。,114,42,42,0,0,5,10,12,10,5,15,0.3571428571428571,6,-9,3.0,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,121,114,121,34.166666666666664,32.1900826446281,115,24,29.525032092426187,6.161745827984595
688559_1208358657_glm4_dewrap_join_chunk_0006,688559,海目星,1208358657,6,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7076,6718,3967,3967,18,3967,glm4_dewrap_join_full543_20260705,245,245,"公司拥有激光、自动化、智能化综合技术优势，产品包括中小功率设备、数控激光切割机等，型号达600多种。公司2019年研发投入104,714.14万元，占营业收入10.95%，研发人员4,531人。公司已获得专利3,939项，包括发明专利934项。公司下游覆盖Apple、华为、特斯拉、宁德时代等优质客户，并设有100多个办事处形成销售网络。公司核心技术包括自动卷绕、高速分切、叠片等技术，累计获得专利817项。公司具备锂电行业领先的产品线布局及业务规模，首家提出锂电池智能生产线整线解决方案。",123,62,62,0,0,15,18,12,12,5,17,0.2741935483870967,6,-11,2.5806451612903225,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,140,123,140,32.2520325203252,28.335714285714285,220,86,55.45752457776657,21.678850516763298
688559_1208358657_glm4_dewrap_join_chunk_0007,688559,海目星,1208358657,7,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6319,5832,3950,3950,18,3950,glm4_dewrap_join_full543_20260705,295,295,"公司激光打标机产销率2017年下降，2018年后通过优化生产模式提高产销率。钣金激光切割机2019年因备货策略产销率下降。公司非标产品因定制化生产，产销率均为100%。2019年公司激光打标机、钣金激光切割机、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备收入占比分别为54.45%、35.16%、10.38%。公司2019年前五大客户合计贡献收入占比45.66%，其中中国航空规划设计研究总院有限公司、华之欧（深圳）科技有限公司、东莞胜美达（太平）电机有限公司、宁德时代新能源科技股份有限公司、蜂巢能源科技有限公司为主要客户。公司2019年取得苹果公司订单1,545万美元。",148,62,62,0,12,18,15,10,5,2,7,0.1129032258064516,6,-1,1.7419354838709675,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,169,148,169,26.68918918918919,23.37278106508876,51,20,12.91139240506329,5.063291139240507
688559_1208358657_glm4_dewrap_join_chunk_0008,688559,海目星,1208358657,8,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6283,5804,3892,3892,18,3892,glm4_dewrap_join_full543_20260705,349,349,"公司是激光及自动化综合解决方案提供商，主要从事3C消费电子、锂电池等激光及自动化设备的研发、设计、生产及销售。报告期内，公司前五大客户均系3C消费电子或锂电池行业，公司多年深耕上述行业，开发了多款竞争力产品，并与龙头客户建立稳定合作关系。截至2020年3月31日，公司在手订单金额合计112,829.73万元，其中动力电池类设备在手订单75,350.35万元，3C消费电子类设备在手订单30,148.36万元。报告期内，公司境内收入占比分别为93.62%、89.17%、92.58%，境外收入占比分别为6.38%、10.83%、7.42%。公司采购的主要原材料中，激光光学类、机加钣金类及设备仪器类金额占比较高，报告期内三者合计采购金额占采购总额比例分别为67.37%、67.18%及64.83%。",175,54,54,0,10,12,8,14,6,4,10,0.1851851851851851,5,-5,2.111111111111111,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,200,175,200,22.24,19.46,61,12,15.67317574511819,3.083247687564234
688559_1208358657_glm4_dewrap_join_chunk_0009,688559,海目星,1208358657,9,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6338,5787,3978,3978,18,3978,glm4_dewrap_join_full543_20260705,211,211,"公司主营各类激光及自动化设备，采购的主要原材料包括激光器、外购整机、机器人等，种类较多且型号各异。报告期内，公司前五大供应商采购金额占当期采购总额比例分别为24.58%、25.39%和29.04%。公司固定资产账面原值为16,810.07万元，其中机械设备占比最大，成新率为89.39%。主要生产设备包括精密金属机械加工机、数控平面磨床等，部分设备成新率较高。公司自有房产主要用于工业生产，同时租赁部分房产用于办公和研发。",106,62,62,0,15,20,12,8,5,2,7,0.1129032258064516,5,-2,1.5806451612903225,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,122,106,122,37.528301886792455,32.60655737704918,33,15,8.295625942684767,3.770739064856712
688559_1208358657_glm4_dewrap_join_chunk_0010,688559,海目星,1208358657,10,18,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688559_1208358657_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5471,4877,3462,3462,18,3462,glm4_dewrap_join_full543_20260705,163,163,公司主要租赁厂房未取得权属证明，包括深圳海目星位于龙华区的厂房、江门海目星原厂房及鞍山激光产业园厂房，但相关政府部门出具证明，确认这些厂房不在拆迁范围内。公司拥有4项境内商标和2项境外商标，以及261项国内专利，包括33项发明专利。公司实际控制人已承诺承担因租赁物业瑕疵导致的搬迁费用及其他费用，确保公司生产经营不受重大影响。,82,49,49,0,12,10,8,9,7,3,10,0.2040816326530612,5,-5,1.9591836734693877,,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708,95,82,95,42.21951219512195,36.44210526315789,67,30,19.352975158867704,8.665511265164644
