ts,label,sec_code,chunks,prompt_chars,items_returned,prompt_tokens,completion_tokens,total_tokens,model,source_shard
2026-07-08T14:21:29,688559_chunks_0018_0018,688559,1,5475,1,3191,167,3358,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:23:39,688551_chunks_0016_0016,688551,1,8302,1,4776,230,5006,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:25:45,688577_chunks_0016_0016,688577,1,4235,1,2408,229,2637,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:27:36,688127_chunks_0014_0014,688127,1,5730,1,3154,257,3411,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:28:55,688536_chunks_0010_0010,688536,1,2209,1,1248,119,1367,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:31:13,688156_chunks_0017_0017,688156,1,4911,1,2902,200,3102,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:34:26,688526_chunks_0024_0024,688526,1,3144,1,1847,258,2105,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:36:58,688013_chunks_0018_0018,688013,1,3735,1,1997,187,2184,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:40:59,688585_chunks_0020_0020,688585,1,2337,1,1353,143,1496,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:44:22,688093_chunks_0017_0017,688093,1,3754,1,2061,229,2290,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:46:45,688330_chunks_0018_0018,688330,1,6470,1,3706,230,3936,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:48:51,688386_chunks_0016_0016,688386,1,2189,1,1234,197,1431,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:51:15,688788_chunks_0017_0017,688788,1,3994,1,2206,196,2402,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:53:16,688129_chunks_0015_0015,688129,1,2367,1,1332,185,1517,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:55:55,688179_chunks_0020_0020,688179,1,3558,1,1922,215,2137,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T14:58:25,688529_chunks_0019_0019,688529,1,5169,1,2862,209,3071,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T15:02:13,688057_chunks_0028_0028,688057,1,7356,1,4561,204,4765,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T15:03:56,688135_chunks_0013_0013,688135,1,4257,1,2306,223,2529,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T15:05:31,688160_chunks_0012_0012,688160,1,5834,1,3342,221,3563,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T15:07:22,688219_chunks_0013_0013,688219,1,8536,1,5000,249,5249,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard1_20260708
2026-07-08T15:51:04,688510_chunks_0015_0015,688510,1,2061,1,1163,80,1243,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard2_20260708
2026-07-08T15:52:11,688317_chunks_0026_0026,688317,1,8959,1,4969,211,5180,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T15:53:40,688819_chunks_0011_0011,688819,1,7365,1,4469,204,4673,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T15:55:12,688680_chunks_0012_0012,688680,1,7964,1,4675,194,4869,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T15:57:18,688669_chunks_0016_0016,688669,1,4959,1,2981,214,3195,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T15:59:39,688689_chunks_0018_0018,688689,1,6696,1,3857,271,4128,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:02:21,688350_chunks_0017_0017,688350,1,7357,1,4305,244,4549,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:04:22,688607_chunks_0015_0015,688607,1,4177,1,2286,220,2506,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:08:09,688628_chunks_0027_0027,688628,1,4101,1,2410,249,2659,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:09:41,688059_chunks_0011_0011,688059,1,7481,1,4450,214,4664,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:12:23,688687_chunks_0020_0020,688687,1,3394,1,1866,165,2031,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:15:06,688665_chunks_0020_0020,688665,1,5665,1,3202,189,3391,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:18:20,688619_chunks_0023_0023,688619,1,2776,1,1561,201,1762,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
2026-07-08T16:21:30,688183_chunks_0024_0024,688183,1,2020,1,1149,88,1237,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_after200_shard3_20260708
