sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688559,海目星,1208358657,首次公开发行股票并在科创板上市招股说明书,2020-09-01,final_prospectus,ok,102803,18,18,18,102803,4329,68180,2171,1344,87,732,0.40413413075305793,-35.833333333333336,2.5184161239167113,131,202,156,123,695,37,True,token_proxy,31.404882542607094,31.404882542607094
688551,科威尔,1208379307,首次公开发行股票并在科创板上市招股说明书,2020-09-03,final_prospectus,ok,101453,16,16,16,101453,4195,63258,2103,895,88,181,0.27300864921137447,-5.8125,2.1285628131274863,183,240,157,134,136,45,True,token_proxy,30.079885877318116,30.079885877318116
688577,浙海德曼,1208419956,首次公开发行股票并在科创板上市招股说明书,2020-09-10,final_prospectus,ok,93871,16,16,16,93871,3847,60667,1926,833,88,179,0.27348350188311255,-5.6875,2.0844137335002464,196,197,138,123,144,35,True,token_proxy,31.49896157840083,31.49896157840083
688127,蓝特光学,1208445117,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,84148,14,14,14,84148,3425,53417,1716,795,81,148,0.18808558493227964,-4.785714285714286,1.9083863495342521,163,211,142,131,111,37,True,token_proxy,31.12878787878788,31.12878787878788
688536,思瑞浦,1208436947,首次公开发行股票并在科创板上市招股说明书,2020-09-15,final_prospectus,ok,57098,10,10,10,57098,2428,35871,1216,512,54,97,0.23646034371840824,-4.3,1.9457780660200015,126,138,82,69,68,29,True,token_proxy,29.49917763157895,29.49917763157895
688156,路德环境,1208445081,首次公开发行股票并在科创板上市招股说明书,2020-09-16,final_prospectus,ok,97573,17,17,17,97573,4325,64978,2167,871,94,222,0.3398662874166221,-7.529411764705882,2.383607605302029,175,192,150,132,152,70,True,token_proxy,29.985233041070604,29.985233041070604
688526,科前生物,1208450303,首次公开发行股票并在科创板上市招股说明书,2020-09-17,final_prospectus,ok,132364,24,24,24,132364,5634,91267,2822,1406,120,287,0.2414844094164156,-6.958333333333333,2.1492221120414707,224,331,208,207,224,63,True,token_proxy,32.34124734231042,32.34124734231042
688013,天臣医疗,1208474196,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,109385,18,18,18,109385,4390,66732,2201,1263,81,600,0.3097626530846769,-28.833333333333332,2.0858843108012937,198,233,134,98,576,24,True,token_proxy,30.318945933666516,30.318945933666516
688585,上纬新材,1208474233,首次公开发行股票并在科创板上市招股说明书,2020-09-23,final_prospectus,ok,115869,20,20,20,115869,5290,75201,2649,1129,100,239,0.18094356957443655,-6.95,1.7913320240328972,212,318,206,154,201,38,True,token_proxy,28.388448471121176,28.388448471121176
688093,世华科技,1208486409,首次公开发行股票并在科创板上市招股说明书,2020-09-24,final_prospectus,ok,104852,17,17,17,104852,4085,63993,2046,893,92,202,0.2494348557336364,-6.470588235294118,2.080881055764548,145,241,165,140,164,38,True,token_proxy,31.277126099706745,31.277126099706745
688330,宏力达,1208514506,首次公开发行股票并在科创板上市招股说明书,2020-09-30,final_prospectus,ok,104676,18,18,18,104676,4151,69208,2082,1039,91,242,0.22429540468974263,-8.38888888888889,1.955546143647438,205,258,188,146,206,36,True,token_proxy,33.24111431316042,33.24111431316042
