custom_id,sec_code,sec_name,chunk_index,summary_token_proxy,relevant_score,summary_text,old_summary_token_proxy,old_relevant_score,old_summary_text,summary_token_proxy_delta,relevant_score_delta
688559_1208358657_glm4_dewrap_join_chunk_0001,688559,海目星,1,141,2.1451612903225805,公司是激光及自动化综合解决方案提供商，主要从事消费类电子、动力电池、钣金加工等行业的激光及自动化设备研发、设计、生产及销售。公司专注于激光光学及其控制技术，以及与激光系统相配套的自动化技术，开发标准化和定制化的自动化成套解决方案。公司客户包括苹果、华为、富士康等行业龙头或知名企业。公司主要产品包括动力电池激光及自动化设备、通用激光及自动化设备、显示及脆性材料精密激光及自动化设备。报告期内，公司主营业务收入主要来源于通用激光及自动化设备、动力电池激光及自动化设备和显示及脆性材料精密激光及自动化设备。公司采用直销模式，销售产品包括标准化设备和非标准化设备或产线。,145,2.4878048780487805,"公司为激光及自动化综合解决方案提供商，面向消费电子、动力电池、钣金加工等行业研发、设计、生产及销售设备，核心能力为激光光学及控制技术、配套自动化技术。主要产品分为动力电池激光及自动化设备、通用激光及自动化设备、显示及脆性材料精密激光及自动化设备，客户包括苹果、华为、富士康、特斯拉、CATL、京东方、蓝思科技等。2019年主营业务收入94,592.33万元，其中通用激光及自动化设备占54.45%，动力电池设备占35.16%，显示及脆性材料设备占10.38%。公司研发采用集成产品开发模式，生产以“以销定产”并辅以战略储备，外协加工占主营业务成本比例最高为2019年的0.30%。",-4,-0.34264358772619996
688559_1208358657_glm4_dewrap_join_chunk_0002,688559,海目星,2,140,1.5666666666666669,公司根据客户规模采用不同收款模式，小客户以预付款为主，大客户可给予较高发货后付款比例。公司产品包括通用激光打标机、3C通用激光及自动化产线、显示及脆性材料精密激光及自动化设备，均采用预付款、发货款、验收款及质保金等阶段付款模式。公司部分客户通过融资租赁方式购买设备，主要涉及规模较小的钣金加工企业。公司主要产品为激光及自动化设备，部分激光器由公司自产，生产流程包括立项、采购、检测、装配、测试、老化等环节。公司生产过程产生的污染物主要为污水、噪声及固体废弃物，已采取相应处理措施。公司所属行业为制造业—专用设备制造业，属于高端装备制造产业—智能制造装备产业。,117,1.34375,公司设备销售结算以分阶段收款为主，动力电池激光及自动化设备多采用“3-3-3-1”模式，即预付款、发货款、验收款各30%，质保金10%，质保期以1-2年为主。钣金激光切割机等标准化产品通常以预付款及发货款为主，部分客户采用款到发货或预收90%；非标准化3C产线及显示、脆性材料设备多包含预付款、发货款、验收款和质保金。公司主要产品为激光及自动化设备，部分激光器自产并用于激光打标及精密切割设备，生产污染物主要为污水、噪声和固废，报告期内未发生重大环保事故或环保处罚。,23,0.22291666666666687
688559_1208358657_glm4_dewrap_join_chunk_0003,688559,海目星,3,143,1.3333333333333333,全球激光器应用市场中，材料加工与光存储领域占比最大，分别达45%和28%。激光技术主要应用于激光打标、切割和焊接，具有非接触加工、环保高效等优势。激光器按增益介质可分为气体、液体和固体激光器，按工作方式分为连续和脉冲激光器。全球激光器市场规模持续增长，2013-2019年从89.7亿美元增至146亿美元，年均复合增速8.46%。我国激光设备市场2018年销售额达605亿元，同比增长22.22%，年均复合增速23.51%。公司在消费电子、动力电池及钣金行业收入分别为2.49亿元、2.58亿元和2.22亿元，开发了精密线路板激光切割设备、全面屏全自动激光切割机等产品。,93,1.2133333333333334,"公司在激光及自动化领域形成多项激光光学及控制技术、配套自动化技术，应用于消费电子、动力电池、钣金等行业。2018年，公司在消费电子、动力电池和钣金行业收入分别为24,852.29万元、25,805.59万元、22,179.13万元。消费电子领域，公司推出全自动精密线路板激光切割设备、PCB激光打标机、全面屏全自动激光切割机、OLED激光钻孔机、全自动VCM组装线等产品。",50,0.11999999999999988
688559_1208358657_glm4_dewrap_join_chunk_0004,688559,海目星,4,114,1.6451612903225807,公司开发高速激光制片机、电芯装配线等设备用于动力电池加工，开发钣材激光切割机等设备用于钣金行业。公司为下游多行业客户提供标准化和定制化产品服务。激光加工设备在电子芯片制造、金属精密加工等行业广泛应用，提高了产品质量和生产效率。锂动力电池行业是公司重要应用领域，随着新能源汽车发展，动力电池需求快速增长，带动激光装备市场增长。消费电子行业竞争激烈，新产品不断推出，带动激光加工设备需求。钣金加工行业在汽车、轨道交通等领域应用广泛，激光加工设备需求持续增长。,65,1.1232876712328768,公司在动力电池行业推出高速激光制片机、电芯装配线、激光切割分条一体机等设备，在钣金行业推出钣材激光切割机、专业管材激光切割机等设备，为多行业客户提供标准化和定制化产品服务。公司产品依托多年技术和工艺积累，应用于动力电池前中段工艺及钣材、管材高功率切割等场景。,49,0.521873619089704
688559_1208358657_glm4_dewrap_join_chunk_0005,688559,海目星,5,114,3.0,公司以激光及自动化技术为核心，在激光、自动化和智能化综合运用领域积累了丰富的专利技术和客户资源。公司作为国内重要的动力电池设备供应商，客户包括宁德时代、特斯拉等主流企业；在消费电子领域，下游覆盖客户包括Apple、华为等。公司自主研发的激光器在多个指标上达到或优于同类产品，达到行业先进水平。公司具备将激光同自动化相结合的工艺技术，并自主研发了多项激光控制及工艺应用技术。公司2019年营业收入为10.31亿元，毛利率为36.25%，市场占有率稳步提升。,157,2.609375,"公司以激光光学及控制技术、配套自动化技术为核心，在动力电池领域客户包括宁德时代、特斯拉、力神、长城汽车、蜂巢能源、中航锂电、亿纬锂能、欣旺达，消费电子领域客户包括Apple、华为、富士康、伟创力、比亚迪、京东方、蓝思科技等。公司具备激光器设计及生产能力，自主开发20W紫外纳秒激光器、35W绿光纳秒激光器等产品，自产激光器全部用于自产设备。公司纳秒紫外、纳秒绿光、皮秒系列激光器在功率波动、光斑圆度、开机时间、脉冲宽度等指标上达到或优于同类产品，处于行业先进水平。2019年公司营业收入103,092.39万元、毛利率36.25%，研发投入8,825.22万元，占营业收入8.56%，研发人员323人，占员工总数15.57%。",-43,0.390625
688559_1208358657_glm4_dewrap_join_chunk_0006,688559,海目星,6,123,2.5806451612903225,"公司拥有激光、自动化、智能化综合技术优势，产品包括中小功率设备、数控激光切割机等，型号达600多种。公司2019年研发投入104,714.14万元，占营业收入10.95%，研发人员4,531人。公司已获得专利3,939项，包括发明专利934项。公司下游覆盖Apple、华为、特斯拉、宁德时代等优质客户，并设有100多个办事处形成销售网络。公司核心技术包括自动卷绕、高速分切、叠片等技术，累计获得专利817项。公司具备锂电行业领先的产品线布局及业务规模，首家提出锂电池智能生产线整线解决方案。",107,2.2941176470588234,公司为激光及自动化综合解决方案提供商，产品包括通用激光及自动化设备、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备，面向3C、锂电、新能源汽车等领域。公司在激光、自动化、智能化相关光机电软领域形成核心技术，截至签署日拥有国内专利261项，其中发明专利33项。报告期内生产调试人员工时利用率由102.46%升至126.12%，激光打标机和钣金激光切割机产销率整体较高，2019年分别为106.49%和93.18%。,16,0.28652751423149914
688559_1208358657_glm4_dewrap_join_chunk_0007,688559,海目星,7,148,1.7419354838709675,"公司激光打标机产销率2017年下降，2018年后通过优化生产模式提高产销率。钣金激光切割机2019年因备货策略产销率下降。公司非标产品因定制化生产，产销率均为100%。2019年公司激光打标机、钣金激光切割机、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备收入占比分别为54.45%、35.16%、10.38%。公司2019年前五大客户合计贡献收入占比45.66%，其中中国航空规划设计研究总院有限公司、华之欧（深圳）科技有限公司、东莞胜美达（太平）电机有限公司、宁德时代新能源科技股份有限公司、蜂巢能源科技有限公司为主要客户。公司2019年取得苹果公司订单1,545万美元。",138,2.824324324324324,"报告期内，公司主要产品收入由60,730.28万元增至94,592.33万元，2019年通用激光及自动化设备、动力电池激光及自动化设备、显示及脆性材料精密激光及自动化设备收入占比分别为54.45%、35.16%、10.38%。激光打标机2019年单价降至16.42万元/台，主要受自产激光器配置变化影响；钣金激光切割机单价由62.05万元/台降至54.71万元/台，受激光器国产替代降价及功率结构变化影响。2019年前五大客户收入47,070.82万元，占营业收入45.66%，其中中国航空规划设计研究总院、华之欧系、宁德时代系和蜂巢能源为重要客户。",10,-1.0823888404533566
688559_1208358657_glm4_dewrap_join_chunk_0008,688559,海目星,8,175,2.111111111111111,"公司是激光及自动化综合解决方案提供商，主要从事3C消费电子、锂电池等激光及自动化设备的研发、设计、生产及销售。报告期内，公司前五大客户均系3C消费电子或锂电池行业，公司多年深耕上述行业，开发了多款竞争力产品，并与龙头客户建立稳定合作关系。截至2020年3月31日，公司在手订单金额合计112,829.73万元，其中动力电池类设备在手订单75,350.35万元，3C消费电子类设备在手订单30,148.36万元。报告期内，公司境内收入占比分别为93.62%、89.17%、92.58%，境外收入占比分别为6.38%、10.83%、7.42%。公司采购的主要原材料中，激光光学类、机加钣金类及设备仪器类金额占比较高，报告期内三者合计采购金额占采购总额比例分别为67.37%、67.18%及64.83%。",148,2.8309859154929575,"公司从事3C消费电子、锂电池等激光及自动化设备研发、设计、生产及销售，前五大客户变动主要受下游扩产、产线更新及项目验收节奏影响。截至2020年3月31日，公司在手订单含税112,829.73万元，其中动力电池类75,350.35万元、3C消费电子类30,148.36万元。报告期内境内收入占比保持在89%以上，2019年境内前五大客户合计45,865.87万元，占营收44.49%；境外前五大客户合计4,164.30万元，占营收4.04%。主要采购原材料中激光光学类、机加钣金类及设备仪器类占比较高，2017年至2019年三者合计占采购总额比例分别为67.37%、67.18%和64.83%。",27,-0.7198748043818464
688559_1208358657_glm4_dewrap_join_chunk_0009,688559,海目星,9,106,1.5806451612903225,"公司主营各类激光及自动化设备，采购的主要原材料包括激光器、外购整机、机器人等，种类较多且型号各异。报告期内，公司前五大供应商采购金额占当期采购总额比例分别为24.58%、25.39%和29.04%。公司固定资产账面原值为16,810.07万元，其中机械设备占比最大，成新率为89.39%。主要生产设备包括精密金属机械加工机、数控平面磨床等，部分设备成新率较高。公司自有房产主要用于工业生产，同时租赁部分房产用于办公和研发。",133,2.875,"报告期内，公司主要原材料单价随设备结构、功率型号和定制需求波动，2019年激光器均价117,865.89元/件，同比下降35.65%，主要因高功率激光器采购占比降低及国产替代降价。2019年外购整机均价同比上升100.81%，与蜂巢能源、中航锂电等大型项目外采全自动电芯物流线、包膜机、热压机等设备有关。2019年前五大供应商采购额18,848.35万元，占采购金额24.58%，深圳市创鑫激光、阿帕奇、誉辰自动化为主要供应商。公司截至2019年末固定资产原值16,810.07万元，净值15,027.31万元，成新率89.39%。",-27,-1.2943548387096775
688559_1208358657_glm4_dewrap_join_chunk_0010,688559,海目星,10,82,1.9591836734693877,公司主要租赁厂房未取得权属证明，包括深圳海目星位于龙华区的厂房、江门海目星原厂房及鞍山激光产业园厂房，但相关政府部门出具证明，确认这些厂房不在拆迁范围内。公司拥有4项境内商标和2项境外商标，以及261项国内专利，包括33项发明专利。公司实际控制人已承诺承担因租赁物业瑕疵导致的搬迁费用及其他费用，确保公司生产经营不受重大影响。,132,2.380952380952381,"公司部分租赁房产未取得权属证明，其中深圳主要经营场所已申报普查且未接到拆迁任务，相关部门复函显示部分租赁物业不在土地整备、征地拆迁或城市更新拟拆除范围内，实际控制人承诺承担因租赁瑕疵导致的搬迁、处罚等损失。公司拥有江门、江苏两处工业用地土地使用权，面积分别为66,621.03平方米、137,614平方米及50,045平方米。截至签署日，公司境内注册商标4项、境外主要注册商标2项，并拥有国内专利261项，其中发明专利33项、实用新型226项、外观设计2项，专利覆盖电池装配、极片切割、激光焊接、视觉定位、紫外激光加工等技术。",-50,-0.4217687074829932
