custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688777_1208751864_glm4_dewrap_join_chunk_0001,688777,中控技术,1208751864,1,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7296,6882,3996,3996,14,3996,glm4_dewrap_join_full543_20260705,374,374,发行人定位为智能制造产品及解决方案提供商，面向流程工业提供自动化控制系统、工业软件、自动化仪表及运维服务。核心技术和产品属于国家智能制造发展重点任务范围，包括嵌入式控制系统设计技术、先进控制与优化技术等，以及集散控制系统（DCS）、安全仪表系统（SIS）等“工业3.0”产品谱系和先进过程控制（APC）、实时优化（RTO）等“工业4.0”产品谱系。智能制造解决方案应用于炼油、石化、化工等领域，围绕安全生产、节能降耗、提高质量、降本增效、绿色环保五大目标，融合五大技术领域（5T技术）。发行人承担国家级专项及课题，参与智能制造标准制定，连续多年入选工信部智能制造系统解决方案供应商和示范企业。主要产品包括自动化控制系统（如DCS、SIS）、工业软件（如实时数据库ESP-iSYS、APC-Suite）、自动化仪表（如控制阀、压力变送器）及运维服务。,187,60,60,0,12,18,15,8,5,2,7,0.11666666666666667,6,-1,1.7,
688777_1208751864_glm4_dewrap_join_chunk_0002,688777,中控技术,1208751864,2,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6825,6276,3977,3977,14,3977,glm4_dewrap_join_full543_20260705,164,164,发行人提供工业自动化及智能制造解决方案，收入主要来自控制系统、工业自动化及智能制造解决方案等产品。报告期内，主营业务收入中直销模式占比超过99%，经销模式占比极小。公司采用自主生产模式，定制化项目实行订单式生产。报告期内，公司主营业务收入中，面向终端用户的直销收入占比约68%-69%，面向总包方的直销收入占比约30%-31%。,82,68,68,0,15,22,18,10,2,1,3,0.04411764705882353,5,2,1.4852941176470589,
688777_1208751864_glm4_dewrap_join_chunk_0003,688777,中控技术,1208751864,3,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7476,6914,3995,3995,14,3995,glm4_dewrap_join_full543_20260705,265,265,发行人通过隔声、消声和减振等措施降低生产车间噪声，厂界噪声符合国家标准。报告期内，公司聘请第三方机构定期检测污染物排放，符合国家规定，未发生环保事故。发行人主营智能制造产品及解决方案，涵盖自动化控制系统、工业软件、自动化仪表和运维服务。公司早期产品以自动化控制系统为主，逐步发展为智能制造产品及解决方案供应商。根据行业分类，发行人控制系统装置、自动化仪表属于仪器仪表制造业，控制系统嵌入式软件、工业软件属于软件和信息技术服务业。2019年中国自动化市场规模达到1865亿元，预计2020-2022年将保持6%左右的年均复合增长率。,133,62,62,0,15,28,10,6,2,1,3,0.04838709677419355,5,2,1.2741935483870968,
688777_1208751864_glm4_dewrap_join_chunk_0004,688777,中控技术,1208751864,4,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7433,6829,3991,3991,14,3991,glm4_dewrap_join_full543_20260705,354,388,"DCS 市场短期受疫情影响下滑，长期随经济回暖回升，预计 2022-2027 年年均增长 5-6%。SIS 市场规模 2019 年达 3.2 亿美元，化工、炼化等下游占比超 80%，受政策推动及安全需求提升，预计年均增长 8.3%。工业软件方面，2019 年工业软件收入 1,720 亿元，MES 市场规模 26.8 亿元，公司 MES 市场占有率 4.5%；APC 及 RTO 市场规模 5,150 万美元，公司市场占有率均达 26%，排名第一。自动化仪表方面，压力变送器市场 2019 年规模 40.2 亿元，调节阀市场 2018 年规模 19.99 亿美元，高端市场被国外品牌主导。公司通过技术创新形成控制系统、工业软件和自动化仪表等核心技术，具备提供智能制造解决方案能力，科技成果与产业融合度高。行业未来将持续快速发展，产业集中度提高，自主创新和服务市场成为主要方向。",177,65,65,0,12,28,10,8,6,1,7,0.1076923076923077,6,-1,1.5538461538461539,
688777_1208751864_glm4_dewrap_join_chunk_0005,688777,中控技术,1208751864,5,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7194,6416,3987,3987,14,3987,glm4_dewrap_join_full543_20260705,243,243,发行人面向化工、石化、电力等流程工业提供智能制造产品及解决方案，主要产品为DCS控制系统。2018-2019年主营业务收入分别为21.26亿元、25.22亿元，同比增长24.64%、18.62%。发行人在DCS市场占有率从2011年的13.0%提升至2019年的27.0%，连续九年排名第一。在化工、石化、电力三大细分行业，发行人市场份额分别为40.7%、29.7%、13.3%，显著领先主要竞争对手。发行人还参与制定2项国际标准、19项国家标准，在工业自动化标准制定方面发挥重要作用。,122,62,62,0,12,15,10,10,10,5,15,0.24193548387096775,6,-9,2.096774193548387,
688777_1208751864_glm4_dewrap_join_chunk_0006,688777,中控技术,1208751864,6,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7360,6732,3990,3990,14,3990,glm4_dewrap_join_full543_20260705,258,258,公司承担了多个智能制造典型项目及控制系统首台套应用任务，打破了跨国公司垄断。公司拥有281项专利和373项计算机软件著作权，两次获得国家科学技术进步奖二等奖。公司主营集散控制系统（DCS）、安全仪表系统（SIS）等产品，2019年DCS国内市场占有率达27%，连续九年蝉联国内DCS市场占有率第一名。公司核心产品安全仪表系统（SIS）国内市场占有率24.5%，排名第二；核心工业软件产品先进过程控制软件（APC）国内市场占有率26%，排名第一。报告期内，公司核心控制系统（DCS和SIS）产能利用率保持在80%以上。,129,60,60,0,18,15,10,8,6,3,9,0.15,5,-4,1.6333333333333333,
688777_1208751864_glm4_dewrap_join_chunk_0007,688777,中控技术,1208751864,7,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6385,5731,3990,3990,14,3990,glm4_dewrap_join_full543_20260705,224,224,报告期内，发行人前五名客户较为稳定，中石化连续四年为第一大客户，中石油、中核连续三年为前五名客户。发行人不存在向单个客户销售比例超过50%或严重依赖少数客户的情况。发行人主要原材料共分为三类：系统物资、仪表物资和成套物资，报告期内采购价格变化相对保持稳定。发行人日常经营所需的主要能源为电和水，电力和用水合计金额占当期营业成本和期间费用合计金额的比例较小。发行人前五名供应商较为稳定，主要向戴尔（中国）有限公司、深圳市博科供应链管理有限公司等采购。,112,62,62,0,15,18,12,10,5,2,7,0.11290322580645161,5,-2,1.6451612903225807,
688777_1208751864_glm4_dewrap_join_chunk_0008,688777,中控技术,1208751864,8,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6217,5451,3983,3983,14,3983,glm4_dewrap_join_full543_20260705,340,340,"发行人主要通过供应链管理公司进口电子元器件，并与具备收货、仓储、报关、运输等能力的供应商合作以稳定进口渠道。发行人新增供应商如深圳博科、大容机电、英迪控制、空间新盛等，主要基于其具备的报关资质、机电设备安装资质、自动化系统设计安装经验等，以支持公司智能制造产品和解决方案的拓展。报告期内，发行人前五名供应商累计共9家，不存在向单个供应商采购比例超过50%或严重依赖少数供应商的情况。发行人固定资产主要包括房屋及建筑物、专用设备、通用设备和运输工具，截至2020年6月30日账面原值36,382.05万元，账面净值22,418.82万元，成新率61.62%。发行人拥有多处自有房产，部分房产存在抵押但不存在对第三方设置抵押的情形，且不存在因重大偿债风险导致抵押权人行使抵押权的情形。",170,62,62,0,10,15,12,10,10,5,15,0.24193548387096775,5,-10,2.161290322580645,
688777_1208751864_glm4_dewrap_join_chunk_0009,688777,中控技术,1208751864,9,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7111,6606,3962,3962,14,3962,glm4_dewrap_join_full543_20260705,257,258,截至2020年6月30日，公司及其子公司拥有213项注册商标和281项专利，包括176项发明专利。公司存在52项与其他方共有的专利，其中46项与浙江大学共有，主要涉及EPA、控制系统、工业软件和自动化仪表相关技术。共有专利中，2项具有较强行业影响力，4项属于公司主要产品的重要技术，占全部专利比重仅为2.14%。公司核心产品包括ECS-700、TCS-900、GCS G5等自动化控制系统，涉及95个部件和9种工业软件，涵盖83项专利技术。公司已对共有专利进行技术储备或升级，核心产品不存在对某项共有专利的依赖关系。,129,68,68,0,15,22,12,10,7,2,9,0.1323529411764706,5,-4,1.6764705882352942,
688777_1208751864_glm4_dewrap_join_chunk_0010,688777,中控技术,1208751864,10,14,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688777_1208751864_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6923,6442,3999,3999,14,3999,glm4_dewrap_join_full543_20260705,189,190,发行人核心技术不存在纠纷，拥有373项计算机软件著作权，其中8项为共有。发行人已取得高新技术企业证书等业务资质，生产经营合规。发行人核心技术包括控制系统热冗余的高可靠性设计技术，获得国家科学技术进步奖二等奖等，产品通过TUV SIL3认证，连续八年国内DCS市场占有率第一。高可用性控制网络及现场总线实时通信技术填补国内空白，参与制定EPA国际标准，获得中国标准创新贡献奖一等奖。,95,62,62,0,24,15,10,8,4,1,5,0.08064516129032258,5,0,1.2903225806451613,
