custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688456_1209371603_glm4_dewrap_join_chunk_0001,688456,有研粉材,1209371603,1,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6676,6274,3996,3996,15,3996,glm4_dewrap_join_full543_20260705,293,293,发行人专注于先进有色金属粉体材料的设计、研发、生产和销售，主要产品包括铜基金属粉体材料、微电子锡基焊粉材料和3D打印粉体材料，是国内铜基金属粉体材料和锡基焊粉材料领域的龙头企业。发行人铜基金属粉体材料国内市场占有率约35%，排名国内第一；微电子锡基焊粉材料国内市场占有率在15%以上，排名国内第一。发行人拥有已授权专利123项，其中发明专利99项，参与起草国家标准8项，参与制定修订行业标准12项。报告期内，发行人主营业务收入中铜基金属粉体材料占比最高，2019年铜基金属粉体材料销量约2.35万吨，排名全球第二。发行人采用以销定产的生产模式和以直销为主、少量买断式经销为辅的销售模式。,147,62,62,0,5,15,18,14,8,2,10,0.16129032258064516,6,-4,2.1774193548387095,
688456_1209371603_glm4_dewrap_join_chunk_0002,688456,有研粉材,1209371603,2,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6704,6221,3915,3915,15,3915,glm4_dewrap_join_full543_20260705,195,195,"公司生产雾化铜基金属粉体、微电子锡基焊粉和3D打印粉体材料，采用自主研发的工艺流程。报告期内，公司主要污染物排放达标，未发生重大环保事故。部分生产线存在未履行环评和环保验收手续的情况，涉及已获批复产能8,500吨，实际产能1.4万吨。相关生产线已搬迁或关停，解决了超量生产问题。控股股东承诺承担相关责任，该瑕疵不会对持续经营和上市构成重大影响。公司所处行业为金属制品业，产品属于新材料产业。",98,60,60,0,15,25,10,5,4,1,5,0.08333333333333333,5,0,1.35,
688456_1209371603_glm4_dewrap_join_chunk_0003,688456,有研粉材,1209371603,3,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6869,6552,3970,3970,15,3970,glm4_dewrap_join_full543_20260705,256,256,发行人专注于先进有色金属粉体材料的设计、研发、生产和销售，掌握球形金属粉体材料制备、高品质电解铜粉绿色制备、微电子焊粉制备等核心技术，多项技术达到国际领先或国际先进水平。发行人铜基金属粉体材料国内市场占有率约35%，排名国内第一、全球第二；微电子锡基焊粉材料国内市场占有率在15%以上，排名国内第一。发行人参与起草国家标准8项，行业标准12项，是钢结构协会粉末冶金分会副理事长单位等。发行人通过技术积累研发了超低松比电解铜粉、无铅微电子焊粉材料、3D打印粉体材料等多种性能优异的产品，解决下游应用领域的技术瓶颈。,128,62,62,0,28,20,8,4,2,0,2,0.03225806451612903,4,2,0.9032258064516129,
688456_1209371603_glm4_dewrap_join_chunk_0004,688456,有研粉材,1209371603,4,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6618,6173,3979,3979,15,3979,glm4_dewrap_join_full543_20260705,230,230,发行人电解铜产能约2000吨/年，水雾化铜产能约1000吨/年。发行人微电子锡基焊粉材料国内市占率超过15%，2019年市场占有率国内第一。发行人拥有已授权专利123项，其中发明专利99项，参与起草国家标准8项。发行人铜基金属粉体材料国内市场占有率约35%，排名国内第一，2019年总销量约2.35万吨，排名全球第二。发行人微电子锡基焊粉材料主要客户包括确信爱法、铟泰科技、弘辉电子等。发行人逐步在北京、重庆、安徽、山东、英国和泰国等国内外地区布局了产业基地。,115,60,60,0,15,12,10,8,10,5,15,0.25,6,-9,2.0166666666666666,
688456_1209371603_glm4_dewrap_join_chunk_0005,688456,有研粉材,1209371603,5,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6749,6241,3960,3960,15,3960,glm4_dewrap_join_full543_20260705,191,191,铜基粉体材料市场需求依赖下游行业，主要下游包括粉末冶金、超硬工具和高铁闸片。粉末冶金行业2018年铜基制品达1.48万吨，汽车应用占比59%。超硬工具行业2018年市场规模42亿元。高铁闸片以铜基为主，需求随高铁发展持续增长。微电子锡基焊粉材料2018年产量1.3万吨，主要用于电子制造，消费电子与通信占50%。集成电路产业2019年销售额7562亿元，未来汽车电子领域增速约7%。,96,54,54,0,10,22,12,6,3,1,4,0.07407407407407407,5,1,1.5,
688456_1209371603_glm4_dewrap_join_chunk_0006,688456,有研粉材,1209371603,6,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6691,6300,3983,3983,15,3983,glm4_dewrap_join_full543_20260705,242,242,发行人铜基金属粉体材料销售受下游需求下降影响，2019年业绩下滑。主要下游包括粉末冶金零部件、超硬工具、高铁闸片和微电子封装，其中汽车和环保因素导致短期需求波动，但高铁和微电子领域需求保持增长。新冠疫情导致2020年上半年收入减少，但当前在手订单达1.78亿元，较2019年提升，与主要客户保持稳定合作。发行人铜基金属粉体材料国内市场占有率约35%，全球第二；微电子锡基焊粉材料国内市场占有率超15%。核心技术包括电解铜粉制备，产品松比和氧含量指标优于国际可比公司，打破国外技术垄断。,121,48,48,0,12,15,10,7,3,1,4,0.08333333333333333,6,2,1.5208333333333333,
688456_1209371603_glm4_dewrap_join_chunk_0007,688456,有研粉材,1209371603,7,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5817,5162,3758,3758,15,3758,glm4_dewrap_join_full543_20260705,245,245,发行人采用以销定产的生产模式，铜基金属粉体材料和微电子锡基焊粉材料产能利用率与销量及收入变动趋势一致，产销率在91%以上。3D打印用粉体材料处于市场推广阶段，产量与销量基数较小，产能利用率和产销率波动较大。铜基金属粉体材料主要客户包括辉门集团、东睦股份、博深股份、天宜上佳、神奇电碳集团等；微电子锡基焊粉材料主要客户包括确信爱法、铟泰科技、弘辉电子等。报告期内，公司向前五大客户销售占比分别为15.50%、15.25%、16.34%和17.06%，不存在向单个客户销售比例超过50%的情形。,123,45,45,0,20,15,5,3,2,0,2,0.044444444444444446,5,3,0.9333333333333333,
688456_1209371603_glm4_dewrap_join_chunk_0008,688456,有研粉材,1209371603,8,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6204,5503,3972,3972,15,3972,glm4_dewrap_join_full543_20260705,221,221,"有研粉末在中国境内拥有4宗国有建设用地使用权，合计面积142,756.17平方米，主要用于工业用地。发行人及子公司拥有多处已取得产权证书的房屋建筑物，总面积约68,640.46平方米。发行人存在部分房屋未办理产权证书的情况，合计建筑面积2,028.35平方米，主要为生产经营的辅助性用房。发行人及子公司在境内租赁多处房产，总面积约1,023,828.35平方米，主要用于办公、职工宿舍、生产经营等。发行人拥有土地使用权、商标和专利等无形资产。",111,62,62,0,42,10,5,3,1,1,2,0.03225806451612903,4,2,0.6129032258064516,
688456_1209371603_glm4_dewrap_join_chunk_0009,688456,有研粉材,1209371603,9,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6403,5870,3992,3992,15,3992,glm4_dewrap_join_full543_20260705,176,176,发行人及子公司拥有123项专利，其中发明专利99项，实用新型专利24项。发行人拥有多项注册商标，包括3项被许可使用的商标，这些商标主要用于媒体宣传、产品包装和日常办公。发行人及其子公司已取得多项生产经营相关资质，包括对外贸易经营者备案登记表、海关进出口货物收发货人备案回执等。发行人拥有或使用的部分土地使用权被政府收回整理，涉及工业用地和医卫慈善用地。,88,42,42,0,15,12,5,5,4,1,5,0.11904761904761904,5,0,1.380952380952381,
688456_1209371603_glm4_dewrap_join_chunk_0010,688456,有研粉材,1209371603,10,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6284,5844,3976,3976,15,3976,glm4_dewrap_join_full543_20260705,256,256,有研粉末使用划拨地不构成重大违法。公司拥有已取得产权和未取得产权的房屋建筑物，未取得产权的房产已纳入整理计划并移交。公司无证房产面积占比较小，对持续经营无重大影响。公司掌握多项核心技术，包括球形金属粉体材料制备技术、高品质电解铜粉绿色制备技术等，均来源于自主研发。球形金属粉体材料制备技术应用于离心雾化制粉、气雾化制粉生产工艺，用于生产微电子锡基焊粉材料、铜基金属粉体材料和3D打印粉体材料，获得国家科学技术进步奖二等奖。高品质电解铜粉绿色制备技术实现低松比、超低松比铜粉的工业化生产，提升国内电解铜粉的竞争力。,128,49,49,0,12,10,8,7,9,3,12,0.24489795918367346,6,-6,2.0,
688456_1209371603_glm4_dewrap_join_chunk_0011,688456,有研粉材,1209371603,11,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6282,5724,3830,3830,15,3830,glm4_dewrap_join_full543_20260705,261,261,发行人掌握多项核心技术，包括新型含Ti金刚石胎体复合材料制备技术、超细金属粉体自动化制备技术、3D打印粉体材料制备技术及高性能粉末冶金中空凸轮轴制备技术，相关成果多次获得中国有色金属工业科学技术奖。公司已申请并取得99项发明专利，承担国家级和省部级科研项目共32项。核心技术应用于铜基金属粉体材料、微电子锡基焊粉材料、3D打印粉体材料及中空凸轮轴等产品，报告期内核心技术业务收入占比均超过89%，是公司主要收入来源。公司累计获得省部级以上科技奖励15项，参与编写学术专著4部，参与起草国家标准8项，制定修订行业标准12项。,131,62,62,0,0,0,0,15,27,20,47,0.7580645161290323,6,-41,4.080645161290323,
688456_1209371603_glm4_dewrap_join_chunk_0012,688456,有研粉材,1209371603,12,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5888,5379,3992,3992,15,3992,glm4_dewrap_join_full543_20260705,242,244,发行人参与起草或牵头修订了多项国家及行业标准，包括GB/T 38365系列软钎剂试验方法、GB/T 20422无铅钎料等国家标准，以及SJ/T系列电子产品焊接用锡合金粉等行业标准。发行人目前从事多项研发项目，包括表面封装用锡基合金粉末制备关键技术、纳米铜材料制备与工艺研究、钛合金粉末检验与选用标准研究等，旨在解决功率半导体器件及第三代半导体封装材料的技术瓶颈。公司还开展电解铜粉制备工艺技术、纳米铜尺寸和形貌可控制备、车载电子用高可靠性互连材料制备等研究，以提升产品性能并满足市场需求。,121,12,62,1,0,0,0,0,12,0,12,1.0,5,-7,4.0,
688456_1209371603_glm4_dewrap_join_chunk_0013,688456,有研粉材,1209371603,13,15,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688456_1209371603_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6158,5658,3980,3980,15,3980,glm4_dewrap_join_full543_20260705,245,245,公司研发项目包括水气雾化法工艺优化、低温焊料助焊剂开发、低松比水雾化铜粉制备、电解铜粉产业升级、新型铜铁复合材料制备等。报告期内研发投入占营业收入平均比例为3.17%，占净利润平均比例为90.79%。研发投入构成中，材料费占比最高，其次为职工薪酬和燃料动力费。主要研发项目包括车载电子用高可靠互连材料关键制备技术、军用飞行器热端零部件超高温高熵合金复合粉体研制等。公司注重与科研院所、高等院校及有色金属粉体材料应用企业的合作研发，合作项目包括纳米铜粉及铜膏制备、先进封装互连的纳米铜材料等。,123,58,58,0,12,15,10,12,7,2,9,0.15517241379310345,5,-4,1.8793103448275863,
