ts,label,sec_code,chunks,prompt_chars,items_returned,prompt_tokens,completion_tokens,total_tokens,model
2026-07-08T16:39:35,688616_chunks_0006_0006,688616,1,7760,1,5011,199,5210,THUDM/GLM-4-32B-0414
2026-07-08T16:39:42,688616_chunks_0007_0007,688616,1,7735,1,4950,213,5163,THUDM/GLM-4-32B-0414
2026-07-08T16:39:50,688616_chunks_0008_0008,688616,1,6906,1,4374,242,4616,THUDM/GLM-4-32B-0414
2026-07-08T16:39:58,688616_chunks_0009_0009,688616,1,7323,1,4876,171,5047,THUDM/GLM-4-32B-0414
2026-07-08T16:40:05,688616_chunks_0010_0010,688616,1,7555,1,5007,195,5202,THUDM/GLM-4-32B-0414
2026-07-08T16:40:12,688616_chunks_0011_0011,688616,1,7513,1,4825,195,5020,THUDM/GLM-4-32B-0414
2026-07-08T16:40:20,688616_chunks_0012_0012,688616,1,8218,1,4904,212,5116,THUDM/GLM-4-32B-0414
2026-07-08T16:40:28,688616_chunks_0013_0013,688616,1,8095,1,5016,234,5250,THUDM/GLM-4-32B-0414
2026-07-08T16:40:35,688616_chunks_0014_0014,688616,1,8533,1,4917,184,5101,THUDM/GLM-4-32B-0414
2026-07-08T16:40:43,688092_chunks_0001_0001,688092,1,8875,1,5061,199,5260,THUDM/GLM-4-32B-0414
2026-07-08T16:40:51,688092_chunks_0002_0002,688092,1,8933,1,5002,244,5246,THUDM/GLM-4-32B-0414
2026-07-08T16:40:59,688092_chunks_0003_0003,688092,1,9193,1,5034,221,5255,THUDM/GLM-4-32B-0414
2026-07-08T16:41:07,688092_chunks_0004_0004,688092,1,9039,1,4914,215,5129,THUDM/GLM-4-32B-0414
2026-07-08T16:41:15,688092_chunks_0005_0005,688092,1,8479,1,5062,211,5273,THUDM/GLM-4-32B-0414
2026-07-08T16:41:22,688092_chunks_0006_0006,688092,1,9085,1,5005,194,5199,THUDM/GLM-4-32B-0414
2026-07-08T16:41:30,688092_chunks_0007_0007,688092,1,8193,1,4996,207,5203,THUDM/GLM-4-32B-0414
2026-07-08T16:41:37,688092_chunks_0008_0008,688092,1,8189,1,4710,203,4913,THUDM/GLM-4-32B-0414
2026-07-08T16:41:45,688092_chunks_0009_0009,688092,1,7736,1,4824,211,5035,THUDM/GLM-4-32B-0414
2026-07-08T16:41:53,688092_chunks_0010_0010,688092,1,7885,1,5062,190,5252,THUDM/GLM-4-32B-0414
2026-07-08T16:42:00,688092_chunks_0011_0011,688092,1,7490,1,4893,173,5066,THUDM/GLM-4-32B-0414
2026-07-08T16:42:08,688092_chunks_0012_0012,688092,1,8549,1,4998,254,5252,THUDM/GLM-4-32B-0414
2026-07-08T16:42:18,688092_chunks_0013_0013,688092,1,8548,1,5041,222,5263,THUDM/GLM-4-32B-0414
2026-07-08T16:42:26,688092_chunks_0014_0014,688092,1,8727,1,4939,269,5208,THUDM/GLM-4-32B-0414
2026-07-08T16:42:33,688092_chunks_0015_0015,688092,1,8796,1,5051,178,5229,THUDM/GLM-4-32B-0414
2026-07-08T16:42:41,688092_chunks_0016_0016,688092,1,8842,1,5056,197,5253,THUDM/GLM-4-32B-0414
2026-07-08T16:42:49,688092_chunks_0017_0017,688092,1,2672,1,1488,177,1665,THUDM/GLM-4-32B-0414
2026-07-08T16:42:56,688609_chunks_0001_0001,688609,1,8574,1,5056,196,5252,THUDM/GLM-4-32B-0414
2026-07-08T16:43:04,688609_chunks_0002_0002,688609,1,9359,1,5044,222,5266,THUDM/GLM-4-32B-0414
2026-07-08T16:43:12,688609_chunks_0003_0003,688609,1,8856,1,5053,215,5268,THUDM/GLM-4-32B-0414
2026-07-08T16:43:20,688609_chunks_0004_0004,688609,1,8350,1,5025,285,5310,THUDM/GLM-4-32B-0414
2026-07-08T16:43:29,688609_chunks_0005_0005,688609,1,9070,1,5059,208,5267,THUDM/GLM-4-32B-0414
2026-07-08T16:43:37,688609_chunks_0006_0006,688609,1,8839,1,5025,201,5226,THUDM/GLM-4-32B-0414
2026-07-08T16:43:45,688609_chunks_0007_0007,688609,1,9082,1,5055,214,5269,THUDM/GLM-4-32B-0414
2026-07-08T16:43:53,688609_chunks_0008_0008,688609,1,9014,1,5038,192,5230,THUDM/GLM-4-32B-0414
2026-07-08T16:44:01,688609_chunks_0009_0009,688609,1,8742,1,5056,239,5295,THUDM/GLM-4-32B-0414
2026-07-08T16:44:09,688609_chunks_0010_0010,688609,1,8980,1,5043,226,5269,THUDM/GLM-4-32B-0414
2026-07-08T16:44:17,688609_chunks_0011_0011,688609,1,9216,1,5041,235,5276,THUDM/GLM-4-32B-0414
2026-07-08T16:44:26,688609_chunks_0012_0012,688609,1,9334,1,5039,281,5320,THUDM/GLM-4-32B-0414
2026-07-08T16:44:34,688609_chunks_0013_0013,688609,1,9042,1,5038,220,5258,THUDM/GLM-4-32B-0414
2026-07-08T16:44:43,688609_chunks_0014_0014,688609,1,7667,1,4802,269,5071,THUDM/GLM-4-32B-0414
2026-07-08T16:44:50,688609_chunks_0015_0015,688609,1,8982,1,5055,207,5262,THUDM/GLM-4-32B-0414
2026-07-08T16:44:59,688609_chunks_0016_0016,688609,1,8061,1,5039,229,5268,THUDM/GLM-4-32B-0414
2026-07-08T16:45:07,688609_chunks_0017_0017,688609,1,7072,1,4468,212,4680,THUDM/GLM-4-32B-0414
2026-07-08T16:45:13,688609_chunks_0018_0018,688609,1,7607,1,5041,131,5172,THUDM/GLM-4-32B-0414
2026-07-08T16:45:22,688609_chunks_0019_0019,688609,1,7664,1,5057,253,5310,THUDM/GLM-4-32B-0414
2026-07-08T16:45:29,688609_chunks_0020_0020,688609,1,7107,1,4537,181,4718,THUDM/GLM-4-32B-0414
2026-07-08T16:45:36,688609_chunks_0021_0021,688609,1,7433,1,4942,148,5090,THUDM/GLM-4-32B-0414
2026-07-08T16:45:45,688609_chunks_0022_0022,688609,1,8259,1,5040,332,5372,THUDM/GLM-4-32B-0414
2026-07-08T16:45:53,688609_chunks_0023_0023,688609,1,8688,1,5056,250,5306,THUDM/GLM-4-32B-0414
2026-07-08T16:46:02,688609_chunks_0024_0024,688609,1,9125,1,5023,263,5286,THUDM/GLM-4-32B-0414
2026-07-08T16:46:10,688609_chunks_0025_0025,688609,1,8459,1,4976,202,5178,THUDM/GLM-4-32B-0414
2026-07-08T16:46:17,688609_chunks_0026_0026,688609,1,8101,1,5015,179,5194,THUDM/GLM-4-32B-0414
2026-07-08T16:46:24,688609_chunks_0027_0027,688609,1,8642,1,5028,197,5225,THUDM/GLM-4-32B-0414
2026-07-08T16:46:33,688609_chunks_0028_0028,688609,1,5904,1,3201,287,3488,THUDM/GLM-4-32B-0414
2026-07-08T16:46:40,688633_chunks_0001_0001,688633,1,8662,1,5049,181,5230,THUDM/GLM-4-32B-0414
2026-07-08T16:46:48,688633_chunks_0002_0002,688633,1,8192,1,4910,178,5088,THUDM/GLM-4-32B-0414
2026-07-08T16:46:56,688633_chunks_0003_0003,688633,1,8695,1,5054,239,5293,THUDM/GLM-4-32B-0414
2026-07-08T16:47:04,688633_chunks_0004_0004,688633,1,8701,1,5033,228,5261,THUDM/GLM-4-32B-0414
2026-07-08T16:47:14,688633_chunks_0005_0005,688633,1,8774,1,5041,381,5422,THUDM/GLM-4-32B-0414
2026-07-08T16:47:22,688633_chunks_0006_0006,688633,1,7495,1,4768,230,4998,THUDM/GLM-4-32B-0414
2026-07-08T16:47:30,688633_chunks_0007_0007,688633,1,7382,1,4619,251,4870,THUDM/GLM-4-32B-0414
2026-07-08T16:47:36,688633_chunks_0008_0008,688633,1,6889,1,4370,142,4512,THUDM/GLM-4-32B-0414
2026-07-08T16:47:44,688633_chunks_0009_0009,688633,1,8054,1,5062,231,5293,THUDM/GLM-4-32B-0414
2026-07-08T16:47:52,688633_chunks_0010_0010,688633,1,7746,1,4642,213,4855,THUDM/GLM-4-32B-0414
2026-07-08T16:48:00,688633_chunks_0011_0011,688633,1,7997,1,4668,211,4879,THUDM/GLM-4-32B-0414
2026-07-08T16:48:08,688606_chunks_0001_0001,688606,1,8398,1,5021,245,5266,THUDM/GLM-4-32B-0414
2026-07-08T16:48:16,688606_chunks_0002_0002,688606,1,8269,1,4945,247,5192,THUDM/GLM-4-32B-0414
2026-07-08T16:48:24,688606_chunks_0003_0003,688606,1,9416,1,5053,234,5287,THUDM/GLM-4-32B-0414
2026-07-08T16:48:32,688606_chunks_0004_0004,688606,1,9030,1,5053,191,5244,THUDM/GLM-4-32B-0414
2026-07-08T16:48:40,688606_chunks_0005_0005,688606,1,9155,1,5043,254,5297,THUDM/GLM-4-32B-0414
2026-07-08T16:48:48,688606_chunks_0006_0006,688606,1,9075,1,5022,173,5195,THUDM/GLM-4-32B-0414
2026-07-08T16:48:56,688606_chunks_0007_0007,688606,1,9078,1,5053,215,5268,THUDM/GLM-4-32B-0414
2026-07-08T16:49:04,688606_chunks_0008_0008,688606,1,8770,1,4769,221,4990,THUDM/GLM-4-32B-0414
2026-07-08T16:49:12,688606_chunks_0009_0009,688606,1,8157,1,4949,236,5185,THUDM/GLM-4-32B-0414
2026-07-08T16:49:19,688606_chunks_0010_0010,688606,1,8782,1,4995,203,5198,THUDM/GLM-4-32B-0414
2026-07-08T16:49:28,688606_chunks_0011_0011,688606,1,7865,1,5015,183,5198,THUDM/GLM-4-32B-0414
2026-07-08T16:49:36,688606_chunks_0012_0012,688606,1,8086,1,4937,212,5149,THUDM/GLM-4-32B-0414
2026-07-08T16:49:43,688606_chunks_0013_0013,688606,1,8806,1,5002,154,5156,THUDM/GLM-4-32B-0414
2026-07-08T16:49:51,688606_chunks_0014_0014,688606,1,8703,1,5057,196,5253,THUDM/GLM-4-32B-0414
2026-07-08T16:49:59,688606_chunks_0015_0015,688606,1,8454,1,4971,252,5223,THUDM/GLM-4-32B-0414
2026-07-08T16:50:07,688606_chunks_0016_0016,688606,1,8089,1,4999,257,5256,THUDM/GLM-4-32B-0414
2026-07-08T16:50:17,688606_chunks_0017_0017,688606,1,8534,1,5059,310,5369,THUDM/GLM-4-32B-0414
2026-07-08T16:50:25,688606_chunks_0018_0018,688606,1,3956,1,2218,296,2514,THUDM/GLM-4-32B-0414
2026-07-08T16:50:34,688195_chunks_0001_0001,688195,1,8541,1,5017,283,5300,THUDM/GLM-4-32B-0414
2026-07-08T16:50:42,688195_chunks_0002_0002,688195,1,8461,1,5059,220,5279,THUDM/GLM-4-32B-0414
2026-07-08T16:50:50,688195_chunks_0003_0003,688195,1,8546,1,5057,264,5321,THUDM/GLM-4-32B-0414
2026-07-08T16:50:58,688195_chunks_0004_0004,688195,1,9079,1,5011,218,5229,THUDM/GLM-4-32B-0414
2026-07-08T16:51:06,688195_chunks_0005_0005,688195,1,8842,1,5020,229,5249,THUDM/GLM-4-32B-0414
2026-07-08T16:51:14,688195_chunks_0006_0006,688195,1,8404,1,5051,210,5261,THUDM/GLM-4-32B-0414
2026-07-08T16:51:22,688195_chunks_0007_0007,688195,1,7805,1,5003,243,5246,THUDM/GLM-4-32B-0414
2026-07-08T16:51:29,688195_chunks_0008_0008,688195,1,8006,1,4894,166,5060,THUDM/GLM-4-32B-0414
2026-07-08T16:51:38,688195_chunks_0009_0009,688195,1,7533,1,4736,238,4974,THUDM/GLM-4-32B-0414
2026-07-08T16:51:46,688195_chunks_0010_0010,688195,1,8279,1,5064,243,5307,THUDM/GLM-4-32B-0414
2026-07-08T16:51:55,688195_chunks_0011_0011,688195,1,7973,1,4930,218,5148,THUDM/GLM-4-32B-0414
2026-07-08T16:52:02,688195_chunks_0012_0012,688195,1,8134,1,5061,203,5264,THUDM/GLM-4-32B-0414
2026-07-08T16:52:10,688195_chunks_0013_0013,688195,1,8425,1,4916,235,5151,THUDM/GLM-4-32B-0414
2026-07-08T16:52:18,688329_chunks_0001_0001,688329,1,8644,1,5050,180,5230,THUDM/GLM-4-32B-0414
2026-07-08T16:52:25,688329_chunks_0002_0002,688329,1,9019,1,5053,200,5253,THUDM/GLM-4-32B-0414
2026-07-08T16:52:33,688329_chunks_0003_0003,688329,1,9370,1,5056,196,5252,THUDM/GLM-4-32B-0414
2026-07-08T16:52:41,688329_chunks_0004_0004,688329,1,9235,1,5048,214,5262,THUDM/GLM-4-32B-0414
2026-07-08T16:52:49,688329_chunks_0005_0005,688329,1,8195,1,5014,247,5261,THUDM/GLM-4-32B-0414
2026-07-08T16:52:58,688329_chunks_0006_0006,688329,1,8019,1,5002,285,5287,THUDM/GLM-4-32B-0414
2026-07-08T16:53:07,688329_chunks_0007_0007,688329,1,7494,1,4978,311,5289,THUDM/GLM-4-32B-0414
2026-07-08T16:53:14,688329_chunks_0008_0008,688329,1,7963,1,4954,175,5129,THUDM/GLM-4-32B-0414
2026-07-08T16:53:21,688329_chunks_0009_0009,688329,1,5393,1,3120,191,3311,THUDM/GLM-4-32B-0414
2026-07-08T16:53:29,688661_chunks_0001_0001,688661,1,8899,1,5049,206,5255,THUDM/GLM-4-32B-0414
2026-07-08T16:53:38,688661_chunks_0002_0002,688661,1,8960,1,5029,223,5252,THUDM/GLM-4-32B-0414
2026-07-08T16:53:48,688661_chunks_0003_0003,688661,1,9015,1,5056,203,5259,THUDM/GLM-4-32B-0414
2026-07-08T16:53:55,688661_chunks_0004_0004,688661,1,9274,1,5029,211,5240,THUDM/GLM-4-32B-0414
2026-07-08T16:54:04,688661_chunks_0005_0005,688661,1,9145,1,5025,252,5277,THUDM/GLM-4-32B-0414
