sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy,source_shard
688358,祥生医疗,1207116567,首次公开发行股票并在科创板上市招股说明书,2019-11-27,final_prospectus,ok,94547,17,17,17,94547,3866,61669,1937,881,76,270,0.3722913991656118,-11.411764705882351,2.514653733863812,124,174,110,79,206,64,True,token_proxy,31.83737738771296,31.83737738771296,siliconflow_glm4_32b_table2_next100_shard1_20260708
688357,建龙微纳,1207119374,首次公开发行股票并在科创板上市招股说明书,2019-11-28,final_prospectus,ok,94260,17,17,17,94260,3965,65810,1987,936,89,302,0.3279025262760692,-12.529411764705882,2.3728743533907535,176,172,128,158,219,83,True,token_proxy,33.1202818319074,33.1202818319074,siliconflow_glm4_32b_table2_next100_shard1_20260708
688399,硕世生物,1207122312,首次公开发行股票并在科创板上市招股说明书,2019-11-29,final_prospectus,ok,134894,23,23,23,134894,5094,87768,2554,1240,111,180,0.1555644912395655,-3.0,1.7984759040158451,260,349,216,173,131,49,True,token_proxy,34.364917776037586,34.364917776037586,siliconflow_glm4_32b_table2_next100_shard1_20260708
688198,佰仁医疗,1207130602,首次公开发行股票并在科创板上市招股说明书,2019-12-03,final_prospectus,ok,120656,21,21,21,120656,5402,79244,2705,1247,119,176,0.139374334210263,-2.7142857142857144,1.7252590541523234,288,342,249,192,127,49,True,token_proxy,29.295378927911276,29.295378927911276,siliconflow_glm4_32b_table2_next100_shard1_20260708
688258,卓易信息,1207126567,首次公开发行股票并在科创板上市招股说明书,2019-12-02,final_prospectus,ok,99923,18,18,18,99923,3979,68451,1994,1010,78,271,0.2323199958037887,-10.72222222222222,1.9643064757338125,193,237,131,118,247,24,True,token_proxy,34.32848545636911,34.32848545636911,siliconflow_glm4_32b_table2_next100_shard1_20260708
688039,当虹科技,1207141672,首次公开发行股票并在科创板上市招股说明书,2019-12-06,final_prospectus,ok,90095,15,15,15,90095,3896,56459,1951,820,76,221,0.2297098197264444,-9.666666666666666,2.0034680954008945,153,202,129,115,175,46,True,token_proxy,28.938493080471552,28.938493080471552,siliconflow_glm4_32b_table2_next100_shard1_20260708
688037,芯源微,1207150125,首次公开发行股票并在科创板上市招股说明书,2019-12-10,final_prospectus,ok,71361,13,13,13,71361,3062,47650,1534,763,64,329,0.3644725174231581,-20.384615384615383,2.420859973577863,106,140,86,102,290,39,True,token_proxy,31.0625814863103,31.0625814863103,siliconflow_glm4_32b_table2_next100_shard1_20260708
688089,嘉必优,1207165961,首次公开发行股票并在科创板上市招股说明书,2019-12-16,final_prospectus,ok,97145,16,16,16,97145,3989,62300,1998,939,84,121,0.1315140311338753,-2.3125,1.6299826351294673,277,243,170,128,89,32,True,token_proxy,31.18118118118118,31.18118118118118,siliconflow_glm4_32b_table2_next100_shard1_20260708
688268,华特气体,1207147509,首次公开发行股票并在科创板上市招股意向书,2019-12-09,intention_prospectus,ok,108242,21,21,21,108242,4422,77316,2218,1041,95,239,0.3084295357698267,-6.857142857142857,1.987321943757744,321,219,141,121,193,46,True,token_proxy,34.85843101893598,34.85843101893598,siliconflow_glm4_32b_table2_next100_shard1_20260708
688181,八亿时空,1207208602,首次公开发行股票并在科创板上市招股说明书,2019-12-31,final_prospectus,ok,97745,17,17,17,97745,4050,64297,2031,984,89,405,0.4162694554096179,-18.58823529411765,2.56392164205328,147,175,128,129,354,51,True,token_proxy,31.65780403741999,31.65780403741999,siliconflow_glm4_32b_table2_next100_shard1_20260708
