label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model,source_shard
688026_chunks_0001_0001,5055,239,5294,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0002_0002,5061,239,5300,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0003_0003,5061,190,5251,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0004_0004,5046,208,5254,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0005_0005,4969,198,5167,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0006_0006,5015,217,5232,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0007_0007,4922,231,5153,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0008_0008,4838,197,5035,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0009_0009,5064,223,5287,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0010_0010,4987,199,5186,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0011_0011,5065,272,5337,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0012_0012,5028,306,5334,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0013_0013,5047,193,5240,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0014_0014,4548,265,4813,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
688026_chunks_0015_0015,5032,140,5172,stop,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next100_shard1_20260708
