metric,glm_mean,codex_mean,paper_mean,glm_median,codex_median,source_shard
Summary_len_proxy,121.0744680851064,132.44414893617022,132.678,119.0,133.0,siliconflow_glm4_32b_table2_next100_shard1_20260708
Redundancy_chunk_proxy,34.479903122808174,30.140806829556613,32.176,32.40650406504065,,siliconflow_glm4_32b_table2_next100_shard1_20260708
Relevant_score,2.048149670414885,2.3718806708514464,,1.7459677419354838,2.409307359307359,siliconflow_glm4_32b_table2_next100_shard1_20260708
Summary_len_proxy,122.16890080428956,131.09383378016085,132.678,122.0,131.0,siliconflow_glm4_32b_table2_next100_shard2_20260708
Redundancy_chunk_proxy,34.87260601629529,30.6654936575048,32.176,31.904,,siliconflow_glm4_32b_table2_next100_shard2_20260708
Relevant_score,1.9827760558381649,2.300259222680258,,1.7592592592592593,2.3461538461538463,siliconflow_glm4_32b_table2_next100_shard2_20260708
Summary_len_proxy,128.55276381909547,133.21859296482413,132.678,123.0,133.0,siliconflow_glm4_32b_table2_next100_shard3_20260708
Redundancy_chunk_proxy,32.80739102766819,29.807799350792095,32.176,31.133042279411764,,siliconflow_glm4_32b_table2_next100_shard3_20260708
Relevant_score,2.088635027722403,2.38112912337953,,1.8148148148148149,2.3732142857142855,siliconflow_glm4_32b_table2_next100_shard3_20260708
Summary_len_proxy,125.371875,127.15625,132.678,122.0,128.0,siliconflow_glm4_32b_table2_next100_shard4_20260708
Redundancy_chunk_proxy,33.446394280072205,31.027319487283272,32.176,31.397637795275593,,siliconflow_glm4_32b_table2_next100_shard4_20260708
Relevant_score,2.0975945560473823,2.2428316902589325,,1.824074074074074,2.295873397435898,siliconflow_glm4_32b_table2_next100_shard4_20260708
Summary_len_proxy,120.33910034602076,134.10726643598616,132.678,117.0,135.0,siliconflow_glm4_32b_table2_next100_shard5_20260708
Redundancy_chunk_proxy,33.61177826900181,29.689409589458823,32.176,33.016806722689076,,siliconflow_glm4_32b_table2_next100_shard5_20260708
Relevant_score,2.058427530965473,2.3181008470913125,,1.837719298245614,2.4166666666666665,siliconflow_glm4_32b_table2_next100_shard5_20260708
