custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688358_1207116567_glm4_dewrap_join_chunk_0001,688358,祥生医疗,1207116567,1,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7117,6750,3976,3976,17,3976,glm4_dewrap_join_full543_20260705,248,248,"祥生医疗是超声医学影像设备提供商，拥有完整自主知识产权，专注于超声医学影像设备的研发、制造和销售。公司产品包括推车式彩超、便携式彩超等，多次入选国家重点产品目录，产品远销100多个国家和地区。2018年全球超声医学影像设备市场份额4.47%，国内市场份额4.06%。公司主营业务收入逐年增长，2019年1-6月达15,993.86万元。公司采取经销为主、直销为辅的销售模式，与巴德、佳能等国际知名企业有ODM合作。公司掌握从二维到四维超声的全套核心技术，并承担国家科技支撑计划及重点研发计划项目。",124,68,68,0,10,22,18,12,5,1,6,0.08823529411764706,6,0,1.75,
688358_1207116567_glm4_dewrap_join_chunk_0002,688358,祥生医疗,1207116567,2,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7173,6688,3947,3947,17,3947,glm4_dewrap_join_full543_20260705,203,203,发行人现有销售的产品在我国属于第Ⅱ类医疗器械，在欧盟属于IIa类，在美国属于II类，在加拿大属于III类。发行人连续多年被认定为高新技术企业，享受国家税收优惠，旗下产品多次被列入国家重点产品清单。超声医学影像设备是医院、影像中心等医疗机构内常用的临床诊断仪器，具备安全、无创、应用广泛、实时、经济、便携等优点。近年来，全球超声医学影像设备市场保持稳定发展态势，中国已成为全球最大的超声医学影像设备消费市场。,102,62,62,0,24,28,6,3,1,0,1,0.016129032258064516,4,3,0.8548387096774194,
688358_1207116567_glm4_dewrap_join_chunk_0003,688358,祥生医疗,1207116567,3,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7147,6868,3954,3954,17,3954,glm4_dewrap_join_full543_20260705,228,228,公司承担国家科技支撑计划课题，攻克超声核心部件国产化难题，产品多次入围政府高新技术产品目录。公司自主研发低功耗便携式彩超和全功能平板彩超，便携式超声占总销量比例超70%。公司掌握乳腺三维超声容积成像系统核心技术并取得专利，形成乳腺专用三维超声仪。公司超声人工智能技术实现3项国际先进，取得3项软件著作权，启动FDA和注册工作。公司全球市场份额4.47%，国内市场份额4.06%，产品覆盖30多个省市自治区。公司拥有177项授权专利，包括42项中国发明专利。,114,62,62,0,15,18,12,8,6,3,9,0.14516129032258066,6,-3,1.6935483870967742,
688358_1207116567_glm4_dewrap_join_chunk_0004,688358,祥生医疗,1207116567,4,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6858,6306,3957,3957,17,3957,glm4_dewrap_join_full543_20260705,288,288,祥生医疗是江苏省科技厅认定的高新技术企业，在无锡和美国设有研发中心，拥有多项资质评定。公司核心技术人员包括国家“千人计划”专家和“江苏省双创人才”。公司承担了多项国家级、省部级科研项目，如“十三五”国家重点研发计划等。公司具备较强的产品开发和生产工艺优势，产品获得FDA注册、CE认证。公司建立了覆盖全球100多个国家和地区的营销网络，并在国内外设有售后服务中心。公司董事长和总经理均享有国家级或省级荣誉称号。祥生医疗在超声医学影像设备领域与迈瑞医疗、开立医疗等国内企业及GE医疗、飞利浦等国际巨头竞争，在便携式、小型化超声设备研发方面具有优势，并承担了国家重点研发计划项目。,144,60,60,0,10,15,12,10,10,3,13,0.21666666666666667,6,-7,2.066666666666667,
688358_1207116567_glm4_dewrap_join_chunk_0005,688358,祥生医疗,1207116567,5,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7474,6663,3911,3911,17,3911,glm4_dewrap_join_full543_20260705,201,201,发行人在高端彩超关键技术方面已达到与GE、飞利浦同台竞技水平，并在便携式、专科超声方面具有优势。公司主营业务收入主要来自超声医学影像设备，2018年达3.27亿元。公司采用以经销为主、直销为辅的销售模式，2018年经销收入占比69.07%。公司以出口销售为主，2018年外销占比75.12%，产品覆盖全球100多个国家及地区。公司2018年前五大客户销售收入占比32.63%，不存在对单一客户重大依赖。,101,49,49,0,0,15,10,12,10,2,12,0.24489795918367346,6,-6,2.4693877551020407,
688358_1207116567_glm4_dewrap_join_chunk_0006,688358,祥生医疗,1207116567,6,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7053,6224,3992,3992,17,3992,glm4_dewrap_join_full543_20260705,217,217,报告期内，发行人前五大经销客户与发行人及其关联方均不存在关联关系或潜在关联关系。发行人原材料主要分为电子元器件、结构件、线缆、加工费及其他，其中电子元器件采购金额占比最高。发行人掌握了完整的超声主机、探头核心技术，可以以最基本的电子元器件、陶瓷片、化学原料等为原材料加工成完整的超声主机和探头。发行人探头为自主研发、自主生产，单个探头的平均材料成本在0.07~0.08万元，探头成本占全部营业成本的比例为12%~20%，占比相对较低。,109,62,62,0,0,0,0,0,0,0,0,0.0,0,0,,
688358_1207116567_glm4_dewrap_join_chunk_0007,688358,祥生医疗,1207116567,7,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6063,5640,3879,3879,17,3879,glm4_dewrap_join_full543_20260705,221,221,报告期内，公司探头原材料采购与生产入库量存在勾稽关系。同轴电缆、插头采购量与探头生产入库量基本接近1:1，而陶瓷片采购量与探头生产入库量平均比例为1.71，主要因陶瓷片存在正常损耗和报废。公司探头良率由2016年的58.10%提升至2019年1-6月的79.50%，单个探头所需陶瓷片逐年下降。陶瓷片研发领用和工程试制消耗较多，但单位价格较低，对成本影响微小。公司通过工艺改进、设备升级等措施提升探头良率，解决彩超探头需求大增与良率低的矛盾。,111,48,48,0,12,15,10,6,4,1,5,0.10416666666666667,5,0,1.5416666666666667,
688358_1207116567_glm4_dewrap_join_chunk_0008,688358,祥生医疗,1207116567,8,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6105,5447,3936,3936,17,3936,glm4_dewrap_join_full543_20260705,241,241,彩超探头陶瓷片比黑白超更薄窄，加工难度高，良率低于黑白超。公司通过工艺改进、材料改进、设备改进、人员管理和设计优化等措施提升彩超探头良率。公司主要原材料采购与生产领用金额占营业成本比例在4%~9%之间，相对平稳。彩超探头销量与主机销量的匹配关系基本在2.3~3.3之间，具有合理性。公司主要原材料采购价格呈下降趋势，原材料采购价格变动对公司毛利率影响较小。公司外协加工费用占采购总额比例较低，外协加工所形成的成本占营业成本比重稳定。公司进口采购的原材料主要包括电子元器件和其他物料。,121,48,48,0,12,15,10,7,3,1,4,0.08333333333333333,5,1,1.5208333333333333,
688358_1207116567_glm4_dewrap_join_chunk_0009,688358,祥生医疗,1207116567,9,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5679,5103,3558,3558,17,3558,glm4_dewrap_join_full543_20260705,340,340,公司从事超声医学影像设备的研发、生产和制造，上游零配件涉及电子元器件、结构件、线缆等大类，近6500种规格，供应商达400多家，采购较为分散。报告期内，前五大供应商采购占比分别为35.85%、31.33%、32.26%和33.62%，剔除第一大供应商英捷迅后，采购更为分散。公司对PCBA板、线缆和悬臂等采用外协加工，前五大外协厂商采购额占外协总采购额的比例逐年下降，从2016年的96.38%降至2019年1-6月的77.22%，不存在外协供应商依赖。主要外协供应商对发行人的销售价格与其对第三方的销售价格基本一致，价格公允。主要供应商包括深圳市英捷迅实业发展有限公司、深圳市嘉利达专显科技有限公司、莘谷电子（上海）有限公司等，合作年限较长，采购内容与主要供应商的主营业务相符。,170,62,62,0,12,20,15,8,5,2,7,0.11290322580645161,6,-1,1.6774193548387097,
688358_1207116567_glm4_dewrap_join_chunk_0010,688358,祥生医疗,1207116567,10,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5552,4799,3649,3649,17,3649,glm4_dewrap_join_full543_20260705,184,184,"祥生医疗拥有自有房产和租赁房屋，固定资产包括房屋及建筑物、机器设备、运输工具和其他设备，账面原值合计5,886.54万元。主要机器设备包括模具、超声诊断仪、划片机等，账面原值合计2,782.54万元。祥生医疗拥有三宗土地使用权，总面积约76,081.80平方米，使用年限至2053年至2067年不等。公司共拥有注册商标60项，其中境内34项，境外26项，均为原始取得。",92,62,62,0,0,0,0,0,0,0,0,0.0,0,0,,
688358_1207116567_glm4_dewrap_join_chunk_0011,688358,祥生医疗,1207116567,11,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,4690,4231,3122,3122,17,3122,glm4_dewrap_join_full543_20260705,112,122,祥生医疗及其子公司共拥有 177 项境内外已授权专利，其中境内已授权发明专利 42 项，境外已授权发明专利 5 项，实用新型专利 68 项，外观设计专利 62 项。公司拥有多项核心技术专利，包括超声融合谐波影像系统、超声诊断仪的复合成像方法等。,56,2,62,1,0,0,0,0,2,0,2,1.0,2,0,4.0,
688358_1207116567_glm4_dewrap_join_chunk_0012,688358,祥生医疗,1207116567,12,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,4552,4141,3105,3105,17,3105,glm4_dewrap_join_full543_20260705,204,204,祥生医疗拥有多项境内授权发明专利，涵盖医用超声设备密封结构、便携式诊断设备推车、超声设备键盘转向机、显示屏位置可调的超声诊断仪等核心技术。公司还拥有医用三维超声换能器、超声换能器柔性电路板及凸阵探头等专利，以及便携式超声装置、超声键盘装置、便携式超声电源系统等创新设计。此外，公司还拥有台式超声系统、便携式超声诊断仪、乳腺超声诊断装置等多款外观设计专利，体现了公司在医用超声设备领域的研发实力和产品创新能力。,102,68,68,0,0,0,0,0,68,0,68,1.0,4,-64,4.0,
688358_1207116567_glm4_dewrap_join_chunk_0013,688358,祥生医疗,1207116567,13,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6041,5383,3751,3751,17,3751,glm4_dewrap_join_full543_20260705,158,158,祥生医疗拥有63项已登记的著作权，包括超声诊断软件、智能超声影像辅助诊断软件等。公司拥有多项境内专利，如相控阵探头、超声换能器、便携式超声诊断设备等，以及多项境外发明专利，如超声融合谐波影像系统和方法、便携式超声成像装置等。这些专利和著作权构成了公司核心技术的基础，体现了公司在超声诊断领域的研发实力和知识产权积累。,79,80,80,0,0,0,0,0,40,40,80,1.0,5,-75,4.5,
688358_1207116567_glm4_dewrap_join_chunk_0014,688358,祥生医疗,1207116567,14,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0014.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6255,5544,3533,3533,17,3533,glm4_dewrap_join_full543_20260705,213,214,祥生医疗拥有32项核心技术，涵盖全身应用超声、专用超声、智能超声及探头核心部件领域。公司持有大量软件著作权，包括CHISON8800、CHISON600M Pro等超声诊断软件。祥生医疗取得医疗器械生产许可证、第二类医疗器械经营备案凭证等生产经营资质，以及对外贸易经营者备案登记表等进出口经营资质。公司产品获得《医疗器械注册证》及多项FDA注册、CE认证和加拿大注册证书。作为国家高新技术企业，祥生医疗专注于超声技术研发和创新。,107,72,72,0,22,18,12,10,8,2,10,0.1388888888888889,5,-5,1.5833333333333333,
688358_1207116567_glm4_dewrap_join_chunk_0015,688358,祥生医疗,1207116567,15,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0015.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6629,6140,3997,3997,17,3997,glm4_dewrap_join_full543_20260705,354,354,祥生医疗拥有多模式复合成像技术、动态帧频优先技术、自适应动态范围调整技术等核心技术，并已获得多项专利授权。公司还掌握了乳腺三维超声容积成像系统、自适配超声演示系统、远程实时动态超声影像传输技术等专用超声及智能超声领域的核心技术。在探头技术方面，公司突破了1-3复合材料换能器技术、单晶材料换能器技术等，提升了探头性能。祥生医疗坚持科技创新，核心技术均具有自主知识产权，并已成功应用于现有及未来的超声医学影像设备主机及探头上。报告期内，公司核心技术产品收入占比分别为84.85%、84.72%、83.70%和77.69%，且逐年稳定上升。公司技术团队持股比例合理，研发体系稳定，具有可持续性。报告期内，公司研发费用占营业收入的比例分别为13.99%、12.65%、12.20%和16.95%，研发投入持续增长。,177,23,62,1,0,0,0,0,15,8,23,1.0,6,-17,4.3478260869565215,
688358_1207116567_glm4_dewrap_join_chunk_0016,688358,祥生医疗,1207116567,16,17,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/chunks/688358_1207116567_glm4_dewrap_join_chunk_0016.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6676,6166,3888,3888,17,3888,glm4_dewrap_join_full543_20260705,215,215,祥生医疗营业收入逐年增长，研发费用占比保持在12%-16%之间。公司获得国家及省级科技奖项25项，承担国家重点研发计划等重大科研项目9项。公司设有无锡总部和美国华盛顿州两大研发中心，拥有江苏省工程技术研究中心等资质。在研项目包括乳腺三维超声容积成像系统、高端心脏超声诊断系统等，技术储备涵盖剪切波、平面波、人工智能算法等，部分技术达到国际先进水平。公司研发中心采用矩阵式管理模式，建立了完善的人才选拔、培养、交流、晋升及激励机制。,108,25,78,1,0,0,0,0,25,0,25,1.0,5,-20,4.0,
