sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688360,德马科技,1207863559,首次公开发行股票并在科创板上市招股说明书,2020-05-27,final_prospectus,ok,132334,22,22,22,132334,5730,85035,2871,1291,118,324,0.25277052130500405,-9.363636363636363,2.105692421995258,239,310,222,196,259,65,True,token_proxy,29.618599791013583,29.618599791013583
688312,燕麦科技,1207885323,深圳市燕麦科技股份有限公司首次公开发行股票并在科创板上市招股说明书,2020-06-02,final_prospectus,ok,68206,12,12,12,68206,3086,44998,1546,615,61,96,0.22964412169159001,-2.9166666666666665,2.0700412502124745,127,150,108,87,72,24,True,token_proxy,29.10608020698577,29.10608020698577
688599,天合光能,1207894620,首次公开发行股票并在科创板上市招股说明书,2020-06-04,final_prospectus,ok,167335,28,28,28,167335,7104,107849,3557,1462,144,242,0.21348775591457061,-3.5,2.108713668687455,261,374,235,290,171,71,True,token_proxy,30.320213663199326,30.320213663199326
688004,博汇科技,1207907543,首次公开发行股票并在科创板上市招股说明书,2020-06-09,final_prospectus,ok,111540,18,18,18,111540,4934,68717,2473,1130,90,399,0.3016088059389032,-17.166666666666668,2.132812496660354,208,243,158,122,364,35,True,token_proxy,27.78689850384149,27.78689850384149
688106,金宏气体,1207916424,首次公开发行股票并在科创板上市招股说明书,2020-06-11,final_prospectus,ok,104371,18,18,18,104371,4918,68111,2464,954,100,241,0.2607117740298126,-7.833333333333333,2.1862794134631667,168,237,142,166,174,67,True,token_proxy,27.6424512987013,27.6424512987013
688505,复旦张江,1207919883,首次公开发行股票并在科创板上市招股说明书,2020-06-12,final_prospectus,ok,108679,18,18,18,108679,4650,69881,2330,976,92,166,0.21429460374352846,-4.111111111111111,1.9508502408407533,201,256,159,126,133,33,True,token_proxy,29.99184549356223,29.99184549356223
688518,联赢激光,1207927479,首次公开发行股票并在科创板上市招股说明书,2020-06-16,final_prospectus,ok,144805,25,25,25,144805,6379,96809,3195,1574,129,485,0.25561630206402175,-14.24,2.071368145676266,279,355,242,213,434,51,True,token_proxy,30.300156494522692,30.300156494522692
688555,泽达易盛,1207927828,首次公开发行股票并在科创板上市招股说明书,2020-06-16,final_prospectus,ok,123887,20,20,20,123887,4856,75616,2435,1088,103,125,0.15197630402523787,-1.1,1.6484963595878028,331,309,192,131,95,30,True,token_proxy,31.053798767967145,31.053798767967145
688558,国盛智科,1207950784,首次公开发行股票并在科创板上市招股说明书,2020-06-23,final_prospectus,ok,124393,22,22,22,124393,5074,82662,2542,1244,108,305,0.25870835565983746,-8.954545454545455,2.2052243507210125,208,280,204,247,254,51,True,token_proxy,32.51848937844217,32.51848937844217
688528,秦川物联,1207950314,首次公开发行股票并在科创板上市招股说明书,2020-06-23,final_prospectus,ok,147049,27,27,27,147049,6381,101425,3199,1669,132,759,0.39139858241689496,-23.22222222222222,2.624255757952144,181,244,186,240,643,116,True,token_proxy,31.705220381369177,31.705220381369177
688600,皖仪科技,1207963014,首次公开发行股票并在科创板上市招股说明书,2020-06-29,final_prospectus,ok,99129,17,17,17,99129,4679,63297,2344,902,92,254,0.3282831136314465,-9.529411764705882,2.239296705723922,190,211,122,125,190,64,True,token_proxy,27.003839590443686,27.003839590443686
688277,天智航,1207969765,首次公开发行股票并在科创板上市招股说明书,2020-06-30,final_prospectus,ok,99714,16,16,16,99714,3706,59593,1859,854,86,127,0.18728725832503312,-2.5625,1.8548135142607454,209,241,161,116,89,38,True,token_proxy,32.0564819795589,32.0564819795589
688377,迪威尔,1207978425,首次公开发行股票并在科创板上市招股说明书,2020-07-01,final_prospectus,ok,122713,21,21,21,122713,5654,79213,2832,1207,107,346,0.2746521180583515,-11.380952380952381,2.121582105960664,224,246,169,162,313,33,True,token_proxy,27.97069209039548,27.97069209039548
688568,中科星图,1207992526,首次公开发行股票并在科创板上市招股说明书,2020-07-02,final_prospectus,ok,111106,21,21,21,111106,7332,73917,3671,1687,84,626,0.4893940519719372,-25.80952380952381,2.703294355079965,447,153,118,343,580,46,True,token_proxy,20.13538545355489,20.13538545355489
688027,国盾量子,1207992273,首次公开发行股票并在科创板上市招股说明书,2020-07-02,final_prospectus,ok,122245,20,20,20,122245,4927,78084,2468,1112,110,214,0.21739033218070297,-5.2,1.916099434805116,273,270,168,187,170,44,True,token_proxy,31.638573743922205,31.638573743922205
688060,云涌科技,1208009591,首次公开发行股票并在科创板上市招股说明书,2020-07-07,final_prospectus,ok,74016,12,12,12,74016,2990,45219,1497,736,65,120,0.1614118845199237,-4.583333333333333,1.7648895952929768,171,202,132,111,88,32,True,token_proxy,30.206412825651302,30.206412825651302
688309,恒誉环保,1208016754,首次公开发行股票并在科创板上市招股说明书,2020-07-09,final_prospectus,ok,156265,26,26,26,156265,6168,99301,3089,1427,140,266,0.20300460458474198,-4.846153846153846,1.882334319800243,329,391,235,206,182,84,True,token_proxy,32.14664940110068,32.14664940110068
688165,埃夫特,1208016410,首次公开发行股票并在科创板上市招股说明书,2020-07-09,final_prospectus,ok,94293,16,16,16,94293,4071,60303,2040,996,84,311,0.27162220084750577,-14.1875,2.169442235233963,168,208,165,144,263,48,True,token_proxy,29.560294117647057,29.560294117647057
688180,君实生物,1208012472,首次公开发行股票并在科创板上市招股说明书,2020-07-08,final_prospectus,ok,136710,23,23,23,136710,5690,89313,2850,1214,116,180,0.17144648727497855,-2.782608695652174,1.7546615347018573,281,334,206,155,132,48,True,token_proxy,31.337894736842106,31.337894736842106
688500,慧辰资讯,1208025383,首次公开发行股票并在科创板上市招股说明书,2020-07-13,final_prospectus,ok,100078,16,16,16,100078,3797,61305,1902,841,79,145,0.21592299368764933,-4.125,1.967776368859248,185,205,130,116,88,57,True,token_proxy,32.23186119873817,32.23186119873817
