sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,section_status,tech_text_compact_chars,chunk_count,chunks,completed_chunks,original_compact_chars,summary_compact_chars,original_length_units,summary_length_units,sentence_count_sum,summary_sentence_count_sum,high_score_count_sum,high_score_share_mean,summary_high_score_gap_mean,relevant_score_mean,n0_sum,n1_sum,n2_sum,n3_sum,n4_sum,n5_sum,llm_complete,length_mode,redundancy_partial,redundancy
688055,龙腾光电,1208153501,首次公开发行股票并在科创板上市招股说明书,2020-08-12,final_prospectus,ok,88064,15,15,15,88064,3829,57274,1918,815,83,148,0.18410388951095555,-4.333333333333333,2.066833361779598,137,197,148,185,105,43,True,token_proxy,29.861313868613138,29.861313868613138
688229,博睿数据,1208149150,首次公开发行股票并在科创板上市招股说明书,2020-08-11,final_prospectus,ok,114631,18,18,18,114631,4380,69379,2195,1010,94,165,0.17592202909080001,-3.9444444444444446,1.9083685757867082,172,283,188,140,126,39,True,token_proxy,31.607744874715262,31.607744874715262
688335,复洁环保,1208149056,首次公开发行股票并在科创板上市招股说明书,2020-08-11,final_prospectus,ok,97052,16,16,16,97052,4145,61206,2076,914,88,209,0.23678969084853074,-7.5625,2.098222594562482,172,227,158,148,136,73,True,token_proxy,29.482658959537574,29.482658959537574
688519,南亚新材,1208153542,首次公开发行股票并在科创板上市招股说明书,2020-08-12,final_prospectus,ok,49267,9,9,9,49267,2076,32993,1040,402,46,97,0.31655304100381965,-5.666666666666667,2.4600204298132553,64,82,62,97,82,15,True,token_proxy,31.724038461538463,31.724038461538463
688521,芯原股份,1208159528,首次公开发行股票并在科创板上市招股说明书,2020-08-13,final_prospectus,ok,63156,10,10,10,63156,2780,38138,1393,563,55,84,0.14912560840675412,-2.9,1.7991267970542562,104,176,111,88,67,17,True,token_proxy,27.37832017229002,27.37832017229002
688379,华光新材,1208159550,首次公开发行股票并在科创板上市招股说明书,2020-08-13,final_prospectus,ok,87541,16,16,16,87541,3454,60103,1731,851,87,176,0.21401910875178218,-5.5625,2.0281054931640643,169,206,152,148,125,51,True,token_proxy,34.72154823801271,34.72154823801271
688393,安必平,1208170306,首次公开发行股票并在科创板上市招股说明书,2020-08-14,final_prospectus,ok,122345,20,20,20,122345,4733,78687,2372,1089,110,179,0.20153842722391108,-3.45,1.915585684178426,234,301,202,173,140,39,True,token_proxy,33.17327150084317,33.17327150084317
688596,正帆科技,1208170289,首次公开发行股票并在科创板上市招股说明书,2020-08-14,final_prospectus,ok,81490,14,14,14,81490,3800,52978,1904,792,77,164,0.253051159647011,-6.214285714285714,2.0852978738474914,156,205,145,122,118,46,True,token_proxy,27.824579831932773,27.824579831932773
688356,键凯科技,1208196506,首次公开发行股票并在科创板上市招股说明书,2020-08-19,final_prospectus,ok,84199,14,14,14,84199,3650,54520,1828,762,77,188,0.24999129646385101,-7.928571428571429,2.088320819879411,149,185,131,109,140,48,True,token_proxy,29.824945295404813,29.824945295404813
688017,绿的谐波,1208236965,首次公开发行股票并在科创板上市招股说明书,2020-08-25,final_prospectus,ok,64309,11,11,11,64309,2788,39815,1396,565,57,112,0.25968965931509697,-5.0,2.109904389589813,112,154,101,86,82,30,True,token_proxy,28.520773638968482,28.520773638968482
