ts,label,sec_code,chunks,prompt_chars,items_returned,prompt_tokens,completion_tokens,total_tokens,model,source_shard
2026-07-07T21:52:03,688008_chunks_0010_0010,688008,1,6905,1,3742,263,4005,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T21:54:19,688011_chunks_0016_0016,688011,1,4872,1,2623,246,2869,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T21:56:19,688016_chunks_0015_0015,688016,1,2661,1,1483,205,1688,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T21:57:38,688020_chunks_0010_0010,688020,1,4052,1,2258,176,2434,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:01:09,688029_chunks_0026_0026,688029,1,8281,1,4719,233,4952,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:03:16,688088_chunks_0016_0016,688088,1,6201,1,3412,239,3651,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:05:48,688388_chunks_0019_0019,688388,1,3155,1,1749,145,1894,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:07:18,688168_chunks_0011_0011,688168,1,5748,1,3328,227,3555,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:11:45,688068_chunks_0024_0024,688068,1,2806,1,1549,183,1732,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:15:23,688366_chunks_0028_0028,688366,1,6513,1,3430,216,3646,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:18:19,688058_chunks_0022_0022,688058,1,4936,1,2686,310,2996,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:20:23,688202_chunks_0015_0015,688202,1,4828,1,2735,230,2965,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:22:51,688299_chunks_0018_0018,688299,1,3837,1,2285,238,2523,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:25:58,688300_chunks_0023_0023,688300,1,6758,1,3769,258,4027,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:29:16,688196_chunks_0025_0025,688196,1,4938,1,2810,297,3107,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard1_20260707
2026-07-07T22:29:50,688006_chunks_0014_0014,688006,1,3249,1,1807,145,1952,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:33:18,688009_chunks_0026_0026,688009,1,6069,1,3374,263,3637,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:34:37,688012_chunks_0009_0009,688012,1,3140,1,1736,174,1910,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:36:16,688018_chunks_0012_0012,688018,1,3803,1,2081,203,2284,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:38:42,688022_chunks_0018_0018,688022,1,4008,1,2325,208,2533,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:42:23,688033_chunks_0027_0027,688033,1,6877,1,4015,215,4230,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:44:47,688122_chunks_0017_0017,688122,1,2700,1,1507,135,1642,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:47:09,688188_chunks_0018_0018,688188,1,7718,1,4376,260,4636,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:49:05,688116_chunks_0014_0014,688116,1,6443,1,3685,255,3940,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:50:41,688139_chunks_0012_0012,688139,1,8274,1,4818,224,5042,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:53:15,688025_chunks_0019_0019,688025,1,7105,1,4148,250,4398,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:56:00,688023_chunks_0020_0020,688023,1,5224,1,2838,240,3078,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T22:58:27,688389_chunks_0018_0018,688389,1,5196,1,3041,214,3255,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T23:01:45,688363_chunks_0024_0024,688363,1,4207,1,2384,233,2617,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T23:04:39,688111_chunks_0023_0023,688111,1,3930,1,2149,242,2391,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T23:06:03,688310_chunks_0011_0011,688310,1,6217,1,3376,243,3619,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard2_20260707
2026-07-07T23:06:41,688003_chunks_0018_0018,688003,1,2555,1,1423,122,1545,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:08:49,688007_chunks_0016_0016,688007,1,8109,1,4754,203,4957,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:10:42,688010_chunks_0014_0014,688010,1,2800,1,1583,322,1905,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:12:45,688015_chunks_0015_0015,688015,1,5153,1,2778,247,3025,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:14:22,688019_chunks_0012_0012,688019,1,4774,1,2749,248,2997,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:16:30,688028_chunks_0016_0016,688028,1,8689,1,4862,234,5096,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:18:38,688066_chunks_0016_0016,688066,1,5710,1,3191,337,3528,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:21:48,688333_chunks_0024_0024,688333,1,8142,1,4678,191,4869,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:24:19,688321_chunks_0019_0019,688321,1,8398,1,4940,204,5144,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:27:10,688030_chunks_0022_0022,688030,1,5136,1,3002,213,3215,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:30:00,688108_chunks_0021_0021,688108,1,7583,1,4015,277,4292,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:31:50,688369_chunks_0014_0014,688369,1,7806,1,4199,255,4454,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:34:56,688199_chunks_0023_0023,688199,1,8406,1,4889,204,5093,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:37:40,688021_chunks_0019_0019,688021,1,6742,1,3931,261,4192,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:40:12,688101_chunks_0019_0019,688101,1,6720,1,3711,202,3913,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
2026-07-07T23:41:55,688138_chunks_0013_0013,688138,1,5820,1,3822,231,4053,THUDM/GLM-4-32B-0414,siliconflow_glm4_32b_table2_next50_shard3_20260707
