sec_code,sec_name,announcement_id,announcement_title,announcement_date,doc_type,pdf_url,download_status,pdf_file,txt_file,section_status,section_file,section_start_char,section_end_char,full_text_chars,tech_text_chars,tech_text_compact_chars,chunk_count,source_run_name,section_extraction_method,ocr_pdf_start_page,ocr_pdf_end_page,ocr_dpi,source_chunk_count,token_mode,max_units,tech_text_token_proxy,chunk_count_token_proxy,source_section_file,normalization_mode,tokenizer,max_tokens,tech_text_glm4_tokens,lnN_tech_glm4,year,source_dir
688001,华兴源创,1206416030,首次公开发行股票并在科创板上市招股说明书,2019-07-03,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-03/1206416030.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-03_688001_华兴源创_1206416030_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-03_688001_华兴源创_1206416030_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688001_1206416030_business_technology.txt,96643.0,222136.0,587538,114423,104898,17,,,,,,,glm4_dewrap_join,,66449,,results/star_first_batch_missing_20260706/business_technology_text/688001_1206416030_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,66449,11.1041900151192,,glm4_dewrap_join_first_batch25_20260706
688005,容百科技,1206447899,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447899.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688005_容百科技_1206447899_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688005_容百科技_1206447899_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688005_1206447899_business_technology.txt,158055.0,245507.0,685102,80038,74693,12,,,,,,,glm4_dewrap_join,,47744,,results/star_first_batch_missing_20260706/business_technology_text/688005_1206447899_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,47744,10.773608683563433,,glm4_dewrap_join_first_batch25_20260706
688008,澜起科技,1206441634,首次公开发行股票并在科创板上市招股说明书,2019-07-12,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-12/1206441634.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-12_688008_澜起科技_1206441634_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-12_688008_澜起科技_1206441634_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688008_1206441634_business_technology.txt,121792.0,194852.0,564123,66516,61411,10,,,,,,,glm4_dewrap_join,,37628,,results/star_first_batch_missing_20260706/business_technology_text/688008_1206441634_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,37628,10.535503733091842,,glm4_dewrap_join_first_batch25_20260706
688011,新光光电,1206447906,首次公开发行股票并在科创板上市招股说明书,2019-07-16,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-16/1206447906.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-16_688011_新光光电_1206447906_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-16_688011_新光光电_1206447906_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688011_1206447906_business_technology.txt,96093.0,207041.0,612700,101294,94648,16,,,,,,,glm4_dewrap_join,,60689,,results/star_first_batch_missing_20260706/business_technology_text/688011_1206447906_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,60689,11.013517741515043,,glm4_dewrap_join_first_batch25_20260706
688016,心脉医疗,1206452544,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-17/1206452544.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-17_688016_心脉医疗_1206452544_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-17_688016_心脉医疗_1206452544_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688016_1206452544_business_technology.txt,108408.0,211290.0,668288,97975,88069,15,,,,,,,glm4_dewrap_join,,56016,,results/star_first_batch_missing_20260706/business_technology_text/688016_1206452544_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,56016,10.933392643194448,,glm4_dewrap_join_first_batch25_20260706
688020,方邦股份,1206456394,首次公开发行股票并在科创板上市招股说明书,2019-07-18,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-18/1206456394.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-18_688020_方邦股份_1206456394_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-18_688020_方邦股份_1206456394_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688020_1206456394_business_technology.txt,66307.0,132586.0,423661,60516,54965,10,,,,,,,glm4_dewrap_join,,37065,,results/star_first_batch_missing_20260706/business_technology_text/688020_1206456394_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,37065,10.52042840709082,,glm4_dewrap_join_first_batch25_20260706
688029,南微医学,1206452542,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-17/1206452542.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-17_688029_南微医学_1206452542_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-17_688029_南微医学_1206452542_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688029_1206452542_business_technology.txt,85706.0,275740.0,987379,171025,156245,26,,,,,,,glm4_dewrap_join,,101151,,results/star_first_batch_missing_20260706/business_technology_text/688029_1206452542_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,101151,11.524369728854486,,glm4_dewrap_join_first_batch25_20260706
688088,虹软科技,1206452540,首次公开发行股票并在科创板上市招股说明书,2019-07-17,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-17/1206452540.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-17_688088_虹软科技_1206452540_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-17_688088_虹软科技_1206452540_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688088_1206452540_business_technology.txt,143925.0,268143.0,856743,113864,105176,16,,,,,,,glm4_dewrap_join,,61729,,results/star_first_batch_missing_20260706/business_technology_text/688088_1206452540_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,61729,11.030509115677916,,glm4_dewrap_join_first_batch25_20260706
688388,嘉元科技,1206456409,首次公开发行股票并在科创板上市招股说明书,2019-07-18,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-07-18/1206456409.PDF,ok,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/raw_pdf/2019-07-18_688388_嘉元科技_1206456409_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_first_batch_missing_20260706/text/2019-07-18_688388_嘉元科技_1206456409_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_join_first_batch25_20260706/business_technology_text/688388_1206456409_business_technology.txt,68353.0,193787.0,635554,115121,104910,19,,,,,,,glm4_dewrap_join,,71423,,results/star_first_batch_missing_20260706/business_technology_text/688388_1206456409_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,71423,11.176375225306858,,glm4_dewrap_join_first_batch25_20260706
688168,安博通,1206873448,首次公开发行股票并在科创板上市招股说明书,2019-09-03,final_prospectus,https://static.cninfo.com.cn/finalpage/2019-09-03/1206873448.PDF,ok,data/raw/cninfo_ipo_prospectus_star_20260628/raw_pdf/2019-09-03_688168_安博通_1206873448_首次公开发行股票并在科创板上市招股说明书.pdf,data/raw/cninfo_ipo_prospectus_star_20260628/text/2019-09-03_688168_安博通_1206873448_首次公开发行股票并在科创板上市招股说明书.txt,ok,results/glm4_dewrap_rechunk_trial_20260705/dewrap_join/business_technology_text/688168_1206873448_business_technology.txt,95377.0,173895.0,603809,71446,66224,11,star_token_proxy_150_20260630,,,,,9.0,glm4_dewrap_join,4000.0,41620,9.0,results/star_token_proxy_250_late50_20260702/business_technology_text/688168_1206873448_business_technology.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,41620,10.636336099947624,2019.0,glm4_dewrap_join_full543_20260705
