ts,label,sec_code,chunks,prompt_chars,items_returned,prompt_tokens,completion_tokens,total_tokens,model
2026-07-07T21:52:03,688008_chunks_0010_0010,688008,1,6905,1,3742,263,4005,THUDM/GLM-4-32B-0414
2026-07-07T21:52:12,688011_chunks_0001_0001,688011,1,8606,1,5052,281,5333,THUDM/GLM-4-32B-0414
2026-07-07T21:52:21,688011_chunks_0002_0002,688011,1,8515,1,5032,228,5260,THUDM/GLM-4-32B-0414
2026-07-07T21:52:29,688011_chunks_0003_0003,688011,1,9007,1,5050,251,5301,THUDM/GLM-4-32B-0414
2026-07-07T21:52:37,688011_chunks_0004_0004,688011,1,8997,1,5057,222,5279,THUDM/GLM-4-32B-0414
2026-07-07T21:52:45,688011_chunks_0005_0005,688011,1,9094,1,5048,206,5254,THUDM/GLM-4-32B-0414
2026-07-07T21:52:54,688011_chunks_0006_0006,688011,1,9051,1,5056,215,5271,THUDM/GLM-4-32B-0414
2026-07-07T21:53:03,688011_chunks_0007_0007,688011,1,8719,1,5057,212,5269,THUDM/GLM-4-32B-0414
2026-07-07T21:53:12,688011_chunks_0008_0008,688011,1,8673,1,4874,240,5114,THUDM/GLM-4-32B-0414
2026-07-07T21:53:20,688011_chunks_0009_0009,688011,1,7779,1,4739,235,4974,THUDM/GLM-4-32B-0414
2026-07-07T21:53:29,688011_chunks_0010_0010,688011,1,8046,1,5024,247,5271,THUDM/GLM-4-32B-0414
2026-07-07T21:53:40,688011_chunks_0011_0011,688011,1,7913,1,5062,416,5478,THUDM/GLM-4-32B-0414
2026-07-07T21:53:48,688011_chunks_0012_0012,688011,1,8021,1,4945,244,5189,THUDM/GLM-4-32B-0414
2026-07-07T21:53:56,688011_chunks_0013_0013,688011,1,7497,1,5042,211,5253,THUDM/GLM-4-32B-0414
2026-07-07T21:54:04,688011_chunks_0014_0014,688011,1,8212,1,5042,206,5248,THUDM/GLM-4-32B-0414
2026-07-07T21:54:12,688011_chunks_0015_0015,688011,1,8342,1,5026,233,5259,THUDM/GLM-4-32B-0414
2026-07-07T21:54:19,688011_chunks_0016_0016,688011,1,4872,1,2623,246,2869,THUDM/GLM-4-32B-0414
2026-07-07T21:54:28,688016_chunks_0001_0001,688016,1,8740,1,5058,222,5280,THUDM/GLM-4-32B-0414
2026-07-07T21:54:35,688016_chunks_0002_0002,688016,1,8890,1,5061,215,5276,THUDM/GLM-4-32B-0414
2026-07-07T21:54:44,688016_chunks_0003_0003,688016,1,9309,1,5061,227,5288,THUDM/GLM-4-32B-0414
2026-07-07T21:54:52,688016_chunks_0004_0004,688016,1,8917,1,5063,256,5319,THUDM/GLM-4-32B-0414
2026-07-07T21:55:00,688016_chunks_0005_0005,688016,1,8582,1,5023,159,5182,THUDM/GLM-4-32B-0414
2026-07-07T21:55:07,688016_chunks_0006_0006,688016,1,8738,1,5049,210,5259,THUDM/GLM-4-32B-0414
2026-07-07T21:55:16,688016_chunks_0007_0007,688016,1,9218,1,5065,237,5302,THUDM/GLM-4-32B-0414
2026-07-07T21:55:24,688016_chunks_0008_0008,688016,1,8932,1,5049,211,5260,THUDM/GLM-4-32B-0414
2026-07-07T21:55:32,688016_chunks_0009_0009,688016,1,8870,1,5049,244,5293,THUDM/GLM-4-32B-0414
2026-07-07T21:55:40,688016_chunks_0010_0010,688016,1,8874,1,4970,219,5189,THUDM/GLM-4-32B-0414
2026-07-07T21:55:50,688016_chunks_0011_0011,688016,1,8354,1,5047,225,5272,THUDM/GLM-4-32B-0414
2026-07-07T21:55:57,688016_chunks_0012_0012,688016,1,8617,1,4904,186,5090,THUDM/GLM-4-32B-0414
2026-07-07T21:56:04,688016_chunks_0013_0013,688016,1,8763,1,5052,183,5235,THUDM/GLM-4-32B-0414
2026-07-07T21:56:12,688016_chunks_0014_0014,688016,1,8667,1,5057,190,5247,THUDM/GLM-4-32B-0414
2026-07-07T21:56:19,688016_chunks_0015_0015,688016,1,2661,1,1483,205,1688,THUDM/GLM-4-32B-0414
2026-07-07T21:56:27,688020_chunks_0001_0001,688020,1,8640,1,5052,214,5266,THUDM/GLM-4-32B-0414
2026-07-07T21:56:35,688020_chunks_0002_0002,688020,1,8813,1,5064,195,5259,THUDM/GLM-4-32B-0414
2026-07-07T21:56:43,688020_chunks_0003_0003,688020,1,8895,1,5063,239,5302,THUDM/GLM-4-32B-0414
2026-07-07T21:56:51,688020_chunks_0004_0004,688020,1,8327,1,4994,189,5183,THUDM/GLM-4-32B-0414
2026-07-07T21:56:59,688020_chunks_0005_0005,688020,1,8168,1,5056,223,5279,THUDM/GLM-4-32B-0414
2026-07-07T21:57:06,688020_chunks_0006_0006,688020,1,8055,1,5051,166,5217,THUDM/GLM-4-32B-0414
2026-07-07T21:57:14,688020_chunks_0007_0007,688020,1,8081,1,5063,172,5235,THUDM/GLM-4-32B-0414
2026-07-07T21:57:22,688020_chunks_0008_0008,688020,1,7889,1,5059,269,5328,THUDM/GLM-4-32B-0414
2026-07-07T21:57:31,688020_chunks_0009_0009,688020,1,8372,1,5054,271,5325,THUDM/GLM-4-32B-0414
2026-07-07T21:57:38,688020_chunks_0010_0010,688020,1,4052,1,2258,176,2434,THUDM/GLM-4-32B-0414
2026-07-07T21:57:46,688029_chunks_0001_0001,688029,1,8619,1,5026,225,5251,THUDM/GLM-4-32B-0414
2026-07-07T21:57:55,688029_chunks_0002_0002,688029,1,8556,1,5051,253,5304,THUDM/GLM-4-32B-0414
2026-07-07T21:58:02,688029_chunks_0003_0003,688029,1,8990,1,5033,196,5229,THUDM/GLM-4-32B-0414
2026-07-07T21:58:10,688029_chunks_0004_0004,688029,1,9171,1,5053,205,5258,THUDM/GLM-4-32B-0414
2026-07-07T21:58:17,688029_chunks_0005_0005,688029,1,9367,1,5030,195,5225,THUDM/GLM-4-32B-0414
2026-07-07T21:58:26,688029_chunks_0006_0006,688029,1,8745,1,4904,236,5140,THUDM/GLM-4-32B-0414
2026-07-07T21:58:34,688029_chunks_0007_0007,688029,1,8568,1,5048,230,5278,THUDM/GLM-4-32B-0414
2026-07-07T21:58:42,688029_chunks_0008_0008,688029,1,8737,1,5048,252,5300,THUDM/GLM-4-32B-0414
2026-07-07T21:58:50,688029_chunks_0009_0009,688029,1,8252,1,5050,200,5250,THUDM/GLM-4-32B-0414
2026-07-07T21:58:58,688029_chunks_0010_0010,688029,1,8752,1,5042,234,5276,THUDM/GLM-4-32B-0414
2026-07-07T21:59:07,688029_chunks_0011_0011,688029,1,8021,1,4550,252,4802,THUDM/GLM-4-32B-0414
2026-07-07T21:59:15,688029_chunks_0012_0012,688029,1,8199,1,5055,257,5312,THUDM/GLM-4-32B-0414
2026-07-07T21:59:23,688029_chunks_0013_0013,688029,1,7488,1,4478,229,4707,THUDM/GLM-4-32B-0414
2026-07-07T21:59:33,688029_chunks_0014_0014,688029,1,8689,1,4936,357,5293,THUDM/GLM-4-32B-0414
2026-07-07T21:59:41,688029_chunks_0015_0015,688029,1,8404,1,4833,198,5031,THUDM/GLM-4-32B-0414
2026-07-07T21:59:49,688029_chunks_0016_0016,688029,1,7744,1,4889,197,5086,THUDM/GLM-4-32B-0414
2026-07-07T21:59:57,688029_chunks_0017_0017,688029,1,10041,1,5050,213,5263,THUDM/GLM-4-32B-0414
2026-07-07T22:00:05,688029_chunks_0018_0018,688029,1,7470,1,4777,201,4978,THUDM/GLM-4-32B-0414
2026-07-07T22:00:12,688029_chunks_0019_0019,688029,1,7899,1,5065,141,5206,THUDM/GLM-4-32B-0414
2026-07-07T22:00:20,688029_chunks_0020_0020,688029,1,8279,1,5021,188,5209,THUDM/GLM-4-32B-0414
2026-07-07T22:00:27,688029_chunks_0021_0021,688029,1,8164,1,5006,186,5192,THUDM/GLM-4-32B-0414
2026-07-07T22:00:35,688029_chunks_0022_0022,688029,1,8154,1,5065,211,5276,THUDM/GLM-4-32B-0414
2026-07-07T22:00:44,688029_chunks_0023_0023,688029,1,8193,1,5049,290,5339,THUDM/GLM-4-32B-0414
2026-07-07T22:00:52,688029_chunks_0024_0024,688029,1,8968,1,5030,233,5263,THUDM/GLM-4-32B-0414
2026-07-07T22:01:00,688029_chunks_0025_0025,688029,1,8095,1,5034,219,5253,THUDM/GLM-4-32B-0414
2026-07-07T22:01:09,688029_chunks_0026_0026,688029,1,8281,1,4719,233,4952,THUDM/GLM-4-32B-0414
2026-07-07T22:01:16,688088_chunks_0001_0001,688088,1,9123,1,5057,188,5245,THUDM/GLM-4-32B-0414
2026-07-07T22:01:24,688088_chunks_0002_0002,688088,1,9600,1,5052,239,5291,THUDM/GLM-4-32B-0414
2026-07-07T22:01:33,688088_chunks_0003_0003,688088,1,9211,1,5042,247,5289,THUDM/GLM-4-32B-0414
2026-07-07T22:01:41,688088_chunks_0004_0004,688088,1,10162,1,5057,202,5259,THUDM/GLM-4-32B-0414
2026-07-07T22:01:48,688088_chunks_0005_0005,688088,1,9414,1,5025,211,5236,THUDM/GLM-4-32B-0414
2026-07-07T22:01:56,688088_chunks_0006_0006,688088,1,9063,1,5039,203,5242,THUDM/GLM-4-32B-0414
2026-07-07T22:02:04,688088_chunks_0007_0007,688088,1,9164,1,5053,204,5257,THUDM/GLM-4-32B-0414
2026-07-07T22:02:12,688088_chunks_0008_0008,688088,1,8519,1,5051,216,5267,THUDM/GLM-4-32B-0414
2026-07-07T22:02:20,688088_chunks_0009_0009,688088,1,8684,1,5055,180,5235,THUDM/GLM-4-32B-0414
2026-07-07T22:02:28,688088_chunks_0010_0010,688088,1,9575,1,4696,204,4900,THUDM/GLM-4-32B-0414
2026-07-07T22:02:35,688088_chunks_0011_0011,688088,1,10601,1,5011,193,5204,THUDM/GLM-4-32B-0414
2026-07-07T22:02:43,688088_chunks_0012_0012,688088,1,8706,1,5058,187,5245,THUDM/GLM-4-32B-0414
2026-07-07T22:02:52,688088_chunks_0013_0013,688088,1,8603,1,5049,263,5312,THUDM/GLM-4-32B-0414
