label,prompt_tokens,completion_tokens,total_tokens,finish_reason,model
688002_chunks_0001_0001,5059,225,5284,stop,THUDM/GLM-4-32B-0414
688002_chunks_0002_0002,4954,249,5203,stop,THUDM/GLM-4-32B-0414
688002_chunks_0003_0003,5061,244,5305,stop,THUDM/GLM-4-32B-0414
688002_chunks_0004_0004,5033,226,5259,stop,THUDM/GLM-4-32B-0414
688002_chunks_0005_0005,5022,286,5308,stop,THUDM/GLM-4-32B-0414
688002_chunks_0006_0006,5040,335,5375,stop,THUDM/GLM-4-32B-0414
688002_chunks_0007_0007,5019,251,5270,stop,THUDM/GLM-4-32B-0414
688002_chunks_0008_0008,4991,250,5241,stop,THUDM/GLM-4-32B-0414
688002_chunks_0009_0009,4892,204,5096,stop,THUDM/GLM-4-32B-0414
688002_chunks_0010_0010,4402,186,4588,stop,THUDM/GLM-4-32B-0414
688002_chunks_0011_0011,5052,172,5224,stop,THUDM/GLM-4-32B-0414
688002_chunks_0012_0012,5011,114,5125,stop,THUDM/GLM-4-32B-0414
688002_chunks_0013_0013,4915,267,5182,stop,THUDM/GLM-4-32B-0414
688002_chunks_0014_0014,5053,322,5375,stop,THUDM/GLM-4-32B-0414
688002_chunks_0015_0015,2892,253,3145,stop,THUDM/GLM-4-32B-0414
688006_chunks_0001_0001,5039,252,5291,stop,THUDM/GLM-4-32B-0414
688006_chunks_0002_0002,5047,164,5211,stop,THUDM/GLM-4-32B-0414
688006_chunks_0003_0003,5043,215,5258,stop,THUDM/GLM-4-32B-0414
688006_chunks_0004_0004,5023,219,5242,stop,THUDM/GLM-4-32B-0414
688006_chunks_0005_0005,5044,201,5245,stop,THUDM/GLM-4-32B-0414
688006_chunks_0006_0006,5015,187,5202,stop,THUDM/GLM-4-32B-0414
688006_chunks_0007_0007,4878,206,5084,stop,THUDM/GLM-4-32B-0414
688006_chunks_0008_0008,4999,233,5232,stop,THUDM/GLM-4-32B-0414
688006_chunks_0009_0009,5046,213,5259,stop,THUDM/GLM-4-32B-0414
688006_chunks_0010_0010,4173,176,4349,stop,THUDM/GLM-4-32B-0414
688006_chunks_0011_0011,5051,226,5277,stop,THUDM/GLM-4-32B-0414
688006_chunks_0012_0012,5045,230,5275,stop,THUDM/GLM-4-32B-0414
688006_chunks_0013_0013,5054,240,5294,stop,THUDM/GLM-4-32B-0414
688006_chunks_0014_0014,1807,145,1952,stop,THUDM/GLM-4-32B-0414
688009_chunks_0001_0001,4988,172,5160,stop,THUDM/GLM-4-32B-0414
688009_chunks_0002_0002,5064,209,5273,stop,THUDM/GLM-4-32B-0414
688009_chunks_0003_0003,4858,217,5075,stop,THUDM/GLM-4-32B-0414
688009_chunks_0004_0004,5047,292,5339,stop,THUDM/GLM-4-32B-0414
688009_chunks_0005_0005,5041,177,5218,stop,THUDM/GLM-4-32B-0414
688009_chunks_0006_0006,5059,255,5314,stop,THUDM/GLM-4-32B-0414
688009_chunks_0007_0007,5033,254,5287,stop,THUDM/GLM-4-32B-0414
688009_chunks_0008_0008,4558,244,4802,stop,THUDM/GLM-4-32B-0414
688009_chunks_0009_0009,4828,121,4949,stop,THUDM/GLM-4-32B-0414
688009_chunks_0010_0010,4797,193,4990,stop,THUDM/GLM-4-32B-0414
688009_chunks_0011_0011,5003,205,5208,stop,THUDM/GLM-4-32B-0414
688009_chunks_0012_0012,5048,256,5304,stop,THUDM/GLM-4-32B-0414
688009_chunks_0013_0013,4812,215,5027,stop,THUDM/GLM-4-32B-0414
688009_chunks_0014_0014,5028,264,5292,stop,THUDM/GLM-4-32B-0414
688009_chunks_0015_0015,5058,245,5303,stop,THUDM/GLM-4-32B-0414
688009_chunks_0016_0016,5062,219,5281,stop,THUDM/GLM-4-32B-0414
688009_chunks_0017_0017,5063,197,5260,stop,THUDM/GLM-4-32B-0414
688009_chunks_0018_0018,5061,246,5307,stop,THUDM/GLM-4-32B-0414
688009_chunks_0019_0019,4971,182,5153,stop,THUDM/GLM-4-32B-0414
688009_chunks_0020_0020,5054,197,5251,stop,THUDM/GLM-4-32B-0414
688009_chunks_0021_0021,4973,175,5148,stop,THUDM/GLM-4-32B-0414
688009_chunks_0022_0022,4910,136,5046,stop,THUDM/GLM-4-32B-0414
688009_chunks_0023_0023,5049,197,5246,stop,THUDM/GLM-4-32B-0414
688009_chunks_0024_0024,5057,251,5308,stop,THUDM/GLM-4-32B-0414
688009_chunks_0025_0025,5054,202,5256,stop,THUDM/GLM-4-32B-0414
688009_chunks_0026_0026,3374,263,3637,stop,THUDM/GLM-4-32B-0414
688012_chunks_0001_0001,5022,337,5359,stop,THUDM/GLM-4-32B-0414
688012_chunks_0002_0002,5004,305,5309,stop,THUDM/GLM-4-32B-0414
688012_chunks_0003_0003,5054,233,5287,stop,THUDM/GLM-4-32B-0414
688012_chunks_0004_0004,5064,275,5339,stop,THUDM/GLM-4-32B-0414
