custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,source_dir,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688003_1206430546_glm4_dewrap_join_chunk_0001,688003,天准科技,1206430546,1,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7090,6798,3989,3989,18,3989,glm4_dewrap_join_first_batch25_20260706,198,198,天准科技以机器视觉为核心技术，提供工业视觉装备，包括精密测量仪器、智能检测装备、智能制造系统及无人物流车。公司累计申请117项专利，已授权65项，制定5项国家与行业标准，检测精度达0.3微米国际先进水平。公司服务近3000家客户，包括苹果、三星等国际知名企业。主营业务收入中，智能检测装备占比最大，2018年达71.32%。公司采用直销为主、经销为辅的销售模式，并在主要经济圈设立销售与服务机构。,99,76,76,0,5,15,20,20,13,3,16,0.21052631578947367,6,-10,2.3947368421052633,
688003_1206430546_glm4_dewrap_join_chunk_0002,688003,天准科技,1206430546,2,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7793,7384,3981,3981,18,3981,glm4_dewrap_join_first_batch25_20260706,275,275,公司以机器视觉为核心技术，专注服务于工业领域客户，主要产品为工业视觉装备，包括精密测量仪器、智能检测装备、智能制造系统、无人物流车等。公司通过成功案例在客户行业中建立良好口碑，持续获得新客户。公司根据产品设计方案及原材料成本为基础，综合考虑技术要求、设计开发难度等因素确定产品价格。公司业务以技术研发及产品设计为主，主要环境污染物为污水、噪音及固体废弃物，均严格按照国家标准处理。公司所处行业为机器视觉行业，属于新一代信息技术领域和高端装备领域中的智能制造。公司根据《上海证券交易所科创板企业上市推荐指引》属于人工智能和制造业深度融合的科技创新企业。,138,54,54,0,15,16,8,7,5,3,8,0.14814814814814814,6,-2,1.6296296296296295,
688003_1206430546_glm4_dewrap_join_chunk_0003,688003,天准科技,1206430546,3,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7395,7148,3978,3978,18,3978,glm4_dewrap_join_first_batch25_20260706,311,311,公司主要产品应用于工业机器视觉领域，包括智能制造及物流仓储等，通过机器视觉解决工业零部件尺寸与缺陷检测等重复功能。公司产品涵盖精密测量仪器、智能检测装备和智能制造系统，应用于高精度制造和质量检测，如晶圆切割、3C表面检测、触摸屏制造等。公司拥有多项技术优势，包括机器视觉检测、智能制造系统相关的机器视觉算法、工业数据平台、先进视觉传感器、精密驱控等领域的技术。公司工业视觉装备产品已获得苹果公司、三星集团等国际知名企业的认可，替代其原本使用的外国产品。公司2018年实现销售收入超过5亿元，在国内机器视觉产业处于领先地位。公司积极研究开发机器视觉的其他应用方式，如无人物流车等，截至报告期末无人物流车已研发成功并形成销售。,156,60,60,0,15,20,10,8,5,2,7,0.11666666666666667,6,-1,1.5666666666666667,
688003_1206430546_glm4_dewrap_join_chunk_0004,688003,天准科技,1206430546,4,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7148,6762,3974,3974,18,3974,glm4_dewrap_join_first_batch25_20260706,265,265,天准科技的机器视觉技术和产品满足消费类电子行业对精度和速度的要求，其智能检测装备受到苹果公司等龙头企业的认可并持续合作。公司已与法雷奥集团、博世集团等知名汽车厂商建立业务合作，在汽车领域的销售规模持续增长。公司掌握应用于半导体产业部分工序的机器视觉技术，产品可应用于硅片、晶圆的检测和分选，并正逐步开拓该领域客户。天准科技处于机器视觉产业链中游，属于装备制造商，具备上游领域中的算法、软件开发能力、传感器的研发设计能力，精密驱控系统的设计能力。公司拥有优秀的研发团队并持续大量投入研发，已获得授权发明专利34项、软件著作权68项。,133,48,48,0,15,18,7,4,3,1,4,0.08333333333333333,5,1,1.2708333333333333,
688003_1206430546_glm4_dewrap_join_chunk_0005,688003,天准科技,1206430546,5,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7309,6936,3981,3981,18,3981,glm4_dewrap_join_first_batch25_20260706,322,322,天准科技凭借领先的机器视觉技术研发能力，通过持续高强度的科技创新，不断满足工业领域客户的最新需求，为客户提供优秀的产品与解决方案。公司产品已经可以与国外知名品牌竞争，成功实现进口替代，在中国工业领域转型升级起到重要作用。公司承担了“国家重大科学仪器设备开发专项”项目，研发了检测精度达到0.3微米的高精度测量仪器。公司出版技术专著与制定标准，成为多项国家标准、国家校准规范、行业标准的起草单位。公司产品受到苹果公司、三星集团等国际知名企业广泛认可。根据前瞻研究院数据，2016年、2017年及2018年度中国机器视觉行业销售额分别为69.4亿元、80亿元及104亿元。据此计算，报告期内公司的市场占有率分别为2.61%、3.99%和4.89%。,161,62,62,0,23,18,10,6,4,1,5,0.08064516129032258,6,1,1.2419354838709677,
688003_1206430546_glm4_dewrap_join_chunk_0006,688003,天准科技,1206430546,6,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6938,6477,3998,3998,18,3998,glm4_dewrap_join_first_batch25_20260706,212,212,公司自主研发的智能3D视觉传感器，采用嵌入式计算技术，性能优于基恩士、康耐视同类产品。LS-1010型号已应用于光伏硅片检测装备，计划交付70套。新一代LS-2000系列正在研发中。公司聚焦机器视觉在工业领域应用，主要产品包括工业视觉装备。智能3D视觉传感器主要增强技术壁垒，满足特殊检测需求。公司主要竞争对手包括海克斯康、基恩士、Werth、日本三丰、智泰科技等，在精密测量仪器、智能检测装备、智能制造系统等领域存在竞争。,106,62,62,0,15,18,12,10,5,2,7,0.11290322580645161,6,-1,1.6451612903225807,
688003_1206430546_glm4_dewrap_join_chunk_0007,688003,天准科技,1206430546,7,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6647,6136,3960,3960,18,3960,glm4_dewrap_join_first_batch25_20260706,227,227,公司主要产品包括精密测量仪器、智能检测装备和智能制造系统，服务于消费电子、汽车制造、光伏半导体等行业。公司累计获得65项专利授权，其中34项发明专利，并取得68项软件著作权。公司研发投入占收入比例较高，研发团队超过286人，核心技术人员来自知名企业和高校。公司主要客户包括苹果公司、三星集团、富士康等国际知名企业。公司竞争优势包括技术与创新优势、团队优势、人才优势、质量管理与快速服务优势以及品牌优势。公司面临的主要挑战是融资渠道单一，可能制约公司发展。,114,86,86,0,12,18,20,15,16,5,21,0.2441860465116279,6,-15,2.2325581395348837,
688003_1206430546_glm4_dewrap_join_chunk_0008,688003,天准科技,1206430546,8,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7006,6622,3984,3984,18,3984,glm4_dewrap_join_first_batch25_20260706,430,431,"公司智能检测装备核心技术包括机器视觉算法、工业数据平台、先进视觉传感器、精密驱控技术，检测精度达0.005mm~0.02mm，检测速率达1,636 UPH，达到国际先进水平。公司具备优秀的产品开发能力，与客户深度合作，提供定制化服务。公司智能检测装备已获得苹果公司、欣旺达、协鑫集团、隆基集团等客户认可，并在上述客户同类产品中获得较高渗透率，成功实现对DWFritz、Hennecke等国际先进同行产品的替代。公司2018年智能检测装备销量281台，销售收入35,909.11万元，销售单价113.41万元/台。公司2018年研发设计、装配人员加权平均人数344人，产能723,232.00标准工时，产量831,185.31实际工时，产能利用率114.93%。公司2018年主要客户为苹果公司、捷普集团、德赛集团，销售收入分别为14,492.79万元、10,719.01万元、4,691.98万元，占当期营业收入比例分别为28.51%、21.09%、9.23%。",215,54,54,0,8,12,10,12,10,2,12,0.2222222222222222,6,-6,2.185185185185185,
688003_1206430546_glm4_dewrap_join_chunk_0009,688003,天准科技,1206430546,9,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6567,5992,3993,3993,18,3993,glm4_dewrap_join_first_batch25_20260706,275,275,发行人主要客户包括苹果公司、捷普集团、德赛集团等，主要采购智能检测装备、精密测量仪器等产品。报告期内，公司前五大客户变化主要受产品销售结构影响，苹果公司因采购玻璃检测装备成为第一大客户。公司客户选择标准参照TQRDC（技术、质量、响应、交付、成本）标准。发行人向苹果公司及其供应商销售智能检测装备，收入占比逐年提高，2018年达76.09%。公司与苹果公司约定质保期为15个月，与捷普集团、伯恩光学约定为1年。发行人同意部分经销商使用“天准”字号，并建立管控措施。主要原材料包括传感器类、电气类、机械类和软件类，核心零部件为激光传感器、运动控制器等。,138,54,54,0,0,0,0,18,24,12,36,0.6666666666666666,6,-30,3.888888888888889,
688003_1206430546_glm4_dewrap_join_chunk_0010,688003,天准科技,1206430546,10,18,results/glm4_dewrap_join_first_batch25_20260706/chunks/688003_1206430546_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6578,5913,3997,3997,18,3997,glm4_dewrap_join_first_batch25_20260706,226,226,报告期内，公司主要原材料包括传感器类、电气类、机械类和软件类，其中传感器类采购金额占比最高。公司主要能源为电能，报告期内电力采购金额逐年增加。公司主要原材料传感器的采购均价呈上升趋势，主要原因是采购结构变化，高单价传感器占比提升。公司前五大供应商中，基恩士采购金额占比最高，公司向基恩士定制传感器以满足技术需求。公司核心零部件外采比例较高，但具备自行生产部分高性能运动控制器和运动模组的能力。公司存在部分核心原材料的进口依赖，但不存在供应商依赖的情况。,113,62,62,0,15,20,12,8,5,2,7,0.11290322580645161,6,-1,1.5806451612903225,
