sec_code,sec_name,chunk_n,text_sum,summary_sum,relevant_score_mean,cap_applied_n,red_chunk_mean,candidate,Redundancy_diag,lnN_tech_diag
688001,华兴源创,17,66441.0,2147.0,2.3657566985873766,2,33.19704646948445,tailmerge1700_score18_cap80,30.945971122496506,11.104069614787955
688002,睿创微纳,15,56427.0,1556.0,2.366461354786515,2,37.329653249319676,tailmerge1700_score18_cap80,36.26413881748072,10.940703046338914
688003,天准科技,17,67095.0,2664.0,2.712718349916192,3,28.23452573542748,tailmerge1700_score18_cap80,25.18581081081081,11.113864804535059
688004,博汇科技,18,68717.0,2064.0,2.169618307756524,5,36.018498941972375,tailmerge1700_score18_cap80,33.29312015503876,11.13775190029194
688005,容百科技,12,47741.0,1437.0,2.2793008875910643,3,36.50087259261165,tailmerge1700_score18_cap80,33.22268615170494,10.773545846468581
688006,杭可科技,13,51366.0,1440.0,2.560762171672091,3,37.994416910559515,tailmerge1700_score18_cap80,35.670833333333334,10.846731753970541
688007,光峰科技,16,63227.0,2339.0,2.610310674552978,1,27.87438360102506,tailmerge1700_score18_cap80,27.031637451902522,11.054486704094396
688008,澜起科技,10,37624.0,1125.0,2.167641089464116,3,36.813613176417235,tailmerge1700_score18_cap80,33.443555555555555,10.535397423624884
688009,中国通号,26,100149.0,2836.0,2.434080129746012,0,36.50352709534389,tailmerge1700_score18_cap80,35.313469675599436,11.514414356021648
688010,福光股份,13,51938.0,1614.0,2.26876779198697,4,35.36363191514798,tailmerge1700_score18_cap80,32.179677819083025,10.85780597850694
688011,新光光电,15,60685.0,1993.0,2.336341404731897,4,34.03644987527107,tailmerge1700_score18_cap80,30.44907175112895,11.013451829540461
688012,中微公司,8,32325.0,986.0,2.165202561147318,2,36.37142181407278,tailmerge1700_score18_cap80,32.783975659229206,10.383596203640058
688013,天臣医疗,17,66732.0,2113.0,2.5845661974281353,4,34.86695965269402,tailmerge1700_score18_cap80,31.58163748225272,11.108439876975565
688015,交控科技,15,56851.0,1660.0,2.1257019497722274,3,35.357621156572264,tailmerge1700_score18_cap80,34.24759036144578,10.948189089173493
688016,心脉医疗,14,56003.0,1818.0,2.4883209042461227,2,32.816075027225004,tailmerge1700_score18_cap80,30.804730473047304,10.93316053971096
688017,绿的谐波,10,39815.0,1327.0,2.26794815952443,2,32.39113991010895,tailmerge1700_score18_cap80,30.00376789751319,10.591999004691544
688018,乐鑫科技,11,43794.0,1309.0,2.441455607452815,2,35.481581162623,tailmerge1700_score18_cap80,33.45607333842628,10.687252100679688
688019,安集科技,11,44881.0,1476.0,2.141834224491857,3,33.67034734482065,tailmerge1700_score18_cap80,30.40718157181572,10.711769821588275
688020,方邦股份,9,37061.0,1209.0,2.3689625934631686,1,32.88062086006241,tailmerge1700_score18_cap80,30.654259718775847,10.520320482745682
688021,奥福环保,19,74095.0,2042.0,2.04237629419435,7,38.69175672275572,tailmerge1700_score18_cap80,36.28550440744368,11.213103332624279
688022,瀚川智能,17,68761.0,2166.0,2.4416506018835062,3,34.021277604824775,tailmerge1700_score18_cap80,31.74561403508772,11.138392002730184
688023,安恒信息,20,75560.0,2611.0,2.5057937429941175,2,30.27190115113104,tailmerge1700_score18_cap80,28.93910379165071,11.232682321615446
688025,杰普特,19,73532.0,2582.0,2.4598550125490894,1,31.20847830526181,tailmerge1700_score18_cap80,28.478698683191325,11.205475964602762
688026,洁特生物,24,93604.0,3470.0,2.407743760846128,1,28.05586798985047,tailmerge1700_score18_cap80,26.97521613832853,11.446828396595302
688027,国盾量子,20,78084.0,2728.0,2.3193614275566503,2,30.027969125310353,tailmerge1700_score18_cap80,28.62316715542522,11.265540449282984
688028,沃尔德,16,63160.0,1845.0,2.4112517860364777,2,35.26866209986817,tailmerge1700_score18_cap80,34.233062330623305,11.053426468369578
688029,南微医学,26,101138.0,3177.0,2.287175303775246,4,33.159374671983315,tailmerge1700_score18_cap80,31.834435001573812,11.524241199868552
688030,山石网科,22,84483.0,2897.0,2.3414284768272133,3,32.10514548899892,tailmerge1700_score18_cap80,29.162236796686226,11.344305609673212
688031,星环科技,18,71790.0,2385.0,2.370985033663599,2,32.00661307239031,tailmerge1700_score18_cap80,30.10062893081761,11.181500469570528
688032,禾迈股份,13,51651.0,1718.0,2.298755721788999,3,33.39554864811283,tailmerge1700_score18_cap80,30.064610011641445,10.852264835444583
688033,天宜上佳,27,104701.0,3064.0,2.503515398839315,2,35.01035518069172,tailmerge1700_score18_cap80,34.17134464751958,11.558863947911393
688035,德邦科技,12,46065.0,1714.0,2.3658654256466054,1,29.25733486867242,tailmerge1700_score18_cap80,26.875729288214703,10.737808721543033
688036,传音控股,23,89683.0,3009.0,2.3557413273376953,4,31.92015838030245,tailmerge1700_score18_cap80,29.80491857760053,11.404036509461282
688037,芯源微,12,47650.0,1669.0,2.318488938677256,3,34.50755312292224,tailmerge1700_score18_cap80,28.55002995805872,10.771637909082347
688038,中科通达,16,61022.0,2212.0,2.615836454394287,1,28.850123563700734,tailmerge1700_score18_cap80,27.586799276672693,11.018989733872505
688039,当虹科技,14,56459.0,1855.0,2.312606074648603,5,34.71072170023103,tailmerge1700_score18_cap80,30.43611859838275,10.941269989996359
688041,海光信息,9,34614.0,1036.0,2.1065854822624726,3,36.05411294719188,tailmerge1700_score18_cap80,33.41119691119691,10.452013503484945
688045,必易微,10,39304.0,1192.0,2.331876301645224,2,34.42025032139632,tailmerge1700_score18_cap80,32.97315436241611,10.579081573848484
688046,药康生物,13,51765.0,1612.0,2.036785456492407,3,35.20173678966219,tailmerge1700_score18_cap80,32.11228287841191,10.854469524200214
688047,龙芯中科,8,31169.0,1027.0,2.5160269492323604,1,31.622382521197043,tailmerge1700_score18_cap80,30.34956183057449,10.347179290116486
688048,长光华芯,16,60619.0,1974.0,2.094494118466579,3,33.622798509723225,tailmerge1700_score18_cap80,30.70871327254306,11.012363654269858
688049,炬芯科技,9,36653.0,1246.0,2.191753989634226,3,34.29209366287167,tailmerge1700_score18_cap80,29.41653290529695,10.50925055935364
688050,爱博医疗,22,84393.0,2654.0,2.1859052177691614,6,36.48605328642697,tailmerge1700_score18_cap80,31.79841748304446,11.343239738755845
688051,佳华科技,19,75270.0,2634.0,2.405053786261082,1,29.744742960247766,tailmerge1700_score18_cap80,28.57630979498861,11.228836928028578
688052,纳芯微,13,50264.0,1957.0,2.4440459231479306,2,28.06125169843128,tailmerge1700_score18_cap80,25.68421052631579,10.825044394082783
688053,思科瑞,14,55179.0,1595.0,2.1778287207392975,4,36.460013601588784,tailmerge1700_score18_cap80,34.59498432601881,10.918337725098906
688055,龙腾光电,14,57274.0,2028.0,2.258705560917117,3,31.047767577598883,tailmerge1700_score18_cap80,28.24161735700197,10.955602047544657
688056,莱伯泰科,18,69939.0,2274.0,2.34464734812718,5,33.63692161331255,tailmerge1700_score18_cap80,30.75593667546174,11.155378712545462
688057,金达莱,28,108549.0,3413.0,2.401301691782496,3,33.874137615881615,tailmerge1700_score18_cap80,31.80457075886317,11.594956962919463
688058,宝兰德,21,83698.0,2906.0,2.2351919369752804,4,31.236780068793802,tailmerge1700_score18_cap80,28.801789401238818,11.334970361329475
688059,华锐精密,11,42706.0,1386.0,2.261137866869206,2,32.51063851428843,tailmerge1700_score18_cap80,30.81240981240981,10.66209470456786
688060,云涌科技,12,45219.0,1618.0,2.2093767053566404,2,29.715568335174755,tailmerge1700_score18_cap80,27.947466007416562,10.719272631478638
688061,灿瑞科技,11,44910.0,1338.0,2.332552008647034,2,36.07951738746384,tailmerge1700_score18_cap80,33.56502242152467,10.712415766081783
688062,迈威生物,19,72938.0,2463.0,2.123262097127085,5,32.72436626668574,tailmerge1700_score18_cap80,29.613479496548923,11.197365044189649
688063,派能科技,15,57212.0,1985.0,2.085696771954529,4,32.15815991066374,tailmerge1700_score18_cap80,28.822166246851385,10.95451894557479
688065,凯赛生物,13,51415.0,1691.0,2.114162362610104,3,33.25340988256645,tailmerge1700_score18_cap80,30.40508574807806,10.84768523766329
688066,航天宏图,16,60358.0,1961.0,2.256600323034207,3,32.18146106721819,tailmerge1700_score18_cap80,30.77919428862825,11.008048777806648
688067,爱威科技,17,64096.0,2310.0,2.5995460017468317,2,29.190243105156984,tailmerge1700_score18_cap80,27.74718614718615,11.068137238465544
688068,热景生物,23,91535.0,3176.0,2.213639267783155,3,30.4890926838304,tailmerge1700_score18_cap80,28.820843828715365,11.424476691785115
688069,德林海,20,75234.0,2318.0,2.3769719410534433,3,33.765989698720084,tailmerge1700_score18_cap80,32.456427955133734,11.228358535418593
