sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688302,海创药业,15,58113,1470.0,1.888678225052117,39.53265306122449
688280,精进电动,15,57693,1516.0,1.7734985190341646,38.056068601583114
688233,神工股份,7,26477,710.0,2.051214318769407,37.29154929577465
688117,圣诺生物,16,60582,1629.0,2.174566611578826,37.18968692449356
688050,爱博医疗,17,64772,1846.0,1.8396016472162195,35.08775731310943
688360,德马科技,18,68246,1961.0,2.2393403813452273,34.80163182049974
688350,富淼科技,14,51751,1499.0,2.0947337736620026,34.52368245496998
688071,华依科技,15,56305,1640.0,2.0699594646804416,34.332317073170735
688403,汇成股份,8,31268,916.0,2.089488298703412,34.1353711790393
688793,倍轻松,15,53080,1568.0,2.0666517679053142,33.85204081632653
688076,诺泰生物,22,81857,2433.0,2.0392785346044895,33.644471845458284
688111,金山办公,18,69007,2058.0,2.2907987754967847,33.531098153547134
688683,莱尔科技,13,47417,1419.0,2.1403620634067533,33.415785764622974
688062,迈威生物,15,57151,1713.0,2.3433172442298504,33.36310566258027
688529,豪森股份,16,59876,1795.0,2.194381920264141,33.357103064066855
688039,当虹科技,12,46361,1395.0,2.278716063834326,33.2336917562724
688177,百奥泰,19,74121,2231.0,2.039728666972385,33.22321828776334
688093,世华科技,14,54167,1633.0,2.309209583522468,33.17023882424985
688555,泽达易盛,17,64055,1941.0,2.231437206473727,33.00103039670273
688569,铁科轨道,13,48192,1466.0,2.3449616260426875,32.8731241473397
688567,孚能科技,16,62829,1921.0,2.0955412640513216,32.70640291514836
688667,菱电电控,13,49502,1514.0,2.0713884796243525,32.69616908850727
688272,富吉瑞,17,65369,2003.0,2.479627060859357,32.63554667998003
688617,惠泰医疗,19,71647,2211.0,2.2366558800248,32.40479421076436
688370,丛麟科技,14,52001,1608.0,2.075996079329918,32.33893034825871
688459,哈铁科技,15,53752,1663.0,2.5883912681370638,32.322309079975945
688126,沪硅产业,10,37878,1173.0,2.0007362380371503,32.29156010230179
688496,清越科技,9,34669,1074.0,2.2144056718369276,32.28026070763501
688561,奇安信,20,76440,2374.0,2.117930378307137,32.19882055602359
688565,力源科技,11,42414,1319.0,2.040179215712414,32.156178923426836
688375,国博电子,10,37385,1165.0,2.1194351703172645,32.09012875536481
688456,有研粉材,12,44871,1400.0,2.1504914853149097,32.050714285714285
688053,思科瑞,12,44653,1394.0,2.321450633135526,32.03228120516499
688121,卓然股份,12,45860,1433.0,2.159725227534547,32.00279134682484
688060,云涌科技,10,38320,1206.0,2.355590504609641,31.77446102819237
688256,寒武纪,10,39263,1237.0,2.0244182667840507,31.740501212611157
688234,天岳先进,7,27186,860.0,2.198818785614805,31.611627906976743
688622,禾信仪器,15,54970,1739.0,2.3770482542466245,31.61012075905693
688092,爱科科技,14,51379,1633.0,2.179374651875458,31.46295162278016
688100,威胜信息,18,69484,2209.0,2.3008112322987757,31.454956994114983
688558,国盛智科,17,64335,2047.0,2.3740640443914076,31.428920371275037
688448,磁谷科技,9,31805,1012.0,2.1660765978642242,31.427865612648223
688103,国力股份,14,51448,1641.0,2.166264598983584,31.351614868982328
688316,青云科技,16,61764,1971.0,2.1085431595057824,31.336377473363775
688331,荣昌生物,20,77286,2467.0,1.9813749555533253,31.32792865828942
