sec_code,sec_name,chunk_count,original_length_units,summary_length_units,relevant_score_mean,Redundancy
688793,倍轻松,15,53080,965,2.0324298767078917,55.005181347150256
688280,精进电动,15,57693,1097,1.7546471246089623,52.59161349134002
688375,国博电子,10,37385,724,1.8273318917248649,51.636740331491715
688256,寒武纪,10,39263,765,1.882842411052924,51.32418300653595
688486,龙迅股份,14,51840,1033,1.9466629717900512,50.183930300096804
688561,奇安信,20,76440,1574,1.9979584128611303,48.564167725540024
688302,海创药业,15,58113,1228,2.039492315159316,47.32328990228013
688071,华依科技,15,56305,1233,1.9491381112715547,45.66504460665045
688062,迈威生物,15,57151,1281,2.158476859298112,44.614363778298205
688613,奥精医疗,13,49680,1115,2.0485778268202357,44.55605381165919
688512,慧智微,10,38131,856,2.406108403958334,44.54556074766355
688255,凯尔达,15,55742,1252,2.282994866536229,44.522364217252395
688091,上海谊众,9,31887,717,2.061792028170004,44.47280334728033
688728,格科微,13,49304,1110,2.0670720346651548,44.41801801801802
688651,盛邦安全,9,34551,778,2.0272969785370107,44.41002570694087
688162,巨一科技,14,51541,1164,2.163715623707215,44.279209621993125
688177,百奥泰,19,74121,1675,2.1035398499274303,44.25134328358209
688343,云天励飞,18,69471,1595,2.1634385889320193,43.55548589341693
688535,华海诚科,13,48603,1119,2.19174432004002,43.4343163538874
688173,希荻微,12,45024,1038,2.093999523258812,43.3757225433526
688293,奥浦迈,9,34339,793,2.036677071301652,43.30264817150063
688549,中巨芯,11,39656,919,2.0946018602631087,43.1512513601741
688125,安达智能,11,41111,964,2.1575408953717625,42.64626556016597
688083,中望软件,17,66150,1556,2.423640469640155,42.512853470437015
688266,泽璟制药,20,77836,1833,2.156314891931218,42.46372067648663
688296,和达科技,13,50769,1203,2.154937096066502,42.20199501246883
688479,友车科技,7,26793,635,2.2837527280069057,42.193700787401575
688152,麒麟信安,12,45083,1071,2.1885561296754426,42.09430438842204
688317,之江生物,22,82212,1956,2.403654562372248,42.030674846625764
688612,威迈斯,18,68163,1622,2.211007580604959,42.02404438964242
688543,国科军工,8,27982,666,2.146408066842085,42.01501501501502
688767,博拓生物,16,62005,1482,2.230195389048811,41.838731443994604
688600,皖仪科技,13,51333,1229,2.3274875493547444,41.768104149715214
688105,诺唯赞,14,52682,1264,2.19395498004471,41.67879746835443
688146,中船特气,12,44561,1071,1.9771923394128805,41.60690943043884
688602,康鹏科技,13,49378,1191,2.08357214005284,41.45927791771621
688239,航宇科技,16,59244,1429,2.2491805686012074,41.45836249125262
688069,德林海,15,57534,1394,2.1016010011933193,41.272596843615496
688556,高测股份,15,55284,1340,2.192694039291405,41.25671641791045
688778,厦钨新能,12,45922,1116,1.9654252222509925,41.14874551971326
688111,金山办公,18,69007,1679,2.228582488210398,41.10005955926147
688575,亚辉龙,21,79206,1932,2.1131763036269215,40.99689440993789
688004,博汇科技,15,58408,1427,2.267367807194072,40.93062368605466
688788,科思科技,14,54347,1328,2.283619454767998,40.92394578313253
688143,长盈通,15,54459,1332,2.286255870297286,40.88513513513514
688733,壹石通,11,41721,1024,2.0443599428235726,40.7431640625
688559,海目星,14,53243,1307,2.189034054768782,40.73680183626626
688269,凯立新材,14,53432,1312,2.2862813639800565,40.72560975609756
688581,安杰思,14,52222,1283,2.22054629903665,40.703039750584566
688230,芯导科技,9,32923,809,2.203923466997338,40.69592088998764
688096,京源环保,16,60350,1487,2.4569622661950214,40.58507061197041
688329,艾隆科技,7,26301,650,2.0093002119375853,40.463076923076926
688625,呈和科技,10,38961,963,2.056332317180997,40.45794392523364
688558,国盛智科,17,64335,1593,2.2449697557539805,40.38606403013183
688100,威胜信息,18,69484,1727,1.9537825537739124,40.23393167342212
688326,经纬恒润,11,40349,1003,2.1063151472507258,40.22831505483549
688350,富淼科技,14,51751,1289,2.107684796955641,40.148176881303336
688432,有研硅,9,32847,819,2.1378716118776535,40.10622710622711
688501,青达环保,14,51370,1281,2.127077548522282,40.10148321623731
688261,东微半导,9,34326,856,2.246406637741291,40.100467289719624
688151,华强科技,9,33759,843,2.163852232749979,40.04626334519573
688303,大全能源,12,45197,1129,2.108144048472536,40.03277236492471
688573,信宇人,9,34996,875,2.123468413453674,39.99542857142857
688670,金迪克,11,40853,1022,2.0937664376797493,39.97358121330724
688448,磁谷科技,9,31805,796,2.0169141968218156,39.95603015075377
688519,南亚新材,7,25544,640,2.077711942799247,39.9125
688300,联瑞新材,17,66300,1663,2.0259120961754307,39.867708959711365
688523,航天环宇,11,41246,1037,2.155447806695907,39.774349083895856
688288,鸿泉物联,16,59681,1501,2.009194405080442,39.76082611592272
688327,云从科技,16,58350,1473,2.2114667246967046,39.61303462321792
688522,纳睿雷达,8,31674,800,2.0778115572806692,39.5925
688631,莱斯信息,16,61321,1551,2.0769843596873496,39.536428110896196
688488,艾迪药业,13,50881,1287,2.1188656090811526,39.53457653457654
688175,高凌信息,16,60016,1519,2.1195191622433565,39.51020408163265
688576,西山科技,16,60540,1533,2.2139281469814933,39.49119373776908
688609,九联科技,23,86897,2204,2.1181448745913616,39.42695099818512
688505,复旦张江,15,56309,1429,2.2255529721420007,39.40447865640308
688560,明冠新材,10,38357,975,1.8895873150821632,39.34051282051282
688539,高华科技,11,43193,1098,2.036241367959256,39.337887067395265
688180,君实生物,19,70893,1803,2.0641604420415347,39.31946755407654
688656,浩欧博,12,45420,1156,2.090168712573008,39.29065743944636
688660,电气风电,17,62232,1584,2.3851569210272654,39.28787878787879
688499,利元亨,10,39167,998,2.34006900749156,39.245490981963925
688667,菱电电控,13,49502,1263,2.101163389542049,39.19398258115598
688285,高铁电气,12,45142,1153,1.985480697144115,39.15177797051171
688739,成大生物,12,45357,1159,2.100663376660401,39.13459879206212
688089,嘉必优,13,50291,1286,2.516781099787831,39.106531881804045
688113,联测科技,12,45714,1169,2.2229933682093006,39.10521813515825
688563,航材股份,10,35890,921,2.249693703665062,38.9685124864278
688037,芯源微,10,37105,953,1.7934235306786845,38.93494228751312
688148,芳源股份,10,37717,969,2.068199249410107,38.923632610939116
688400,凌云光,13,50132,1288,2.3925600138436023,38.922360248447205
688568,中科星图,15,56959,1465,2.5010720127460218,38.87986348122867
688776,国光电气,9,34541,892,1.833546415816198,38.723094170403584
688373,盟科药业,14,51263,1326,1.880116814890309,38.659879336349924
688190,云路股份,11,41244,1067,2.0697414317574205,38.65417057169635
688338,赛科希德,15,54937,1422,2.245911581091173,38.63361462728551
688777,中控技术,12,45036,1166,2.3756417596474213,38.62435677530017
688320,禾川科技,11,41963,1088,1.9964648403531335,38.56893382352941
688500,慧辰资讯,14,51522,1338,2.2468210758132376,38.506726457399104
688273,麦澜德,7,27061,703,2.328320021875755,38.493598862019915
688081,兴图新科,15,58170,1514,2.403065407588248,38.42140026420079
688188,柏楚电子,15,58006,1514,2.5225949114852773,38.31307793923382
688297,中无人机,10,38648,1010,2.280717245315077,38.26534653465347
688550,瑞联新材,7,25814,675,2.0272320170450473,38.24296296296296
688418,震有科技,16,59317,1553,2.0810763371040153,38.19510624597553
688599,天合光能,22,86083,2254,2.4552440345300166,38.191215616681454
688508,芯朋微,10,37097,972,2.00613146425687,38.165637860082306
688309,恒誉环保,22,80550,2114,2.1383597745607514,38.10312204351939
688582,芯动联科,9,34765,913,2.0342558090330765,38.07776560788609
688557,兰剑智能,15,58202,1529,2.6042716811416518,38.065402223675605
688289,圣湘生物,16,59571,1565,2.0434398280590935,38.064536741214056
688046,药康生物,11,41677,1096,1.9955337701082223,38.0264598540146
688051,佳华科技,16,61367,1621,2.4922081642127,37.857495373226406
688085,三友医疗,19,73633,1946,2.340244579641116,37.83812949640288
688231,隆达股份,13,50316,1330,2.194996004611264,37.83157894736842
688157,松井股份,14,53965,1427,2.302882826177048,37.81709880868956
688468,科美诊断,13,49897,1320,2.247215233487275,37.80075757575757
688087,英科再生,12,44151,1168,1.9912194186884395,37.800513698630134
688370,丛麟科技,14,52001,1377,2.0777178722805023,37.76397966594045
688610,埃科光电,13,46453,1232,1.8876138226460595,37.705357142857146
688073,毕得医药,15,56176,1490,2.312100753551937,37.702013422818794
688161,威高骨科,17,62647,1663,2.226359676349973,37.67107636800962
688565,力源科技,11,42414,1127,2.149498957663777,37.63442768411713
688170,德龙激光,12,45639,1213,2.0550722305087743,37.624896949711456
688203,海正生材,16,62567,1663,2.3359083896661574,37.62297053517739
688355,明志科技,14,51280,1364,2.287989031208063,37.59530791788856
688768,容知日新,13,48471,1290,2.1160544159051704,37.574418604651164
688349,三一重能,25,93553,2493,2.3324157978838658,37.52627356598476
688588,凌志软件,20,75877,2022,2.29194288943211,37.525717111770525
688253,英诺特,12,45874,1224,2.1642378156650803,37.47875816993464
688244,永信至诚,14,54941,1466,2.260864289300298,37.47680763983629
