outcome,y_variant,dep_col,step_order,step,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,paper_coef,paper_t,paper_N,formula,error
BHAR,winsor,BHAR,1,01_x_only,288,-0.016297676536637443,0.01319999891988821,-1.2346725659258968,0.21695239000304045,0.0020953837741598536,-0.0188,-2.14,471,BHAR ~ Redundancy,
BHAR,winsor,BHAR,2,02_plus_lnn,288,-0.01025277590551661,0.012683297366270916,-0.8083683295782478,0.4188785779701433,0.01708070923308347,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech,
BHAR,winsor,BHAR,3,03_plus_year_industry_fe,288,-0.01270856457659951,0.012307268417938713,-1.0326064358908333,0.30178811509967096,0.05359664228115124,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,4,04_plus_fin_controls,288,-0.013811842463038439,0.01241607828048779,-1.1124158652208347,0.26595938631628424,0.04693119302165638,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,5,05_plus_issue_underwriter_age,288,-0.015193753645372149,0.01264410358906109,-1.2016473558882308,0.22950018560790153,0.06327156315102911,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,6,06_plus_scope_segments_paper_exact,288,-0.021258407495885156,0.012945757598053052,-1.6421138226072043,0.1005664175869005,0.11259375560253804,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
BHAR,winsor,BHAR,7,07_plus_rd_staff_extra_not_main,288,-0.02213224077712704,0.012981965729271804,-1.704845108874625,0.0882233160145934,0.11463115271818558,-0.0188,-2.14,471,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,1,01_x_only,288,-0.01579074906434344,0.013293713804836568,-1.1878357918761868,0.23489811019198692,0.0016206860038635584,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy,
BHAR,raw,excl_first_BHAR_ew,2,02_plus_lnn,288,-0.009661510243466825,0.012791010023788794,-0.7553359918801011,0.4500474082746887,0.01664498994251984,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech,
BHAR,raw,excl_first_BHAR_ew,3,03_plus_year_industry_fe,288,-0.012362395680477058,0.012354407236768856,-1.0006466067982953,0.316997689200027,0.053453732534448295,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,4,04_plus_fin_controls,288,-0.013448142878484969,0.012464573862339508,-1.0789091570243903,0.2806282263431964,0.046654782179076926,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,5,05_plus_issue_underwriter_age,288,-0.01485358449889247,0.012692949895544514,-1.170223204308589,0.2419111571110465,0.0623182915000835,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,6,06_plus_scope_segments_paper_exact,288,-0.021082196819705894,0.012982877534121995,-1.6238462362675008,0.10440862935821613,0.11301216359544708,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
BHAR,raw,excl_first_BHAR_ew,7,07_plus_rd_staff_extra_not_main,288,-0.021957984627412372,0.013015877521239812,-1.6870153081557877,0.09160040846470485,0.11493573287507541,-0.0188,-2.14,471,excl_first_BHAR_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
FSales_Growth,winsor,FSales_Growth,1,01_x_only,288,0.025938880164538398,0.02404448990491332,1.0787868766239859,0.28068274641355095,0.0003725684845378163,-0.0373,-2.02,471,FSales_Growth ~ Redundancy,
FSales_Growth,winsor,FSales_Growth,2,02_plus_lnn,288,0.023361046701857416,0.022781490081885365,1.0254398030106417,0.3051557154053628,-0.002216586468720916,-0.0373,-2.02,471,FSales_Growth ~ Redundancy + lnN_tech,
FSales_Growth,winsor,FSales_Growth,3,03_plus_year_industry_fe,288,0.008531205900627708,0.01827963881112746,0.4667053867297674,0.6407106752589606,0.05586613536685525,-0.0373,-2.02,471,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe),
FSales_Growth,winsor,FSales_Growth,4,04_plus_fin_controls,288,0.01591887337066839,0.021188185234956285,0.7513089579944495,0.45246673932371373,0.19119619817899403,-0.0373,-2.02,471,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + C(listing_year_fe) + C(industry_fe),
FSales_Growth,winsor,FSales_Growth,5,05_plus_issue_underwriter_age,288,0.013612490892172797,0.020943490011054253,0.6499628708008046,0.5157162053112873,0.19143305294886426,-0.0373,-2.02,471,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + C(listing_year_fe) + C(industry_fe),
FSales_Growth,winsor,FSales_Growth,6,06_plus_scope_segments_paper_exact,288,0.015316190724481916,0.022414560027557356,0.6833143593116072,0.4944082225447761,0.19912302558422668,-0.0373,-2.02,471,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + C(listing_year_fe) + C(industry_fe),
