sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all
full_2019_2023,BHAR_cal365_excl_star_exipo_ew,541,-0.057555666185736175,0.5145586163243527,-0.3741196639570955,-0.20033317815361307,0.09257282342043771,471,-0.036,0.514,-0.385,-0.17,0.162,0.13275497328616875
full_2019_2023,BHAR_td252_excl_star_exipo_ew,541,-0.057471295460799675,0.5113574904186776,-0.3871010025151481,-0.20386888087438393,0.0731908258966929,471,-0.036,0.514,-0.385,-0.17,0.162,0.1488928625349612
full_2019_2023,BHAR_current,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,471,-0.036,0.514,-0.385,-0.17,0.162,0.17571969799525997
full_2019_2023,BHAR_td252_excl_cnd_m53_tl,541,-0.1215656184625762,0.5388085945317804,-0.42769894330057556,-0.2546247519651501,0.07298870307044414,471,-0.036,0.514,-0.385,-0.17,0.162,0.32670920518963814
full_2019_2023,BHAR_td252_excl_cnd_m117_tl,541,-0.12177384354188779,0.5388521465641348,-0.42818556732885016,-0.2547221525765526,0.0730430469357457,471,-0.036,0.514,-0.385,-0.17,0.162,0.32749066307567964
full_2019_2023,BHAR_cal365_excl_cnd_m53_tl,541,-0.11815383168027863,0.5503330574877754,-0.4292648050835378,-0.25608604203221674,0.053738479044011744,471,-0.036,0.514,-0.385,-0.17,0.162,0.3570992572397968
full_2019_2023,BHAR_cal365_excl_cnd_m117_tl,541,-0.11835129703583931,0.5503789329020694,-0.42956645818760786,-0.2564987916136614,0.05457900196332455,471,-0.036,0.514,-0.385,-0.17,0.162,0.3572164777758534
full_2019_2023,BHAR_cal365_excl_cnd_m33_os,541,-0.1383908216570887,0.5530044340253489,-0.45273519792888794,-0.278858655939657,0.028697613687317047,471,-0.036,0.514,-0.385,-0.17,0.162,0.45129149586366546
full_2019_2023,BHAR_td252_excl_cnd_m33_os,541,-0.143513705560778,0.539499456721814,-0.4655863446592504,-0.28780298799696336,0.03311744149668783,471,-0.036,0.514,-0.385,-0.17,0.162,0.4602850534421179
full_2019_2023,BHAR_cal365_excl_star_exipo_vw,541,-0.34439022410554415,0.5464542193415474,-0.7000359708903453,-0.4046191124963804,-0.16439061681778222,471,-0.036,0.514,-0.385,-0.17,0.162,1.2168901436515995
full_2019_2023,BHAR_td252_excl_star_exipo_vw,541,-0.35315912077422457,0.546375806113775,-0.7128134241674269,-0.42733954623589643,-0.13154639137425317,471,-0.036,0.514,-0.385,-0.17,0.162,1.228234288665576
full_2019_2023,BHAR_cal365_incl_star_exipo_vw,541,0.6230591289326141,1.4053293272856062,-0.2391743691624526,0.16558268037686807,0.9002507414896959,471,-0.036,0.514,-0.385,-0.17,0.162,2.7700475089223318
full_2019_2023,BHAR_td252_incl_star_exipo_vw,541,0.6275471922061868,1.4620976129194716,-0.26677644299090675,0.13002771787240297,0.9093924513519318,471,-0.036,0.514,-0.385,-0.17,0.162,2.7772885313590865
full_2019_2023,BHAR_cal365_incl_cnd_m33_os,541,0.8254180965456249,1.4248638082662268,-0.08425172376576351,0.3625918102724721,1.1174194121177252,471,-0.036,0.514,-0.385,-0.17,0.162,3.5610414034362856
full_2019_2023,BHAR_td252_incl_cnd_m33_os,541,0.8330222474509137,1.4784239331055125,-0.0690535381766546,0.3454543090826109,1.1050740880241758,471,-0.036,0.514,-0.385,-0.17,0.162,3.607921039486558
full_2019_2023,BHAR_cal365_incl_cnd_m117_tl,541,0.845663923209219,1.4186670136946808,-0.06715761269003717,0.37823409305483513,1.1516704740769128,471,-0.036,0.514,-0.385,-0.17,0.162,3.6420778913456107
full_2019_2023,BHAR_cal365_incl_cnd_m53_tl,541,0.8458588291947495,1.4187888649739717,-0.06719034467729856,0.3778243430111029,1.1522169926240111,471,-0.036,0.514,-0.385,-0.17,0.162,3.6424986851265366
full_2019_2023,BHAR_td252_incl_cnd_m117_tl,541,0.8548685122669454,1.47269620288533,-0.03877912215830204,0.36275620974282885,1.1174367256745052,471,-0.036,0.514,-0.385,-0.17,0.162,3.6839785284113074
full_2019_2023,BHAR_td252_incl_cnd_m53_tl,541,0.8550738198441306,1.4728100225097545,-0.03815802087524056,0.3634509302749972,1.1181645910151141,471,-0.036,0.514,-0.385,-0.17,0.162,3.6863413427687557
full_2019_2023,BHAR_cal365_incl_star_exipo_ew,541,0.9106005884775169,1.4294728628523103,0.019892429444828164,0.44205539544725014,1.200985581481448,471,-0.036,0.514,-0.385,-0.17,0.162,3.9180068577033538
full_2019_2023,BHAR_td252_incl_star_exipo_ew,541,0.9228094161116285,1.4838123842499806,0.010995812048674392,0.4541495714596757,1.1821400106240771,471,-0.036,0.514,-0.385,-0.17,0.162,3.9689071944940366
full_2019_2023,BHAR_cal365_incl_star_all_vw,541,-2.0173087587989746,5.706213420103424,-1.301445368619849,-0.26007964561595087,0.34987748894790616,471,-0.036,0.514,-0.385,-0.17,0.162,8.367924682086105
full_2019_2023,BHAR_td252_incl_star_all_vw,541,-2.0966369411974095,5.91000790780884,-1.315334714135361,-0.2563883057294831,0.3383891475786285,471,-0.036,0.514,-0.385,-0.17,0.162,8.649757016449723
