sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR,Redundancy,524,0.004240063118691706,0.010973650738894954,0.3863858272491986,0.6992109449258853,-0.004114506232489212,BHAR ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_star_exipo_vw,Redundancy,524,0.03015941868461651,0.02805784155280172,1.074901596684116,0.2824187870612651,0.13826162599303649,BHAR_td252_incl_star_exipo_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_star_exipo_ew,Redundancy,524,0.029832212516795166,0.02801041396785544,1.0650400437148273,0.2868578092053399,0.16658045718568082,BHAR_td252_incl_star_exipo_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_star_all_vw,Redundancy,524,0.053949419823434534,0.0481305995838645,1.1208964835235662,0.2623319279022791,0.8385061238286848,BHAR_td252_incl_star_all_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_cnd_m33_os,Redundancy,524,0.029597293738052873,0.028052985041199303,1.0550497102032301,0.2914025903242162,0.16592214090594926,BHAR_td252_incl_cnd_m33_os ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_cnd_m53_tl,Redundancy,524,0.03008299626772169,0.028061245271878813,1.07204780031159,0.28369856285738215,0.15983203783658972,BHAR_td252_incl_cnd_m53_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_incl_cnd_m117_tl,Redundancy,524,0.030077109185840053,0.02806022578776092,1.0718769482945087,0.2837753052886516,0.15974591646307157,BHAR_td252_incl_cnd_m117_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_star_exipo_vw,Redundancy,524,0.005680349200237609,0.011539011695818916,0.4922734589389354,0.6225260401668453,0.10626826305506054,BHAR_td252_excl_star_exipo_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_star_exipo_ew,Redundancy,524,0.005364058822232714,0.011528886951929752,0.465271178787546,0.6417372715729279,-0.005719271931237113,BHAR_td252_excl_star_exipo_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_star_all_vw,Redundancy,524,0.029677052825720446,0.03941861864037597,0.752868919544599,0.4515286865869361,0.8857579776527823,BHAR_td252_excl_star_all_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_cnd_m33_os,Redundancy,524,0.005410067777059912,0.011873452980750486,0.4556440140733145,0.6486459873153687,0.04472745680252299,BHAR_td252_excl_cnd_m33_os ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_cnd_m53_tl,Redundancy,524,0.005817131795378125,0.011865009137261698,0.49027621707509694,0.6239384540277131,0.041082786052255016,BHAR_td252_excl_cnd_m53_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_td252_excl_cnd_m117_tl,Redundancy,524,0.005813768949444766,0.011863915160337843,0.49003797404761706,0.624107027709178,0.041450724011515505,BHAR_td252_excl_cnd_m117_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_star_exipo_vw,Redundancy,524,0.02994061652112822,0.026701664426159576,1.121301505526953,0.2621595449331614,0.13566617832994365,BHAR_cal365_incl_star_exipo_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_star_exipo_ew,Redundancy,524,0.03019492800675468,0.0266580125385307,1.1326773878252112,0.25734975685853856,0.1665940052072047,BHAR_cal365_incl_star_exipo_ew ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_star_all_vw,Redundancy,524,0.052242252881336916,0.04689712959348907,1.113975489207551,0.26528970202067714,0.8339499910479882,BHAR_cal365_incl_star_all_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_cnd_m33_os,Redundancy,524,0.02853570199160625,0.026788720172375425,1.065213336359096,0.28677939987220513,0.16546376240783978,BHAR_cal365_incl_cnd_m33_os ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_cnd_m53_tl,Redundancy,524,0.029135388102307674,0.026785270197412225,1.0877391897701483,0.2767102616735353,0.15841130511885337,BHAR_cal365_incl_cnd_m53_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_incl_cnd_m117_tl,Redundancy,524,0.029125473305854268,0.026784329964471696,1.087407202065088,0.27685688968645505,0.1583265892525787,BHAR_cal365_incl_cnd_m117_tl ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,BHAR_cal365_excl_star_exipo_vw,Redundancy,524,0.007023005607957647,0.011496127644427218,0.6109018467067969,0.5412645622051454,0.10173229172549503,BHAR_cal365_excl_star_exipo_vw ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
