sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_Growth,Redundancy,524,0.026565757294995607,0.027201463239967003,0.9766297151236571,0.3287525025074711,0.14850675319511952,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_L_to_L1_w1p,Redundancy,524,0.03132028041994248,0.03326408114419492,0.9415645748389577,0.34641561379253283,0.13085202088952452,FSales_L_to_L1_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_L1_to_L2_w1p,Redundancy,522,-0.006607481564387494,0.010520199682068873,-0.6280756795566912,0.5299543642799653,0.030640607695744726,FSales_L1_to_L2_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_Lm1_to_L1_w1p,Redundancy,80,-4.204485724704779,9.253662605780905,-0.45435909042957456,0.6495703920136235,0.0729158363615966,FSales_Lm1_to_L1_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_3_w1p,Redundancy,523,-0.001748833973979621,0.012155099948528663,-0.1438765605700603,0.88559794504464,0.15768940588233848,FSales_month_cutoff_3_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_6_w1p,Redundancy,524,0.003636206926731068,0.011847142839097885,0.3069269085480151,0.7588990069028615,0.15751015823865577,FSales_month_cutoff_6_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
full_2019_2023,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_9_w1p,Redundancy,524,0.010332097768619916,0.015384103863922497,0.6716086851733938,0.501832847665578,0.1775165625866233,FSales_month_cutoff_9_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_Growth,Redundancy,459,0.03677732173852315,0.0328162142007489,1.1207058045618148,0.26241311060719563,0.13603330847489725,FSales_Growth ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_L_to_L1_w1p,Redundancy,459,0.042796066199825025,0.04053544982121542,1.0557688736298774,0.2910738221410033,0.11663212982154347,FSales_L_to_L1_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_L1_to_L2_w1p,Redundancy,457,-0.009438995181899161,0.011639241322751577,-0.8109630963186983,0.41738686382474377,0.03849198636098006,FSales_L1_to_L2_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_Lm1_to_L1_w1p,Redundancy,73,-4.3354577313378435,9.66852129472466,-0.4484095963778201,0.6538576173240004,0.0981192111337682,FSales_Lm1_to_L1_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_3_w1p,Redundancy,458,-0.00035456134585661395,0.013613014726239226,-0.02604576230812366,0.9792208377739161,0.15051847715139544,FSales_month_cutoff_3_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_6_w1p,Redundancy,459,0.008338333471164121,0.013843730079370693,0.6023184086483695,0.546962209435425,0.15232019454315027,FSales_month_cutoff_6_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
w2_2019_2022,ipo_pre_fin_controls_rd_staff,FSales_month_cutoff_9_w1p,Redundancy,459,0.016282757542444133,0.0176144461785769,0.9243979275515118,0.35527917334398595,0.1784016755059078,FSales_month_cutoff_9_w1p ~ Redundancy + lnN_tech + Size_ipo_pre + Lev_ipo_pre + ROA_ipo_pre + Offerfee + Underwriter_ipo + Age + ScopeLen + NumIndSeg + NumProdSeg + RD_Staff_ipo + C(listing_year_fe) + C(industry_fe),
