sample,model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula,error
full_by_y_available,controls_fe_repaired_underwriter,FInvention,Redundancy,527,-0.04422332853852714,0.023685948628364154,-1.8670701871559947,0.06189178705212429,0.3350131348281832,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_repaired_underwriter_scope,FInvention,Redundancy,527,-0.044668630470009595,0.023685616695899397,-1.8858968733435135,0.05930885294845441,0.33516846139997714,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_repaired_underwriter,BHAR,Redundancy,537,0.003740500242019629,0.010566134902769784,0.35400837453240375,0.7233326071631532,-0.01716322369101886,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_repaired_underwriter_scope,BHAR,Redundancy,537,0.00445318320520516,0.010640505435927558,0.4185123753773042,0.6755725403584731,-0.002404656228658597,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_repaired_underwriter,FSales_Growth,Redundancy,534,0.018114616782906868,0.03670711369364777,0.49349063328947146,0.621665956569948,0.20356583820524488,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
full_by_y_available,controls_fe_repaired_underwriter_scope,FSales_Growth,Redundancy,534,0.0191825111036102,0.03642718584498229,0.5265987656922588,0.5984722493152064,0.20490049456074289,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter,FInvention,Redundancy,524,-0.04402264318829239,0.023643315511090973,-1.8619488103367552,0.06261030602408241,0.3345928995016906,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter_scope,FInvention,Redundancy,524,-0.04452071061165572,0.023642631248200405,-1.8830691958216148,0.05969099115238985,0.3349004837419636,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter,BHAR,Redundancy,524,0.0022955216758513202,0.010542241318754834,0.2177451270981197,0.8276277008332997,-0.01596675686615434,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter_scope,BHAR,Redundancy,524,0.002879530399426164,0.010623273528019412,0.2710586705530324,0.7863459080835469,-0.004237972276486923,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter,FSales_Growth,Redundancy,524,0.003396602856201943,0.034006215273717506,0.09988182539169792,0.9204381454237047,0.20737429032867916,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired,controls_fe_repaired_underwriter_scope,FSales_Growth,Redundancy,524,0.004292220584177673,0.03362234361319472,0.127659767967312,0.8984182300206653,0.20886875980420916,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter,FInvention,Redundancy,524,-0.04402264318829239,0.023643315511090973,-1.8619488103367552,0.06261030602408241,0.3345928995016906,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter_scope,FInvention,Redundancy,524,-0.04452071061165572,0.023642631248200405,-1.8830691958216148,0.05969099115238985,0.3349004837419636,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter,BHAR,Redundancy,524,0.0022955216758513202,0.010542241318754834,0.2177451270981197,0.8276277008332997,-0.01596675686615434,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter_scope,BHAR,Redundancy,524,0.002879530399426164,0.010623273528019412,0.2710586705530324,0.7863459080835469,-0.004237972276486923,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter,FSales_Growth,Redundancy,524,0.003396602856201943,0.034006215273717506,0.09988182539169792,0.9204381454237047,0.20737429032867916,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
common_3y_controls_repaired_scope,controls_fe_repaired_underwriter_scope,FSales_Growth,Redundancy,524,0.004292220584177673,0.03362234361319472,0.127659767967312,0.8984182300206653,0.20886875980420916,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter,FInvention,Redundancy,460,-0.03774756527250521,0.027141735620661873,-1.390757238227962,0.1642990541774596,0.3266364893700996,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter_scope,FInvention,Redundancy,460,-0.03764507747420922,0.027100677001193986,-1.3890825484747364,0.16480764983070084,0.3289852230277218,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter,BHAR,Redundancy,470,0.002664248426259334,0.011897806320611744,0.22392770183557228,0.8228135600655315,-0.00449631972949649,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter_scope,BHAR,Redundancy,470,0.0027636457292664496,0.012017837085262488,0.22996198980393212,0.8181213059405006,0.004754663741239229,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + ScopeLen + C(listing_year_fe) + C(industry_fe),
w2_2019_2022_by_y_available,controls_fe_repaired_underwriter,FSales_Growth,Redundancy,467,0.017326827872308274,0.04295927958223433,0.403331434810041,0.686704419550076,0.16780581887508716,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe),
