variable,available,current_N,current_mean,current_std,current_p25,current_median,current_p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,mean_diff_current_minus_original
lnN_tech,True,543,10.96610286164976,0.32868029572143953,10.774631043951,10.978984733698187,11.17493859404669,552,10.962,0.35,10.714,10.91,11.185,0.004102861649760925
Redundancy,True,543,28.94449329135104,2.174223819994331,27.552095259903826,28.815161441272817,30.493882820806693,552,29.074,2.63,27.402,28.91,30.795,-0.12950670864896097
FInvention,True,531,2.324674941405925,1.190412055156729,1.6094379124341005,2.1972245773362196,2.995732273553991,471,2.282,1.2,1.386,2.197,2.89,0.04267494140592509
BHAR,True,541,-0.0617672526383254,0.48882661213590445,-0.3871010025151465,-0.2038688808743842,0.0731908258966917,471,-0.036,0.514,-0.385,-0.17,0.162,-0.025767252638325404
FSales_Growth,True,538,0.4094078405973609,1.6726612765279378,-0.0482180615169181,0.15629103046068754,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,-0.12059215940263912
Price_Issue,False,0,,,,,,552,0.988,1.33,0.462,0.726,1.163,
Price_Day5,False,0,,,,,,552,0.949,0.957,0.419,0.698,1.125,
RD_Staff,False,0,,,,,,552,0.305,0.194,0.157,0.24,0.411,
RD_Asset,True,541,0.07862084168898884,0.1339083919548882,0.0341924632829069,0.0523517655643675,0.085934941053372,552,0.105,0.1,0.046,0.073,0.125,-0.02637915831101116
Size,True,541,20.7789294496071,0.9989818917242194,20.12539125166632,20.568765720528297,21.23784067255592,552,20.741,0.99,20.064,20.533,21.189,0.03792944960710187
Lev,True,541,0.35980204427393936,0.18527259046738562,0.2134414168991961,0.3366716639811341,0.476983282501462,552,0.356,0.183,0.207,0.334,0.476,0.0038020442739393756
ROA,True,541,0.09052151123713267,0.18889751865940987,0.0581498098434334,0.1002331117302361,0.1560716452802301,552,0.094,0.145,0.058,0.1,0.157,-0.0034784887628673267
Offerfee,True,542,18.327417050451384,0.49401990044810057,17.967248275223515,18.265833314640517,18.622711812196933,552,18.325,0.483,17.965,18.27,18.618,0.002417050451384739
Underwriter,True,543,0.009208103130755065,0.0956041141901607,0.0,0.0,0.0,552,0.574,0.495,0.0,1.0,1.0,-0.5647918968692449
Age,True,541,2.6121099223392714,0.4133773650677668,2.3588761447016,2.6598621827797437,2.908235432469833,552,2.601,0.408,2.35,2.639,2.89,0.011109922339271439
NumIndSeg,False,0,,,,,,552,0.854,0.361,0.693,0.693,1.099,
NumProdSeg,False,0,,,,,,552,1.475,0.376,1.386,1.609,1.609,
ScopeLen,False,0,,,,,,552,5.671,0.854,5.159,5.762,6.276,
